architecture,training_family,regularization,seed,lambda_rate,lambda_persist,achieved_rate_grad_ratio,achieved_persist_grad_ratio
234x234,e2e_wc,task_only,11,0.0,0.0,0.0,0.0
234x234,e2e_wc,task_only,23,0.0,0.0,0.0,0.0
234x234,e2e_wc,task_only,37,0.0,0.0,0.0,0.0
234x234,e2e_wc,task_plus_reg,11,0.05978109673580652,0.02196712791514854,0.025,0.05
234x234,e2e_wc,task_plus_reg,23,0.031120010065311284,0.01092983699207818,0.025,0.05
234x234,e2e_wc,task_plus_reg,37,0.03055636837973595,0.010580153616864941,0.025,0.05
234x234,local_tsce,task_only,11,0.0,0.0,0.0,0.0
234x234,local_tsce,task_only,23,0.0,0.0,0.0,0.0
234x234,local_tsce,task_only,37,0.0,0.0,0.0,0.0
234x234,local_tsce,task_plus_reg,11,0.08261062397201509,0.03197296961297297,0.025,0.049999999999999996
234x234,local_tsce,task_plus_reg,23,0.07165041797522093,0.02422877241470052,0.025,0.05
234x234,local_tsce,task_plus_reg,37,0.06642147754517072,0.021583383181876255,0.024999999999999998,0.05
34x234,e2e_wc,task_only,11,0.0,0.0,0.0,0.0
34x234,e2e_wc,task_only,23,0.0,0.0,0.0,0.0
34x234,e2e_wc,task_only,37,0.0,0.0,0.0,0.0
34x234,e2e_wc,task_plus_reg,11,0.046440428420266536,0.018136480903380887,0.025,0.05
34x234,e2e_wc,task_plus_reg,23,0.02664471745078434,0.009088477708770961,0.025,0.05
34x234,e2e_wc,task_plus_reg,37,0.030394956740863857,0.010153653502844607,0.025,0.05
34x234,local_tsce,task_only,11,0.0,0.0,0.0,0.0
34x234,local_tsce,task_only,23,0.0,0.0,0.0,0.0
34x234,local_tsce,task_only,37,0.0,0.0,0.0,0.0
34x234,local_tsce,task_plus_reg,11,0.0771513044262513,0.02911041741560417,0.025,0.05
34x234,local_tsce,task_plus_reg,23,0.0736325214563373,0.024001789459266027,0.025,0.05
34x234,local_tsce,task_plus_reg,37,0.06614819406589403,0.021726618867375553,0.025,0.05
34x34,e2e_wc,task_only,11,0.0,0.0,0.0,0.0
34x34,e2e_wc,task_only,23,0.0,0.0,0.0,0.0
34x34,e2e_wc,task_only,37,0.0,0.0,0.0,0.0
34x34,e2e_wc,task_plus_reg,11,0.057409519867980395,0.021569062749139844,0.025,0.049999999999999996
34x34,e2e_wc,task_plus_reg,23,0.03627155585033225,0.011969930311365142,0.025,0.05
34x34,e2e_wc,task_plus_reg,37,0.04041407074492491,0.013788239208404968,0.025,0.05
34x34,local_tsce,task_only,11,0.0,0.0,0.0,0.0
34x34,local_tsce,task_only,23,0.0,0.0,0.0,0.0
34x34,local_tsce,task_only,37,0.0,0.0,0.0,0.0
34x34,local_tsce,task_plus_reg,11,0.07822187934574643,0.028964574695893575,0.025,0.05
34x34,local_tsce,task_plus_reg,23,0.07202707645133606,0.023808102069557066,0.025,0.05
34x34,local_tsce,task_plus_reg,37,0.06810732759992652,0.022663100924695083,0.025000000000000005,0.05
34x345,e2e_wc,task_only,11,0.0,0.0,0.0,0.0
34x345,e2e_wc,task_only,23,0.0,0.0,0.0,0.0
34x345,e2e_wc,task_only,37,0.0,0.0,0.0,0.0
34x345,e2e_wc,task_plus_reg,11,0.06570389983572504,0.022017748664479454,0.024999999999999998,0.05000000000000001
34x345,e2e_wc,task_plus_reg,23,0.043296289658704454,0.012401499503963227,0.025,0.05
34x345,e2e_wc,task_plus_reg,37,0.04481829609454035,0.013129791721867779,0.025,0.05
34x345,local_tsce,task_only,11,0.0,0.0,0.0,0.0
34x345,local_tsce,task_only,23,0.0,0.0,0.0,0.0
34x345,local_tsce,task_only,37,0.0,0.0,0.0,0.0
34x345,local_tsce,task_plus_reg,11,0.07930995271856288,0.026577213984482456,0.024999999999999998,0.05
34x345,local_tsce,task_plus_reg,23,0.07209105874193253,0.020377834384505057,0.025,0.049999999999999996
34x345,local_tsce,task_plus_reg,37,0.07267523649260658,0.020803553738201166,0.025,0.05
34x45,e2e_wc,task_only,11,0.0,0.0,0.0,0.0
34x45,e2e_wc,task_only,23,0.0,0.0,0.0,0.0
34x45,e2e_wc,task_only,37,0.0,0.0,0.0,0.0
34x45,e2e_wc,task_plus_reg,11,0.06815962671567996,0.021372261340441987,0.024999999999999998,0.05000000000000001
34x45,e2e_wc,task_plus_reg,23,0.058105748151585264,0.01618280332919012,0.025,0.049999999999999996
34x45,e2e_wc,task_plus_reg,37,0.051425468538213816,0.014767479476054411,0.025,0.05
34x45,local_tsce,task_only,11,0.0,0.0,0.0,0.0
34x45,local_tsce,task_only,23,0.0,0.0,0.0,0.0
34x45,local_tsce,task_only,37,0.0,0.0,0.0,0.0
34x45,local_tsce,task_plus_reg,11,0.07851762968380448,0.02529657038935742,0.025,0.05
34x45,local_tsce,task_plus_reg,23,0.07194946360601875,0.019743322773955914,0.024999999999999998,0.05
34x45,local_tsce,task_plus_reg,37,0.06848821061019589,0.01898409866194721,0.025,0.049999999999999996
4x4,e2e_wc,task_only,11,0.0,0.0,0.0,0.0
4x4,e2e_wc,task_only,23,0.0,0.0,0.0,0.0
4x4,e2e_wc,task_only,37,0.0,0.0,0.0,0.0
4x4,e2e_wc,task_plus_reg,11,0.06703597490104045,0.02289998570498731,0.025,0.05
4x4,e2e_wc,task_plus_reg,23,0.06741130487327938,0.01860423543345637,0.025,0.05
4x4,e2e_wc,task_plus_reg,37,0.028204368613905153,0.008121509962199696,0.025,0.05
4x4,local_tsce,task_only,11,0.0,0.0,0.0,0.0
4x4,local_tsce,task_only,23,0.0,0.0,0.0,0.0
4x4,local_tsce,task_only,37,0.0,0.0,0.0,0.0
4x4,local_tsce,task_plus_reg,11,0.06830701291541587,0.02126763657132219,0.025,0.05
4x4,local_tsce,task_plus_reg,23,0.06271989516502116,0.01794562787403708,0.025,0.049999999999999996
4x4,local_tsce,task_plus_reg,37,0.06531359277151932,0.01876002615651807,0.024999999999999998,0.05
5x5,e2e_wc,task_only,11,0.0,0.0,0.0,0.0
5x5,e2e_wc,task_only,23,0.0,0.0,0.0,0.0
5x5,e2e_wc,task_only,37,0.0,0.0,0.0,0.0
5x5,e2e_wc,task_plus_reg,11,0.07816074794196386,0.01893265884112386,0.024999999999999998,0.05
5x5,e2e_wc,task_plus_reg,23,0.06691517940779393,0.015663723449063662,0.025,0.05
5x5,e2e_wc,task_plus_reg,37,0.05888998060875046,0.013254490622064193,0.025,0.05
5x5,local_tsce,task_only,11,0.0,0.0,0.0,0.0
5x5,local_tsce,task_only,23,0.0,0.0,0.0,0.0
5x5,local_tsce,task_only,37,0.0,0.0,0.0,0.0
5x5,local_tsce,task_plus_reg,11,0.06715475516199193,0.016199715247910904,0.024999999999999998,0.05000000000000001
5x5,local_tsce,task_plus_reg,23,0.07176445640207803,0.016768506592820743,0.025,0.05000000000000001
5x5,local_tsce,task_plus_reg,37,0.06699862046081483,0.015022528507920407,0.025,0.05
