contrast,architecture,training_family,source,regularization,metric,n,delta_mean,delta_std
l2_probe_minus_e2e,34x45,e2e_wc,l2_fixed250-e2e_wholecount,task_plus_reg,accuracy,3,0.08447488584474888,0.04560498711287253
l2_probe_minus_e2e,34x45,e2e_wc,l2_fixed250-e2e_wholecount,task_plus_reg,balanced_accuracy,3,0.08602369852369855,0.04043259733150338
l2_probe_minus_e2e,34x45,e2e_wc,l2_fixed250-e2e_wholecount,task_plus_reg,macro_f1,3,0.11649154061667412,0.039835002763073085
l2_probe_minus_e2e,4x4,e2e_wc,l2_fixed250-e2e_wholecount,task_only,accuracy,3,0.10045662100456626,0.03514795506470471
l2_probe_minus_e2e,4x4,e2e_wc,l2_fixed250-e2e_wholecount,task_only,balanced_accuracy,3,0.09856740481740482,0.03925303003408938
l2_probe_minus_e2e,4x4,e2e_wc,l2_fixed250-e2e_wholecount,task_only,macro_f1,3,0.11657495955454411,0.03486119081790343
l2_probe_minus_e2e,4x4,e2e_wc,l2_fixed250-e2e_wholecount,task_plus_reg,accuracy,3,0.11872146118721462,0.03954453898559079
l2_probe_minus_e2e,4x4,e2e_wc,l2_fixed250-e2e_wholecount,task_plus_reg,balanced_accuracy,3,0.11332232582232578,0.034975900732204857
l2_probe_minus_e2e,4x4,e2e_wc,l2_fixed250-e2e_wholecount,task_plus_reg,macro_f1,3,0.14116884219917533,0.03308178150632176
l2_probe_minus_e2e,5x5,e2e_wc,l2_fixed250-e2e_wholecount,task_only,accuracy,3,0.04109589041095892,0.04166275705683713
l2_probe_minus_e2e,5x5,e2e_wc,l2_fixed250-e2e_wholecount,task_only,balanced_accuracy,3,0.04197284197284203,0.04033271873071709
l2_probe_minus_e2e,5x5,e2e_wc,l2_fixed250-e2e_wholecount,task_only,macro_f1,3,0.05335123880930198,0.04358042570155634
l2_probe_minus_e2e,5x5,e2e_wc,l2_fixed250-e2e_wholecount,task_plus_reg,accuracy,3,0.1095890410958904,0.04794520547945206
l2_probe_minus_e2e,5x5,e2e_wc,l2_fixed250-e2e_wholecount,task_plus_reg,balanced_accuracy,3,0.10852804602804604,0.046618995443407626
l2_probe_minus_e2e,5x5,e2e_wc,l2_fixed250-e2e_wholecount,task_plus_reg,macro_f1,3,0.13475291006865517,0.07904370486602771
local_linear_minus_e2e_wholecount,234x234,cross_family,deployment,task_only,accuracy,3,0.07990867579908674,0.07544617188063155
local_linear_minus_e2e_wholecount,234x234,cross_family,deployment,task_only,balanced_accuracy,3,0.08838800088800092,0.07237758947153687
local_linear_minus_e2e_wholecount,234x234,cross_family,deployment,task_only,macro_f1,3,0.11022505545307877,0.06527903454650592
local_linear_minus_e2e_wholecount,234x234,cross_family,deployment,task_plus_reg,accuracy,3,0.07077625570776254,0.030885272279608873
local_linear_minus_e2e_wholecount,234x234,cross_family,deployment,task_plus_reg,balanced_accuracy,3,0.07303830428830432,0.029221698807552515
local_linear_minus_e2e_wholecount,234x234,cross_family,deployment,task_plus_reg,macro_f1,3,0.08288496796891685,0.03505254535796554
local_linear_minus_e2e_wholecount,34x234,cross_family,deployment,task_only,accuracy,3,0.11643835616438354,0.023726723391354516
local_linear_minus_e2e_wholecount,34x234,cross_family,deployment,task_only,balanced_accuracy,3,0.114500777000777,0.03111050471813558
local_linear_minus_e2e_wholecount,34x234,cross_family,deployment,task_only,macro_f1,3,0.12840455059533276,0.03662720726582782
local_linear_minus_e2e_wholecount,34x234,cross_family,deployment,task_plus_reg,accuracy,3,0.13013698630136986,0.061643835616438415
local_linear_minus_e2e_wholecount,34x234,cross_family,deployment,task_plus_reg,balanced_accuracy,3,0.12846158471158473,0.06006294884955339
local_linear_minus_e2e_wholecount,34x234,cross_family,deployment,task_plus_reg,macro_f1,3,0.1413307101648302,0.04474777791173811
local_linear_minus_e2e_wholecount,34x34,cross_family,deployment,task_only,accuracy,3,0.1278538812785388,0.007908907797118208
local_linear_minus_e2e_wholecount,34x34,cross_family,deployment,task_only,balanced_accuracy,3,0.13036754911754914,0.012559091823321166
local_linear_minus_e2e_wholecount,34x34,cross_family,deployment,task_only,macro_f1,3,0.14725947738266476,0.027236174693952495
local_linear_minus_e2e_wholecount,34x34,cross_family,deployment,task_plus_reg,accuracy,3,0.14155251141552513,0.06473720035962484
local_linear_minus_e2e_wholecount,34x34,cross_family,deployment,task_plus_reg,balanced_accuracy,3,0.1390685703185703,0.06722525651028227
local_linear_minus_e2e_wholecount,34x34,cross_family,deployment,task_plus_reg,macro_f1,3,0.14813311759385558,0.0714623400293273
local_linear_minus_e2e_wholecount,34x345,cross_family,deployment,task_only,accuracy,3,0.1210045662100457,0.03514795506470468
local_linear_minus_e2e_wholecount,34x345,cross_family,deployment,task_only,balanced_accuracy,3,0.12386063011063014,0.0433985115382266
local_linear_minus_e2e_wholecount,34x345,cross_family,deployment,task_only,macro_f1,3,0.13474215738793258,0.03049599358425105
local_linear_minus_e2e_wholecount,34x345,cross_family,deployment,task_plus_reg,accuracy,3,0.22831050228310504,0.044034934981702974
local_linear_minus_e2e_wholecount,34x345,cross_family,deployment,task_plus_reg,balanced_accuracy,3,0.22865953490953483,0.03916235391519183
local_linear_minus_e2e_wholecount,34x345,cross_family,deployment,task_plus_reg,macro_f1,3,0.24736544247198497,0.04612361905429493
local_linear_minus_e2e_wholecount,34x45,cross_family,deployment,task_only,accuracy,3,0.10045662100456626,0.017237064920709484
local_linear_minus_e2e_wholecount,34x45,cross_family,deployment,task_only,balanced_accuracy,3,0.09915269915269904,0.025212487104532708
