architecture,training_family,regularization,source,split,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
234x234,e2e_wc,task_only,e2e_wholecount,test,3,0.5228310502283106,0.5028182465682465,0.48651566792191586,0.03378686891997431,0.036685185671545356,0.037664830344106774
234x234,e2e_wc,task_only,e2e_wholecount,train,3,0.8909925415949512,0.8878708125821274,0.8901329737011038,0.025779279332944324,0.030781307776787982,0.030224573155806456
234x234,e2e_wc,task_only,e2e_wholecount,val,3,0.4708994708994709,0.4554593554593554,0.43745153502678447,0.016521158725921685,0.012332582013341241,0.00813995930065201
234x234,e2e_wc,task_only,l2_fixed250,test,3,0.6278538812785388,0.609290478040478,0.6056947344023528,0.003954453898559064,0.006089070758768298,0.009839202352836479
234x234,e2e_wc,task_only,l2_fixed250,train,3,0.9563970166379804,0.9566972275444319,0.9597920539317996,0.02138226638391764,0.021063468449227598,0.019579077521094918
234x234,e2e_wc,task_only,l2_fixed250,val,3,0.5370370370370371,0.5280743947410614,0.5389316650600596,0.04371087735941356,0.04238234608663654,0.0454537316806633
234x234,e2e_wc,task_only,post_output_fixed250,test,3,0.5342465753424658,0.5180770618270617,0.5048524021374242,0.03813537234815085,0.04245395236696633,0.04821123544504252
234x234,e2e_wc,task_only,post_output_fixed250,train,3,0.9368904188181296,0.9274628496860888,0.9257732854855493,0.06835741139922648,0.08369368630893678,0.08980217309322076
234x234,e2e_wc,task_only,post_output_fixed250,val,3,0.48412698412698413,0.4796196087862754,0.47825982867804706,0.015873015873015872,0.01723176915575352,0.03813935778644095
234x234,e2e_wc,task_only,pre_output_fixed250,test,3,0.5136986301369862,0.5047771672771671,0.4955216832275693,0.058520573598065326,0.06419712346658676,0.06261669561113024
234x234,e2e_wc,task_only,pre_output_fixed250,train,3,0.9741824440619622,0.9732745499471639,0.9755410210913292,0.021150095916427723,0.022957720488739314,0.02031202249654977
234x234,e2e_wc,task_only,pre_output_fixed250,val,3,0.5079365079365079,0.5061287477954145,0.5153972972813553,0.007936507936507936,0.007938130084538694,0.012525919551463878
234x234,e2e_wc,task_plus_reg,e2e_wholecount,test,3,0.5296803652968037,0.5166888666888666,0.5008234716164606,0.02092500317331426,0.01741805782750446,0.00364420061679912
234x234,e2e_wc,task_plus_reg,e2e_wholecount,train,3,0.8732071141709695,0.8709160383362411,0.8720551170653469,0.01463838304322787,0.011851814917210875,0.013670775113082229
234x234,e2e_wc,task_plus_reg,e2e_wholecount,val,3,0.4682539682539682,0.4575316658649992,0.43362350585053955,0.02861548631320622,0.030680727318121923,0.037134217777056944
234x234,e2e_wc,task_plus_reg,l2_fixed250,test,3,0.6141552511415526,0.5989119676619676,0.5970162997778236,0.020925003173314353,0.017506917428498584,0.015633588215032378
234x234,e2e_wc,task_plus_reg,l2_fixed250,train,3,0.9546758462421113,0.9545435226583612,0.9582552809385495,0.02152036641825712,0.02193773233466491,0.019852577565868185
234x234,e2e_wc,task_plus_reg,l2_fixed250,val,3,0.5026455026455027,0.49446448613115274,0.5018366823097299,0.022910724967842338,0.015094065938346947,0.012260268661669406
234x234,e2e_wc,task_plus_reg,post_output_fixed250,test,3,0.5273972602739726,0.519548507048507,0.513050078934313,0.013698630136986273,0.01702566294401307,0.030389599835246684
234x234,e2e_wc,task_plus_reg,post_output_fixed250,train,3,0.9592656339644291,0.9592278157359221,0.9617677427277339,0.03933668322758909,0.040936079821613104,0.037949990788597315
234x234,e2e_wc,task_plus_reg,post_output_fixed250,val,3,0.47883597883597884,0.47284952701619365,0.46903081536219693,0.04072699555116577,0.03887656926357283,0.04400356467192916
234x234,e2e_wc,task_plus_reg,pre_output_fixed250,test,3,0.5433789954337899,0.5319990194990195,0.5248606224111088,0.05186217667397509,0.056218134367332744,0.06409318933507478
234x234,e2e_wc,task_plus_reg,pre_output_fixed250,train,3,0.9351692484222603,0.9319083938125505,0.9366280129093559,0.05258262415325118,0.057554700601843055,0.05407440489441801
234x234,e2e_wc,task_plus_reg,pre_output_fixed250,val,3,0.5026455026455027,0.49445246111912783,0.5041733079581097,0.04512889446886768,0.043359163799238855,0.03982181874431397
234x234,local_tsce,task_only,l2_fixed250,test,3,0.6027397260273973,0.5912062474562475,0.5967407233749946,0.04277395889313973,0.03685703372758917,0.027738869274204173
234x234,local_tsce,task_only,l2_fixed250,train,3,0.9827882960413081,0.9826003037685721,0.983940876835019,0.016951562481576785,0.016875537060325838,0.015358167474294722
234x234,local_tsce,task_only,l2_fixed250,val,3,0.5687830687830687,0.5605058521725188,0.5680924618627982,0.00458214499356845,0.009823173245589107,0.005142780885232245
234x234,local_tsce,task_only,temporary_analog_head,test,3,0.5091324200913242,0.488035113035113,0.466546391541693,0.038946854130666654,0.04497532822610908,0.05929286693247447
234x234,local_tsce,task_only,temporary_analog_head,train,3,0.8393574297188756,0.8318717009043642,0.8339831993268284,0.02053417116256256,0.021732356251363816,0.021257743255102116
234x234,local_tsce,task_only,temporary_analog_head,val,3,0.4761904761904761,0.4597963764630431,0.42666148028471146,0.031746031746031744,0.032315674612842245,0.022172268456085376
