contrast,architecture,training_family,source,seed,metric,delta,regularization
reg_minus_task_only,234x234,e2e_wc,e2e_wholecount,11,accuracy,0.006849315068493178,
reg_minus_task_only,234x234,e2e_wc,e2e_wholecount,11,balanced_accuracy,0.01744227994227998,
reg_minus_task_only,234x234,e2e_wc,e2e_wholecount,11,macro_f1,0.025676812022607798,
reg_minus_task_only,234x234,e2e_wc,e2e_wholecount,23,accuracy,-0.0273972602739726,
reg_minus_task_only,234x234,e2e_wc,e2e_wholecount,23,balanced_accuracy,-0.0210053835053835,
reg_minus_task_only,234x234,e2e_wc,e2e_wholecount,23,macro_f1,-0.02426091318267265,
reg_minus_task_only,234x234,e2e_wc,e2e_wholecount,37,accuracy,0.041095890410958846,
reg_minus_task_only,234x234,e2e_wc,e2e_wholecount,37,balanced_accuracy,0.04517496392496395,
reg_minus_task_only,234x234,e2e_wc,e2e_wholecount,37,macro_f1,0.04150751224369886,
reg_minus_task_only,234x234,e2e_wc,l2_fixed250,11,accuracy,0.013698630136986245,
reg_minus_task_only,234x234,e2e_wc,l2_fixed250,11,balanced_accuracy,0.014384920634920695,
reg_minus_task_only,234x234,e2e_wc,l2_fixed250,11,macro_f1,0.008185709691876708,
reg_minus_task_only,234x234,e2e_wc,l2_fixed250,23,accuracy,-0.020547945205479423,
reg_minus_task_only,234x234,e2e_wc,l2_fixed250,23,balanced_accuracy,-0.016060328560328574,
reg_minus_task_only,234x234,e2e_wc,l2_fixed250,23,macro_f1,-0.011760170661789027,
reg_minus_task_only,234x234,e2e_wc,l2_fixed250,37,accuracy,-0.03424657534246567,
reg_minus_task_only,234x234,e2e_wc,l2_fixed250,37,balanced_accuracy,-0.029460123210123257,
reg_minus_task_only,234x234,e2e_wc,l2_fixed250,37,macro_f1,-0.022460842903674894,
reg_minus_task_only,234x234,e2e_wc,post_output_fixed250,11,accuracy,-0.047945205479452024,
reg_minus_task_only,234x234,e2e_wc,post_output_fixed250,11,balanced_accuracy,-0.04365079365079361,
reg_minus_task_only,234x234,e2e_wc,post_output_fixed250,11,macro_f1,-0.04557729949601308,
reg_minus_task_only,234x234,e2e_wc,post_output_fixed250,23,accuracy,0.013698630136986356,
reg_minus_task_only,234x234,e2e_wc,post_output_fixed250,23,balanced_accuracy,0.017469336219336162,
reg_minus_task_only,234x234,e2e_wc,post_output_fixed250,23,macro_f1,0.013418741936410405,
reg_minus_task_only,234x234,e2e_wc,post_output_fixed250,37,accuracy,0.013698630136986356,
reg_minus_task_only,234x234,e2e_wc,post_output_fixed250,37,balanced_accuracy,0.03059579309579319,
reg_minus_task_only,234x234,e2e_wc,post_output_fixed250,37,macro_f1,0.056751587950268856,
reg_minus_task_only,234x234,e2e_wc,pre_output_fixed250,11,accuracy,0.03424657534246567,
reg_minus_task_only,234x234,e2e_wc,pre_output_fixed250,11,balanced_accuracy,0.03945707070707083,
reg_minus_task_only,234x234,e2e_wc,pre_output_fixed250,11,macro_f1,0.04579752806564852,
reg_minus_task_only,234x234,e2e_wc,pre_output_fixed250,23,accuracy,0.05479452054794526,
reg_minus_task_only,234x234,e2e_wc,pre_output_fixed250,23,balanced_accuracy,0.05902361527361527,
reg_minus_task_only,234x234,e2e_wc,pre_output_fixed250,23,macro_f1,0.04394645093477023,
reg_minus_task_only,234x234,e2e_wc,pre_output_fixed250,37,accuracy,0.0,
reg_minus_task_only,234x234,e2e_wc,pre_output_fixed250,37,balanced_accuracy,-0.016815129315129296,
reg_minus_task_only,234x234,e2e_wc,pre_output_fixed250,37,macro_f1,-0.0017271614498002297,
reg_minus_task_only,234x234,local_tsce,l2_fixed250,11,accuracy,-0.006849315068493178,
reg_minus_task_only,234x234,local_tsce,l2_fixed250,11,balanced_accuracy,-0.0032717282717281693,
reg_minus_task_only,234x234,local_tsce,l2_fixed250,11,macro_f1,-0.00208008604626575,
reg_minus_task_only,234x234,local_tsce,l2_fixed250,23,accuracy,0.020547945205479423,
reg_minus_task_only,234x234,local_tsce,l2_fixed250,23,balanced_accuracy,0.016233766233766156,
reg_minus_task_only,234x234,local_tsce,l2_fixed250,23,macro_f1,-0.018949664443085434,
reg_minus_task_only,234x234,local_tsce,l2_fixed250,37,accuracy,-0.020547945205479423,
reg_minus_task_only,234x234,local_tsce,l2_fixed250,37,balanced_accuracy,-0.017399267399267337,
reg_minus_task_only,234x234,local_tsce,l2_fixed250,37,macro_f1,-0.018067100879500586,
reg_minus_task_only,234x234,local_tsce,temporary_analog_head,11,accuracy,0.006849315068493178,
