architecture,training_family,regularization,seed,layer,shift,tau_syn_ms,valid_firing_fraction,valid_spikes_per_neuron_second,active_neuron_sample_fraction,p32_violation_fraction,p84_violation_fraction,mean_max_run_length,p95_max_run_length,global_max_run_length
234x234,e2e_wc,task_only,11,L1,2,54.31342963722199,0.0021768613127436,0.1393191240155963,0.1094297546989487,2.1715955304615627e-05,2.5255182573924025e-05,0.1186683657215673,1.0,4
234x234,e2e_wc,task_only,11,L1,3,117.0136826471659,0.0136699184736541,0.8748747823138687,0.3255813953488372,0.0005448730603703,0.001410081027044,0.4133482000637145,1.0,10
234x234,e2e_wc,task_only,11,L1,4,242.10347130039656,0.0905183975512007,5.793177443276847,0.5397912589693412,0.0267543859649122,0.0564705882352941,2.3468688845401173,12.0,69
234x234,e2e_wc,task_only,11,L2,2,54.31342963722199,0.1138825958974833,7.288486137438932,0.6296591271105447,0.0594385438464879,0.0895359360202041,4.820643517043645,21.0,93
234x234,e2e_wc,task_only,11,L2,3,117.0136826471659,0.2096760522138487,13.419267341686316,0.7003822873526601,0.155365815137995,0.1927517626012838,12.295954125517682,57.0,109
234x234,e2e_wc,task_only,11,L2,4,242.10347130039656,0.2738174129824229,17.524314430875066,0.7343444227005871,0.2273627617430673,0.2615837104072398,18.33007175472929,70.0,109
234x234,e2e_wc,task_only,23,L1,2,54.31342963722199,0.0018108403840522,0.1158937845793456,0.091111819050653,2.369013305958069e-05,2.3150584026097025e-05,0.0987575661038547,1.0,5
234x234,e2e_wc,task_only,23,L1,3,117.0136826471659,0.0161800514741011,1.0355232943424724,0.3351385791653393,0.0007975678130058,0.002018310007366,0.4485504937878305,2.0,12
234x234,e2e_wc,task_only,23,L1,4,242.10347130039656,0.0758386190791757,4.853671621067248,0.5027723418134377,0.0240136631902336,0.0447834518422753,2.1617742987606,9.449999999999818,95
234x234,e2e_wc,task_only,23,L2,2,54.31342963722199,0.112888560112195,7.224867847180483,0.6191462249123925,0.0528941445887787,0.0849963169525413,4.3158649251353935,20.0,81
234x234,e2e_wc,task_only,23,L2,3,117.0136826471659,0.1797490252284741,11.503937614622345,0.6455877668047149,0.1276009791921664,0.1622603388403662,10.175374323032813,50.0,109
234x234,e2e_wc,task_only,23,L2,4,242.10347130039656,0.2671826185742686,17.099687588753195,0.7301043705153294,0.2117289190718732,0.2530898513251454,16.77478799739074,63.0,108
234x234,e2e_wc,task_only,37,L1,2,54.31342963722199,0.0030784286528888,0.1970194337848875,0.1320484230646702,3.948355509930114e-05,3.5778175313059034e-05,0.1471806307741318,1.0,5
234x234,e2e_wc,task_only,37,L1,3,117.0136826471659,0.016243623530137,1.0395919059287684,0.3509079324625677,0.0008232321238204,0.0022308744606966,0.4655941382605925,2.0,12
234x234,e2e_wc,task_only,37,L1,4,242.10347130039656,0.0723792167629145,4.632269872826533,0.5332681017612525,0.0203977686150861,0.0398297780650721,2.0220156555772992,8.0,90
234x234,e2e_wc,task_only,37,L2,2,54.31342963722199,0.1120698290874905,7.172469061599396,0.5635552723797388,0.0676392782406127,0.0936946227507103,5.437081873208028,28.0,110
234x234,e2e_wc,task_only,37,L2,3,117.0136826471659,0.1548615285033982,9.911137824217484,0.5941382605925454,0.1102262407707189,0.1387182994843733,8.90076457470532,46.0,109
234x234,e2e_wc,task_only,37,L2,4,242.10347130039656,0.2492584177474833,15.952538735838935,0.7152641878669276,0.1970106718408925,0.23469941822883,15.558219178082192,60.0,114
234x234,e2e_wc,task_plus_reg,11,L1,2,54.31342963722199,0.0008225838765854,0.0526453681014687,0.0469894870978018,1.1845066529790345e-05,6.313795643481006e-06,0.0504937878305192,0.0,4
234x234,e2e_wc,task_plus_reg,11,L1,3,117.0136826471659,0.0106242390617535,0.6799512999522246,0.2736540299458426,0.0004678801279267,0.0011343786172787,0.3423064670277158,1.0,14
234x234,e2e_wc,task_plus_reg,11,L1,4,242.10347130039656,0.0560565180346492,3.587617154217552,0.4585779517286366,0.0130406661815829,0.0292781728075845,1.3953033268101762,6.0,61
234x234,e2e_wc,task_plus_reg,11,L2,2,54.31342963722199,0.0540304683526746,3.4579499745711777,0.5098757566103854,0.0177873415722351,0.031446911501631,1.950143357757248,10.0,56
234x234,e2e_wc,task_plus_reg,11,L2,3,117.0136826471659,0.1297601984989289,8.30465270393145,0.5664224275246894,0.0866881193982706,0.1118552036199095,7.134756291812679,41.0,106
234x234,e2e_wc,task_plus_reg,11,L2,4,242.10347130039656,0.1968565590583483,12.598819779734292,0.671395955642531,0.1471642816719217,0.1800474035768153,11.965916503587737,54.0,109
234x234,e2e_wc,task_plus_reg,23,L1,2,54.31342963722199,0.0024253702590657,0.1552236965802086,0.1081554635234151,5.132862162909149e-05,2.5255182573924025e-05,0.1224912392481682,1.0,5
234x234,e2e_wc,task_plus_reg,23,L1,3,117.0136826471659,0.0177924699862838,1.1387180791221665,0.3415100350430073,0.001354285939906,0.0032579185520361,0.5093978974195603,2.0,18
234x234,e2e_wc,task_plus_reg,23,L1,4,242.10347130039656,0.0679455015936129,4.348512101991227,0.494781474233529,0.0184392432694639,0.0375350140056022,1.7521200260926288,8.0,75
234x234,e2e_wc,task_plus_reg,23,L2,2,54.31342963722199,0.0661284232588962,4.232219088569359,0.543166613571201,0.0242034192758716,0.0411533200042091,2.3985345651481365,11.0,63
234x234,e2e_wc,task_plus_reg,23,L2,3,117.0136826471659,0.1401128115030745,8.967219936196773,0.6298184135074865,0.0905969913531014,0.1201199621172261,7.41573749601784,36.0,109
234x234,e2e_wc,task_plus_reg,23,L2,4,242.10347130039656,0.250301760863391,16.019312695257028,0.7131441617742987,0.1997332039776861,0.2365460030165912,15.812296151337248,64.0,108
234x234,e2e_wc,task_plus_reg,37,L1,2,54.31342963722199,0.0025968221677685,0.1661966187371892,0.1107040458744823,5.132862162909149e-05,6.524255498263706e-05,0.1267919719655941,1.0,6
234x234,e2e_wc,task_plus_reg,37,L1,3,117.0136826471659,0.0145868972213232,0.9335614221646864,0.3566422427524689,0.0005586923046551,0.001605808691992,0.452532653711373,2.0,7
234x234,e2e_wc,task_plus_reg,37,L1,4,242.10347130039656,0.0542617312001009,3.4727507968064626,0.4657534246575342,0.013103322823187,0.0271234647705235,1.3825831702544031,5.0,69
234x234,e2e_wc,task_plus_reg,37,L2,2,54.31342963722199,0.0637569929261639,4.080447547274493,0.4842306467027716,0.0285920164251589,0.0449163422077238,2.55989168525008,14.0,66
234x234,e2e_wc,task_plus_reg,37,L2,3,117.0136826471659,0.0891241697104196,5.703946861466858,0.5243708187320802,0.0488608994353851,0.0704851099652741,4.183657215673781,21.0,82
234x234,e2e_wc,task_plus_reg,37,L2,4,242.10347130039656,0.2117848464766953,13.554230174508504,0.6872146118721462,0.1576340043657531,0.1938418444300797,12.560502283105023,52.44999999999982,103
234x234,local_tsce,task_only,11,L1,2,54.31342963722199,0.0036640621387951,0.2344999768828887,0.1672507167887862,0.000112528132033,6.313795643481006e-05,0.1970372730168843,1.0,6
234x234,local_tsce,task_only,11,L1,3,117.0136826471659,0.0181276680999275,1.1601707583953642,0.390729531697993,0.0009989339440123,0.0026223297905924,0.5250079643198471,2.0,13
