seed,objective,epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_l1_firing_rate,train_l2_firing_rate,train_output_firing_rate,train_silent_output_fraction,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_l1_firing_rate,val_l2_firing_rate,val_output_firing_rate,val_silent_output_fraction
11,relative_10bin_ce,1,2.4882046281778463,0.055077452667814115,0.0838502894954508,0.014443840076471953,0.0005066407623896696,0.00019208384276550488,0.0001298005259014856,0.9690189328743546,2.490391254425049,0.05555555555555555,0.08333333333333333,0.008838383838383838,0.0001344263014660697,2.0575454306031077e-05,7.315717086588827e-06,0.9920634920634921
11,relative_10bin_ce,2,2.486478033246354,0.05679862306368331,0.08542261653947596,0.017458207809085,0.0005095194030850654,0.00019182214815683253,0.00013119623048107147,0.9672977624784854,2.4902000427246094,0.05555555555555555,0.08333333333333333,0.008838383838383838,0.0001316829075585989,2.0575454306031077e-05,7.315717086588827e-06,0.9920634920634921
11,relative_10bin_ce,3,2.484574368816645,0.055077452667814115,0.08382005243691183,0.014634435185674548,0.000508472624650376,0.0001983645133736413,0.00013817475337900078,0.9707401032702238,2.4897828102111816,0.05555555555555555,0.08333333333333333,0.008771929824561403,0.0001303112106048635,1.7832060398560266e-05,0.0,1.0
11,relative_10bin_ce,4,2.4830466851515123,0.055077452667814115,0.08433105872622003,0.015265866209262437,0.0005171085467365635,0.0002046451839817777,0.00018283729992574853,0.9672977624784854,2.4896228313446045,0.05555555555555555,0.08333333333333333,0.008771929824561403,0.0001344263014660697,1.6460363444824863e-05,0.0,1.0
11,relative_10bin_ce,5,2.4807867991534445,0.06196213425129088,0.09230769230769231,0.025281124857697613,0.0005375207262130068,0.00022453397424087627,0.00023168696021125384,0.9655765920826161,2.4894583225250244,0.05555555555555555,0.08333333333333333,0.008771929824561403,0.00014265648318848213,2.7433939074708104e-05,0.0,1.0
11,relative_10bin_ce,6,2.4784297019807484,0.06196213425129088,0.09122208436724566,0.027403282392675213,0.0005571478218634331,0.0002470397105866984,0.0003014721891905472,0.955249569707401,2.4908015727996826,0.05555555555555555,0.08333333333333333,0.008905852417302799,0.00015088666491089458,3.0177332982178915e-05,1.4631434173177655e-05,0.9841269841269841
11,relative_10bin_ce,7,2.476249761302377,0.09122203098106713,0.0921741452991453,0.03171787772967044,0.0005851491449913746,0.00028263017736613797,0.00037684023648818394,0.9518072289156626,2.491367816925049,0.05555555555555555,0.08333333333333333,0.008905852417302799,0.0001577451496795716,3.429242384338513e-05,3.6578585432944135e-05,0.9841269841269841
11,relative_10bin_ce,8,2.4732306873531638,0.09466437177280551,0.09586004273504273,0.03755522715837761,0.0006092250489892308,0.000320052506406284,0.0004884966028550533,0.9449225473321858,2.4937803745269775,0.05555555555555555,0.08333333333333333,0.008974358974358975,0.00017832060398560268,6.035466596435783e-05,0.00010242003921224359,0.9761904761904762
11,relative_10bin_ce,9,2.468149312391954,0.0981067125645439,0.09903493388163198,0.043851167564042504,0.0006291138392483293,0.0003493623025775872,0.0005875916280056498,0.9397590361445783,2.493830442428589,0.05555555555555555,0.08333333333333333,0.00904392764857881,0.00018243569484680889,6.309805987182863e-05,0.0001316829075585989,0.9682539682539683
11,relative_10bin_ce,10,2.466723217200905,0.0981067125645439,0.09903493388163198,0.04406487491953629,0.0006610405815063561,0.00039777580518197194,0.0007090179264296202,0.9432013769363167,2.4955222606658936,0.06349206349206349,0.09027777777777778,0.020948689553340717,0.00019752436133789835,8.09301202703889e-05,0.0001828929271647207,0.9682539682539683
11,relative_10bin_ce,11,2.463731050491333,0.10154905335628227,0.10236826721496532,0.05015557831561341,0.0006845930962868675,0.00043650660726547973,0.0008123000653189744,0.9345955249569707,2.4946553707122803,0.05555555555555555,0.08333333333333333,0.00904392764857881,0.0002153564217364586,0.00010013387762268458,0.00024141866385743132,0.9682539682539683
11,relative_10bin_ce,12,2.4587686070066312,0.09982788296041308,0.10060191904531528,0.04927481167910692,0.0007243706768050647,0.00048570519369588156,0.0009476834095388034,0.9225473321858864,2.4975054264068604,0.05555555555555555,0.08333333333333333,0.00904392764857881,0.00023456017908875427,0.00011522254411377403,0.00029994440055014195,0.9682539682539683
11,relative_10bin_ce,13,2.4532698161015207,0.10154905335628227,0.10223472020641831,0.052170861820838556,0.0007672885926273301,0.0005307166663875258,0.0010760882308607032,0.9139414802065404,2.497222900390625,0.05555555555555555,0.08333333333333333,0.00904392764857881,0.0002510205425335791,0.0001316829075585989,0.0003657858543294414,0.9682539682539683
11,relative_10bin_ce,14,2.4495598617396133,0.10327022375215146,0.10485878968532651,0.056416101491944766,0.0007955516103639439,0.0005749430552531529,0.0011556433918970975,0.9053356282271945,2.4973793029785156,0.05555555555555555,0.08333333333333333,0.00904392764857881,0.0002661092090246686,0.00015088666491089458,0.00038773300558920783,0.9603174603174603
11,relative_10bin_ce,15,2.4458810815302314,0.10843373493975904,0.10983389450712942,0.06261262000031269,0.0008345441070561241,0.0006293755338570017,0.001288235326957755,0.9018932874354562,2.497722625732422,0.06349206349206349,0.09027777777777778,0.02200686452654957,0.00028119787551575805,0.00016871872530945482,0.00040968015684897434,0.9523809523809523
11,relative_10bin_ce,16,2.440201556210674,0.11015490533562823,0.1101906950491856,0.06639042868207583,0.0008758918552263554,0.0007050052757633108,0.001452928467348887,0.8984509466437177,2.497727632522583,0.06349206349206349,0.09027777777777778,0.02200686452654957,0.0002976582389605829,0.0001892941796154859,0.0005267316302343956,0.9523809523809523
11,relative_10bin_ce,17,2.4356319592454554,0.10671256454388985,0.10846106485599792,0.07119067699737579,0.0009154077411358802,0.0007633631734972449,0.0016301829489562922,0.891566265060241,2.4983880519866943,0.05555555555555555,0.08333333333333333,0.009259259259259259,0.0003223487841278202,0.00020575454306031077,0.0005706259327539285,0.9444444444444444
11,relative_10bin_ce,18,2.430368497736893,0.10843373493975904,0.11120737044377743,0.06731346901088013,0.0009347731421776341,0.0007973834726246504,0.0017195080420497875,0.8864027538726333,2.499253749847412,0.05555555555555555,0.08333333333333333,0.009186351706036745,0.00034429593538758666,0.000216728118690194,0.0006291516694466392,0.9523809523809523
11,relative_10bin_ce,19,2.4244067467838883,0.10843373493975904,0.11002208100034738,0.06743827697696533,0.0009716720820004354,0.0008567881487932739,0.001953986411420213,0.8777969018932874,2.500082015991211,0.05555555555555555,0.08333333333333333,0.009186351706036745,0.00036487138969361777,0.00023044508822754806,0.0007169402744857051,0.9444444444444444
11,relative_10bin_ce,20,2.4204635267208445,0.11187607573149742,0.1153717828781229,0.08459587085333246,0.0010106645786926156,0.0009125291004404844,0.0021396151205051333,0.8588640275387264,2.505751371383667,0.05555555555555555,0.08333333333333333,0.009186351706036745,0.000368986480554824,0.0002455337547186375,0.0008339917478711263,0.9523809523809523
11,relative_10bin_ce,21,2.4148577905152626,0.11015490533562823,0.11399235706866566,0.07933082852504984,0.0010509655484281575,0.0009954862913896193,0.0023615321486592862,0.8554216867469879,2.5042831897735596,0.05555555555555555,0.08333333333333333,0.009186351706036745,0.0003840751470459134,0.0002729676937933456,0.0008998332016504258,0.9523809523809523
11,relative_10bin_ce,22,2.404762193791427,0.12220309810671257,0.12368267684597062,0.09477089071487531,0.0011072298892927128,0.0011064448054666958,0.0027467466126249855,0.8364888123924269,2.5076100826263428,0.05555555555555555,0.08333333333333333,0.009186351706036745,0.00041288078307435695,0.000311375208497937,0.001229040470546923,0.9523809523809523
11,relative_10bin_ce,23,2.393707572080182,0.12908777969018934,0.13006632464471274,0.10516155536146161,0.0011682047331133703,0.0012111226489356357,0.003211516237627079,0.8227194492254734,2.507023811340332,0.05555555555555555,0.08333333333333333,0.009186351706036745,0.000433456237380388,0.00033743745061890965,0.0012583033388932784,0.9523809523809523
11,relative_10bin_ce,24,2.3842039571982037,0.12908777969018934,0.1297659059210591,0.10615358902893911,0.0012503768402364881,0.0013621204381395816,0.0038535403442365775,0.8089500860585198,2.5050039291381836,0.05555555555555555,0.08333333333333333,0.009259259259259259,0.00047323544903871476,0.0003799600561847072,0.0014704591344043543,0.9365079365079365
11,relative_10bin_ce,25,2.372525018586965,0.12908777969018934,0.12891301928987056,0.11382816503810889,0.0013346425042289848,0.0015356239636893497,0.004464858950095187,0.7986230636833046,2.5162529945373535,0.05555555555555555,0.08333333333333333,0.009333333333333334,0.0005171297515582478,0.0004567750855938899,0.0018435607058203845,0.9206349206349206
11,relative_10bin_ce,26,2.362269441765475,0.12220309810671257,0.12256323699669204,0.10238856912910094,0.0014285908687423584,0.0017169783274992882,0.005279950424573333,0.7814113597246127,2.5186545848846436,0.05555555555555555,0.08333333333333333,0.009485094850948509,0.0005719976297076639,0.0005157580546045124,0.002158136540543704,0.9047619047619048
