scale,gap_ms,layer,state,corr_mean_mean,corr_mean_std,corr_mean_count,context_sensitivity_mean,context_sensitivity_std,context_sensitivity_count
stroke,0,L1,spike50,0.7940424812064776,0.12350599706682966,763,0.20595751879352234,0.12350599706682962,763
stroke,0,L1,syn_current,0.950984923801177,0.03694277546287759,765,0.049015076198822984,0.0369427754628776,765
stroke,0,L1,pre_reset,0.9352467777106842,0.0428431964849953,765,0.0647532222893158,0.042843196484995315,765
stroke,0,L2,spike50,0.5294089482928539,0.238783402204043,754,0.47059105170714605,0.238783402204043,754
stroke,0,L2,syn_current,0.6646825069284189,0.23429569250344048,763,0.33531749307158104,0.23429569250344054,763
stroke,0,L2,pre_reset,0.6465800333617024,0.24399854025961978,763,0.35341996663829756,0.24399854025961978,763
stroke,50,L1,spike50,0.8122216549984006,0.11389539472502139,764,0.1877783450015994,0.11389539472502143,764
stroke,50,L1,syn_current,0.9603432759389142,0.03178870753871877,765,0.039656724061085814,0.03178870753871876,765
stroke,50,L1,pre_reset,0.9461402823952905,0.03700406180685683,765,0.053859717604709506,0.03700406180685684,765
stroke,50,L2,spike50,0.5640720679720106,0.23177127678534112,751,0.4359279320279894,0.23177127678534118,751
stroke,50,L2,syn_current,0.6904580888200965,0.22618071028047512,764,0.3095419111799035,0.22618071028047523,764
stroke,50,L2,pre_reset,0.6688647787915888,0.23693333635726443,764,0.3311352212084111,0.23693333635726452,764
stroke,100,L1,spike50,0.8331676380367793,0.10188200877520129,763,0.16683236196322063,0.10188200877520127,763
stroke,100,L1,syn_current,0.9700405152673276,0.024395858053442864,765,0.0299594847326723,0.024395858053442895,765
stroke,100,L1,pre_reset,0.9573706891567677,0.029485378843607576,765,0.042629310843232335,0.02948537884360754,765
stroke,100,L2,spike50,0.6021579882061249,0.22176674612351216,752,0.3978420117938751,0.2217667461235121,752
stroke,100,L2,syn_current,0.726246909762261,0.20836791055715534,763,0.27375309023773897,0.2083679105571552,763
stroke,100,L2,pre_reset,0.7035384041802418,0.2203543692284256,763,0.29646159581975806,0.22035436922842566,763
stroke,250,L1,spike50,0.8882618554780459,0.0819998845489218,763,0.11173814452195405,0.0819998845489218,763
stroke,250,L1,syn_current,0.9883403247570275,0.010480656641659297,765,0.011659675242972447,0.010480656641659267,765
stroke,250,L1,pre_reset,0.979376816317487,0.014364063051670288,765,0.020623183682512952,0.014364063051670284,765
stroke,250,L2,spike50,0.7333538796006487,0.17331956962344777,749,0.26664612039935126,0.17331956962344772,749
stroke,250,L2,syn_current,0.8360296766476185,0.14884387701746354,763,0.16397032335238143,0.1488438770174636,763
stroke,250,L2,pre_reset,0.8183090645556383,0.16118232831866539,763,0.18169093544436157,0.1611823283186653,763
