epoch,train_ba,val_ba,train_loss,val_mean_loss,val_sum_loss,val_mean_logit_l2,val_sum_logit_l2,val_mean_grad_w_fro,val_sum_grad_w_fro,val_mean_corr_length_logit_l2,val_sum_corr_length_logit_l2,val_mean_corr_length_grad_w_fro,val_sum_corr_length_grad_w_fro
1.0,0.1099509039760612,0.13214285714285715,2.4796760861926974,2.4704856872558594,3.8240530490875244,0.09001225233078003,8.554508209228516,0.4201643168926239,36.4490852355957,0.13963344323125687,0.216764895617653,0.10955184938400984,0.11321414782938051
2.0,0.11605245121754554,0.13214285714285715,2.462578423462308,2.4552581310272217,5.230762004852295,0.16699764132499695,15.75421142578125,0.5692765116691589,50.90040588378906,0.12864660087038643,0.21376892010469312,0.095855740224608,0.08261100020471507
3.0,0.12260463142145532,0.11547619047619045,2.446657654340419,2.4412403106689453,7.744927883148193,0.2768715023994446,25.96367073059082,0.7485671043395996,71.00035858154297,0.12119855160214471,0.21929686733498796,0.08547677154632165,0.07954909020512847
4.0,0.12316965005644252,0.09325396825396826,2.43093869402979,2.429558277130127,10.65632152557373,0.4086132347583771,38.21232223510742,0.9332054257392883,94.81744384765625,0.12220513369939158,0.23179401487165202,0.09055727282656609,0.11354424907298319
5.0,0.11629465005644252,0.09325396825396826,2.4173080092247914,2.4185593128204346,13.916513442993164,0.5555296540260315,51.86406707763672,1.1091886758804321,114.83182525634766,0.12419311665427463,0.24320281313144837,0.09300957977611042,0.12149620111694105
6.0,0.11465287856797292,0.09325396825396826,2.404694152575967,2.4072623252868652,16.502580642700195,0.6854431629180908,64.05558776855469,1.2440541982650757,130.08306884765625,0.13460736229660433,0.2597620312517211,0.1023042447272513,0.13562955771579827
7.0,0.13403879750577863,0.11408730158730157,2.3901380671896746,2.394906759262085,17.185976028442383,0.7727630734443665,72.27978515625,1.3154284954071045,136.3466033935547,0.14156088644779943,0.2691826688071829,0.10879835652643971,0.12631596385195956
8.0,0.15843889426436594,0.12103174603174603,2.3750405886087074,2.3828604221343994,16.77589988708496,0.8257284164428711,77.33292388916016,1.3450762033462524,137.55503845214844,0.14725269737984895,0.2741492969396441,0.1131152522803395,0.12758707021009622
9.0,0.19428499435574909,0.14186507936507936,2.3575007919600415,2.3689160346984863,15.527945518493652,0.862654983997345,80.88494873046875,1.3682149648666382,139.62542724609375,0.15175106652845874,0.27760327400653495,0.11643847465073431,0.14539264216241576
10.0,0.19343312682542244,0.1626984126984127,2.338317906794983,2.353902816772461,16.68478775024414,0.9588354825973511,89.95623016357422,1.4475255012512207,139.630859375,0.15718586916019356,0.2862655117434174,0.12186138389408983,0.11640771533705617
