method,layer,threshold_multiplier,shift,mean_value_per_neuron_step_mean,mean_value_per_neuron_step_std,fraction_nonzero_mean,fraction_nonzero_std,fraction_gt1_mean,fraction_gt1_std,fraction_at_cap_mean,fraction_at_cap_std
binary128,l1,1.0,2,0.0075650746682694526,0.00012232425498472384,0.0075650746682694526,0.00012232425498472384,0.0,0.0,0.0075650746682694526,0.00012232425498472384
binary128,l1,1.0,3,0.02784841339559542,0.00613004595891094,0.02784841339559542,0.00613004595891094,0.0,0.0,0.02784841339559542,0.00613004595891094
binary128,l1,1.0,4,0.13234547740014938,0.006786652197781847,0.13234547740014938,0.006786652197781847,0.0,0.0,0.13234547740014938,0.006786652197781847
binary128,l2,1.0,2,0.3486330081526346,0.006063796461843302,0.3486330081526346,0.006063796461843302,0.0,0.0,0.3486330081526346,0.006063796461843302
binary128,l2,1.0,3,0.36530815109343934,0.0182413467611786,0.36530815109343934,0.0182413467611786,0.0,0.0,0.36530815109343934,0.0182413467611786
binary128,l2,1.0,4,0.38076632795817683,0.009470639157525523,0.38076632795817683,0.009470639157525523,0.0,0.0,0.38076632795817683,0.009470639157525523
weighted31_128,l1,1.0,2,0.00754388398292416,0.0010820119042190973,0.007524619723519349,0.001083615875803843,1.9264259404811444e-05,1.3346670423727998e-05,0.0,0.0
weighted31_128,l1,1.0,3,0.02880713137197487,0.00709378602176721,0.028708883649010333,0.007017629496928637,9.824772296453836e-05,7.898346355972691e-05,0.0,0.0
weighted31_128,l1,1.0,4,0.13592584703419694,0.008939164278603202,0.13082812647921993,0.008817640398313991,0.005064849001230711,0.001014259341523498,0.0,0.0
weighted31_128,l2,1.0,2,0.35201260139421864,0.017898843623688314,0.35201260139421864,0.017898843623688314,0.0,0.0,0.35201260139421864,0.017898843623688314
weighted31_128,l2,1.0,3,0.3684077704316735,0.016324108868395106,0.3684077704316735,0.016324108868395106,0.0,0.0,0.3684077704316735,0.016324108868395106
weighted31_128,l2,1.0,4,0.3746456446506148,0.013218890145907845,0.3746456446506148,0.013218890145907845,0.0,0.0,0.3746456446506148,0.013218890145907845
mt3_128,l1,0.5,2,0.03895883955526103,0.0043413125914336746,0.03895883955526103,0.0043413125914336746,0.0,0.0,0.03895883955526103,0.0043413125914336746
mt3_128,l1,0.5,3,0.11918567957335353,0.01660022781457719,0.11918567957335353,0.01660022781457719,0.0,0.0,0.11918567957335353,0.01660022781457719
mt3_128,l1,0.5,4,0.2518579002177412,0.02772500247894135,0.2518579002177412,0.02772500247894135,0.0,0.0,0.2518579002177412,0.02772500247894135
mt3_128,l1,1.0,2,0.005535306678447832,0.0013514745733872843,0.005535306678447832,0.0013514745733872843,0.0,0.0,0.005535306678447832,0.0013514745733872843
mt3_128,l1,1.0,3,0.02348212313421061,0.0038245079620891852,0.02348212313421061,0.0038245079620891852,0.0,0.0,0.02348212313421061,0.0038245079620891852
mt3_128,l1,1.0,4,0.08564288869954874,0.013232953347573554,0.08564288869954874,0.013232953347573554,0.0,0.0,0.08564288869954874,0.013232953347573554
mt3_128,l1,1.5,2,0.000520685411341475,0.0001488656823985743,0.000520685411341475,0.0001488656823985743,0.0,0.0,0.000520685411341475,0.0001488656823985743
mt3_128,l1,1.5,3,0.0032779513395815585,0.0006365803628038321,0.0032779513395815585,0.0006365803628038321,0.0,0.0,0.0032779513395815585,0.0006365803628038321
mt3_128,l1,1.5,4,0.03449738079459749,0.00658536303276749,0.03449738079459749,0.00658536303276749,0.0,0.0,0.03449738079459749,0.00658536303276749
mt3_128,l2,1.0,2,0.3795836094543848,0.009209720473219574,0.3795836094543848,0.009209720473219574,0.0,0.0,0.3795836094543848,0.009209720473219574
mt3_128,l2,1.0,3,0.40523011800001024,0.01784260919743078,0.40523011800001024,0.01784260919743078,0.0,0.0,0.40523011800001024,0.01784260919743078
