method,l1_width_mean,l1_width_std,parameter_count_mean,parameter_count_std,linear_test_ba_mean,linear_test_ba_std,lif_test_ba_mean,lif_test_ba_std,best_epoch_mean,best_epoch_std,l1_pre_reset_whole_ba_mean,l1_pre_reset_whole_ba_std,l1_pre_reset_fixed250_ba_mean,l1_pre_reset_fixed250_ba_std,l1_communication_whole_ba_mean,l1_communication_whole_ba_std,l1_communication_fixed250_ba_mean,l1_communication_fixed250_ba_std,l2_pre_reset_whole_ba_mean,l2_pre_reset_whole_ba_std,l2_pre_reset_fixed250_ba_mean,l2_pre_reset_fixed250_ba_std,l2_communication_whole_ba_mean,l2_communication_whole_ba_std,l2_communication_fixed250_ba_mean,l2_communication_fixed250_ba_std,l1_quantization_gap_whole_mean,l1_quantization_gap_whole_std,l1_quantization_gap_fixed250_mean,l1_quantization_gap_fixed250_std,l2_quantization_gap_whole_mean,l2_quantization_gap_whole_std,l2_quantization_gap_fixed250_mean,l2_quantization_gap_fixed250_std
binary128,128.0,0.0,21760.0,0.0,0.5645017020017019,0.032830002252363294,0.5246843434343434,0.03737815187318897,91.0,2.6457513110645907,0.5311704499204498,0.024105163336712736,0.623111148111148,0.010642177098256681,0.5647514522514522,0.024849056426323332,0.5340670903170902,0.010434188213798944,0.5492863617863617,0.010603917066769747,0.5897424334924334,0.012493883277289853,0.5547915047915047,0.010824095222741793,0.6183529433529433,0.021818358358565947,-0.03358100233100236,0.047497033643187456,0.08904405779405777,0.021028674804279533,-0.005505143005142932,0.021414778630933013,-0.028610509860509874,0.03347307463698474
weighted31_128,128.0,0.0,21760.0,0.0,0.5416488603988604,0.03847605968845887,0.5014423076923077,0.030590169843084325,89.33333333333333,11.239810200058246,0.5311170311170311,0.03479875087806161,0.6132460132460132,0.014863683223326806,0.5384273134273133,0.007100283597911975,0.5376826876826876,0.021193565456357987,0.5242967680467681,0.03731505667735934,0.5751343563843564,0.019590223437773235,0.5585035335035334,0.033701025459189855,0.5950313575313575,0.02864591561333275,-0.007310282310282227,0.03420358739948411,0.07556332556332557,0.03600685616855929,-0.034206765456765396,0.0668923311880104,-0.019897001147001176,0.01867610333703964
mt3_128,128.0,0.0,21760.0,0.0,0.5346637159137159,0.011585947114532553,0.5083835146335146,0.04341023353982355,92.0,13.0,0.5608856421356421,0.02996357012567215,0.6245865245865246,0.012501957272546948,0.544090169090169,0.023889338676777085,0.5675093425093425,0.010018080303819003,0.5075968013468013,0.01790172298348361,0.5805659618159619,0.00459175912548667,0.5668336293336292,0.03298554052337534,0.5936202686202686,0.015169833882498734,0.016795473045473058,0.047442779899729386,0.05707718207718208,0.0038122805250041013,-0.059236827986828,0.0350142738441174,-0.013054306804306748,0.01059248545745262
binary384,384.0,0.0,62208.0,0.0,0.5723119473119472,0.05791008848129377,0.5407791282791282,0.045749444558267266,69.66666666666667,3.5118845842842448,0.5283512783512783,0.025451451416328576,0.6311401561401561,0.03818721018027776,0.5673948736448736,0.030773070265307883,0.5290346227846228,0.0351299006306689,0.5742495929995929,0.024641904390959972,0.5687844562844563,0.034475477945495485,0.5779449716949716,0.04930474870784822,0.6457715895215895,0.05812656129757619,-0.03904359529359532,0.010184910743789898,0.10210553335553335,0.05317758104286456,-0.003695378695378689,0.02589361950211496,-0.07698713323713324,0.02394079286645348
mt3_384,384.0,0.0,62208.0,0.0,0.5739283864283863,0.009788639048750715,0.5452149702149702,0.037460926489541135,68.66666666666667,21.54839514519198,0.532948532948533,0.014848742534369819,0.6494782994782994,0.0019439384663396684,0.5676293613793613,0.034363604244125566,0.586608299108299,0.018108464720695376,0.5581335331335331,0.011895458917782159,0.5849543974543975,0.009150610843807815,0.586063936063936,0.010005230294239475,0.6392914955414956,0.0161979594687163,-0.034680828430828314,0.02009215842716222,0.06287000037000039,0.016925208888121605,-0.027930402930402904,0.006246803532350702,-0.054337098087098044,0.020960722853195706
