contrast,method_a,method_b,delta_linear_test_ba_mean,delta_linear_test_ba_std,delta_lif_test_ba_mean,delta_lif_test_ba_std,delta_l1_pre_reset_fixed250_ba_mean,delta_l1_pre_reset_fixed250_ba_std,delta_l1_communication_fixed250_ba_mean,delta_l1_communication_fixed250_ba_std,delta_l2_pre_reset_fixed250_ba_mean,delta_l2_pre_reset_fixed250_ba_std,delta_l2_communication_fixed250_ba_mean,delta_l2_communication_fixed250_ba_std,delta_l1_quantization_gap_fixed250_mean,delta_l1_quantization_gap_fixed250_std,delta_l2_quantization_gap_fixed250_mean,delta_l2_quantization_gap_fixed250_std
weighted_vs_binary_128,weighted31_128,binary128,-0.022852841602841584,0.010190567747043064,-0.023242035742035743,0.024534354739940586,-0.009865134865134814,0.004649537645240034,0.003615597365597393,0.010926053835326828,-0.0146080771080771,0.0319803059904643,-0.023321585821585795,0.007100793794415873,-0.013480732230732206,0.015547275127411782,0.008713508713508697,0.02800658235850761
mt_vs_binary_128,mt3_128,binary128,-0.029837986087986046,0.04295656157143531,-0.01630082880082882,0.06563070968143747,0.0014753764753765441,0.012985327295665788,0.03344225219225224,0.014431261376333318,-0.009176471676471657,0.015189109970209278,-0.02473267473267478,0.012030940368820596,-0.031966875716875696,0.017798154217700715,0.015556203056203125,0.02624247130136583
mt_vs_weighted_128,mt3_128,weighted31_128,-0.006985144485144461,0.04710123804502508,0.006941206941206923,0.04253311773677684,0.011340511340511358,0.01706055864905956,0.029826654826654846,0.022212433164636725,0.005431605431605442,0.018660412643118546,-0.0014110889110889868,0.016731641445542827,-0.018486143486143487,0.033080894663741624,0.006842694342694429,0.009077104552937292
width_binary_384_vs_128,binary384,binary128,0.007810245310245286,0.05530276831831612,0.016094784844784788,0.00837938274992839,0.008029008029008078,0.04633488970032268,-0.0050324675324674994,0.027990389717679517,-0.020957977207977208,0.04501592545021074,0.02741864616864616,0.03764180990283011,0.013061475561475577,0.05717334764802523,-0.04837662337662337,0.018464921285869646
width_mt_384_vs_128,mt3_384,mt3_128,0.039264670514670454,0.02071517719594025,0.036831455581455584,0.0717605515247549,0.024891774891774892,0.011572160845848022,0.01909895659895659,0.021090268978923216,0.00438843563843568,0.009288252666096224,0.04567122692122697,0.00945110577751029,0.0057928182928183025,0.013571890142700858,-0.0412827912827913,0.018337819812424994
mt_vs_binary_384,mt3_384,binary384,0.001616439116439124,0.054306397028067006,0.004435841935841974,0.0742825056895636,0.018338143338143358,0.038565361661173685,0.057573676323676326,0.02516864014417728,0.01616994116994123,0.029837963072101157,-0.0064800939800939705,0.049516732703830495,-0.03923553298553297,0.05691996474958218,0.022650035150035202,0.025379677745456432
