method,seed,l1_width,coding,parameter_count,linear_test_ba,lif_test_ba,best_epoch,l1_pre_reset_whole_ba,l1_pre_reset_fixed250_ba,l1_communication_whole_ba,l1_communication_fixed250_ba,l2_pre_reset_whole_ba,l2_pre_reset_fixed250_ba,l2_communication_whole_ba,l2_communication_fixed250_ba,l1_quantization_gap_whole,l1_quantization_gap_fixed250,l2_quantization_gap_whole,l2_quantization_gap_fixed250
binary128,11,128,binary,21760,0.5306318681318681,0.5123529248529248,94,0.5393120768120767,0.6253427128427128,0.5444479131979132,0.530309274059274,0.5562271062271061,0.5873036685536686,0.5470009157509156,0.6111242923742923,-0.005135836385836479,0.09503343878343884,0.009226190476190554,-0.023820623820623776
binary128,23,128,binary,21760,0.5961822899322898,0.5666701354201354,89,0.5501505439005439,0.6115301365301364,0.5573447385947385,0.5458596958596957,0.5370802808302808,0.5786477411477411,0.5671509046509046,0.6428682428682428,-0.007194194694194689,0.0656704406704407,-0.030070623820623754,-0.06422050172050175
binary128,37,128,binary,21760,0.5666909479409479,0.49502997002997,90,0.504048729048729,0.6324605949605948,0.5924617049617049,0.526032301032301,0.5545516983016983,0.6032758907758907,0.5502226939726939,0.6010662948162948,-0.08841297591297592,0.10642829392829378,0.0043290043290044045,0.0022095959595959114
weighted31_128,11,128,weighted31,21760,0.4983558108558108,0.5159243534243535,77,0.49376734376734377,0.6189324564324564,0.5340451215451215,0.5271457708957709,0.5538211788211788,0.58256882006882,0.5199175824175823,0.5830988455988456,-0.040277777777777746,0.09178668553668556,0.033903596403596414,-0.0005300255300255685
weighted31_128,23,128,weighted31,21760,0.5719377844377844,0.5221022033522034,92,0.5626255688755689,0.5963786213786213,0.5346174658674657,0.562079587079587,0.536712592962593,0.5899191086691087,0.5734258796758797,0.6277146464646465,0.02800810300810319,0.03429903429903425,-0.036713286713286664,-0.03779553779553779
weighted31_128,37,128,weighted31,21760,0.5546529859029858,0.4663003663003662,99,0.5369581807081807,0.6244269619269619,0.5466193528693528,0.523822705072705,0.48235653235653236,0.5529151404151403,0.5821671384171383,0.5742805805305805,-0.009661172161172127,0.10060425685425689,-0.09981060606060593,-0.02136544011544017
mt3_128,11,128,hetero3,21760,0.5412830225330225,0.5584838772338773,99,0.5329899267399266,0.6124458874458875,0.5699099511599511,0.5565018315018314,0.526649739149739,0.5763618326118326,0.5868548118548118,0.5804674492174492,-0.03692002442002451,0.05594405594405605,-0.060205072705072804,-0.004105616605616591
mt3_128,23,128,hetero3,21760,0.5212856587856588,0.48194999444999437,100,0.5571081696081696,0.6238927738927739,0.5227716727716727,0.5699328449328449,0.5050137362637362,0.5854659229659229,0.5287622100122099,0.6102154789654789,0.034336496836496866,0.05395992895992896,-0.023748473748473664,-0.024749555999555972
mt3_128,37,128,hetero3,21760,0.5414224664224664,0.4847166722166722,77,0.59255883005883,0.6374209124209124,0.5395888833388832,0.5760933510933511,0.4911269286269286,0.5798701298701299,0.5848838661338661,0.5901778776778775,0.052969946719946814,0.06132756132756123,-0.09375693750693753,-0.01030774780774768
binary384,11,384,binary,62208,0.5787469474969474,0.5252358752358752,66,0.5267760017760017,0.6560966810966811,0.5547050172050172,0.4944756632256632,0.5935897435897435,0.5501262626262626,0.6062611000110999,0.6095078532578533,-0.02792901542901549,0.16162101787101785,-0.012671356421356417,-0.05938159063159065
binary384,23,384,binary,62208,0.6267357642357642,0.5922750860250859,70,0.5545537795537795,0.6501443001443,0.6024836274836274,0.5647089022089021,0.5826541514041513,0.608567821067821,0.6065608003108003,0.7128156565656566,-0.04792984792984789,0.0854353979353979,-0.023906648906648953,-0.10424783549783556
binary384,37,384,binary,62208,0.5114531302031301,0.5048264235764235,73,0.5037240537240537,0.5871794871794872,0.5449959762459763,0.5279193029193029,0.546504884004884,0.5476592851592851,0.5210130147630146,0.6149912587412586,-0.04127192252192258,0.05926018426018431,0.025491869241869303,-0.06733197358197351
mt3_384,11,384,hetero3,62208,0.5643120768120767,0.5193355255855255,48,0.5184697247197247,0.6474386724386724,0.5303987678987678,0.5810918248418248,0.5635184260184259,0.5893849206349207,0.5954989454989454,0.620706376956377,-0.011929043179043086,0.06634684759684761,-0.0319805194805195,-0.03132145632145633
mt3_384,23,384,hetero3,62208,0.5838807026307026,0.5281378343878343,67,0.5322344322344322,0.6513098013098013,0.5743589743589742,0.6068334443334443,0.5444978632478632,0.5910464535464536,0.5755723443223443,0.6504058441558441,-0.042124542124541975,0.04447635697635699,-0.031074481074481075,-0.05935939060939055
mt3_384,37,384,hetero3,62208,0.5735923798423798,0.5881715506715507,91,0.5481414418914419,0.6496864246864247,0.5981303418803418,0.5718996281496281,0.5663843101343101,0.5744318181818182,0.5871205183705183,0.6467622655122655,-0.04998889998889988,0.07778679653679654,-0.020736208236208142,-0.07233044733044725
