contrast,method_a,method_b,seed,delta_linear_test_ba,delta_lif_test_ba,delta_l1_pre_reset_fixed250_ba,delta_l1_communication_fixed250_ba,delta_l2_pre_reset_fixed250_ba,delta_l2_communication_fixed250_ba,delta_l1_quantization_gap_fixed250,delta_l2_quantization_gap_fixed250
weighted_vs_binary_128,weighted31_128,binary128,11,-0.03227605727605731,0.0035714285714286698,-0.0064102564102563875,-0.003163503163503112,-0.004734848484848508,-0.028025446775446716,-0.0032467532467532756,0.023290598290598208
weighted_vs_binary_128,weighted31_128,binary128,23,-0.02424450549450541,-0.04456793206793208,-0.015151515151515138,0.016219891219891314,0.011271367521367592,-0.01515359640359637,-0.03137140637140645,0.026424963924963962
weighted_vs_binary_128,weighted31_128,binary128,37,-0.012037962037962036,-0.028729603729603814,-0.008033633033632914,-0.0022095959595960224,-0.050360750360750384,-0.0267857142857143,-0.005824037074036892,-0.023575036075036082
mt_vs_binary_128,mt3_128,binary128,11,0.010651154401154383,0.04613095238095244,-0.012896825396825351,0.02619255744255744,-0.010941835941835953,-0.03065684315684314,-0.03908938283938279,0.019715007215007185
mt_vs_binary_128,mt3_128,binary128,23,-0.07489663114663103,-0.08472014097014108,0.01236263736263743,0.02407314907314917,0.006818181818181834,-0.03265276390276395,-0.01171051171051174,0.03947094572094578
mt_vs_binary_128,mt3_128,binary128,37,-0.02526848151848149,-0.010313297813297817,0.004960317460317554,0.050061050061050105,-0.023405760905760853,-0.010888417138417261,-0.04510073260073255,-0.012517343767343592
mt_vs_weighted_128,mt3_128,weighted31_128,11,0.042927211677211696,0.04255952380952377,-0.0064865689865689635,0.029356060606060552,-0.006206987456987445,-0.0026313963813964225,-0.035842629592629516,-0.0035755910755910225
mt_vs_weighted_128,mt3_128,weighted31_128,23,-0.050652125652125624,-0.040152208902209,0.027514152514152568,0.007853257853257856,-0.004453185703185758,-0.01749916749916758,0.019660894660894712,0.01304598179598182
mt_vs_weighted_128,mt3_128,weighted31_128,37,-0.013230519480519454,0.018416305916305997,0.012993950493950468,0.05227064602064613,0.02695498945498953,0.01589729714729704,-0.03927669552669566,0.01105769230769249
width_binary_384_vs_128,binary384,binary128,11,0.048115079365079305,0.012882950382950398,0.030753968253968256,-0.03583361083361075,-0.03717740592740593,-0.0016164391164390501,0.06658757908757901,-0.035560966810966876
width_binary_384_vs_128,binary384,binary128,23,0.030553474303474326,0.025604950604950494,0.03861416361416359,0.018849206349206393,0.029920079920079945,0.06994741369741375,0.019764957264957195,-0.04002733377733381
width_binary_384_vs_128,binary384,binary128,37,-0.055237817737817774,0.009796453546453476,-0.04528110778110761,0.0018870018870018601,-0.05561660561660564,0.013924963924963785,-0.04716810966810947,-0.06954156954156943
width_mt_384_vs_128,mt3_384,mt3_128,11,0.023029054279054217,-0.03914835164835173,0.03499278499278491,0.024589993339993343,0.013023088023088047,0.04023892773892779,0.010402791652791565,-0.02721583971583974
width_mt_384_vs_128,mt3_384,mt3_128,23,0.06259504384504377,0.04618783993783998,0.02741702741702745,0.03690059940059942,0.0055805305805306515,0.04019036519036523,-0.00948357198357197,-0.03460983460983458
width_mt_384_vs_128,mt3_384,mt3_128,37,0.032169913419913376,0.1034548784548785,0.012265512265512313,-0.0041937229437229995,-0.005438311688311659,0.056584387834387906,0.016459235209235312,-0.062022699522699565
mt_vs_binary_384,mt3_384,binary384,11,-0.014434870684870704,-0.00590034965034969,-0.008658008658008698,0.08661616161616154,0.03925865800865802,0.011198523698523699,-0.09527417027417023,0.02806013431013432
mt_vs_binary_384,mt3_384,binary384,23,-0.042855061605061584,-0.06413725163725159,0.0011655011655012926,0.0421245421245422,-0.01752136752136746,-0.06240981240981247,-0.040959040959040904,0.04488844488844501
mt_vs_binary_384,mt3_384,binary384,37,0.06213924963924966,0.0833451270951272,0.06250693750693748,0.043980325230325246,0.02677253302253313,0.03177100677100686,0.01852661227661223,-0.004998473748473731
