method,seed,layer,bank,cap,count,fraction_at_cap,fraction_gt1,fraction_nonzero,mean_value_per_neuron_step,shift,start,stop,threshold_multiplier
binary128,11,l1,0,1,43,0.007472606223126358,0.0,0.007472606223126358,0.007472606223126358,2,0,43,1.0
binary128,11,l1,0,1,43,0.029304791406599164,0.0,0.029304791406599164,0.029304791406599164,3,43,86,1.0
binary128,11,l1,0,1,42,0.13310020827416455,0.0,0.13310020827416455,0.13310020827416455,4,86,128,1.0
binary128,11,l2,0,1,43,0.34175952039699786,0.0,0.34175952039699786,0.34175952039699786,2,0,43,1.0
binary128,11,l2,0,1,43,0.3861597854732073,0.0,0.3861597854732073,0.3861597854732073,3,43,86,1.0
binary128,11,l2,0,1,42,0.3828891728991133,0.0,0.3828891728991133,0.3828891728991133,4,86,128,1.0
binary128,23,l1,0,1,43,0.007518840445697905,0.0,0.007518840445697905,0.007518840445697905,2,0,43,1.0
binary128,23,l1,0,1,43,0.03311911476875183,0.0,0.03311911476875183,0.03311911476875183,3,43,86,1.0
binary128,23,l1,0,1,42,0.12521300766827606,0.0,0.12521300766827606,0.12521300766827606,4,86,128,1.0
binary128,23,l2,0,1,43,0.3509138964661643,0.0,0.3509138964661643,0.3509138964661643,2,0,43,1.0
binary128,23,l2,0,1,43,0.35746181823785966,0.0,0.35746181823785966,0.35746181823785966,3,43,86,1.0
binary128,23,l2,0,1,42,0.3704144182523904,0.0,0.3704144182523904,0.3704144182523904,4,86,128,1.0
binary128,37,l1,0,1,43,0.007703777335984096,0.0,0.007703777335984096,0.007703777335984096,2,0,43,1.0
binary128,37,l1,0,1,43,0.021121334011435264,0.0,0.021121334011435264,0.021121334011435264,3,43,86,1.0
binary128,37,l1,0,1,42,0.13872321625800751,0.0,0.13872321625800751,0.13872321625800751,4,86,128,1.0
binary128,37,l2,0,1,43,0.35322560759474164,0.0,0.35322560759474164,0.35322560759474164,2,0,43,1.0
binary128,37,l2,0,1,43,0.3523028495692512,0.0,0.3523028495692512,0.3523028495692512,3,43,86,1.0
binary128,37,l2,0,1,42,0.3889953927230269,0.0,0.3889953927230269,0.3889953927230269,4,86,128,1.0
