contrast,architecture_a,architecture_b,delta_linear_test_ba_mean,delta_linear_test_ba_std,delta_lif_test_ba_mean,delta_lif_test_ba_std,delta_l1_whole_ba_mean,delta_l1_whole_ba_std,delta_l1_fixed250_ba_mean,delta_l1_fixed250_ba_std,delta_l2_whole_ba_mean,delta_l2_whole_ba_std,delta_l2_fixed250_ba_mean,delta_l2_fixed250_ba_std
fast_L1,123x234,234x234,-0.008519027269027238,0.005636283115549226,-0.007812557812557816,0.005505350253166144,-0.04866383616383618,0.0323354413295621,-0.02404933029933028,0.04119121160253646,-0.003574666074666092,0.059501050167471786,0.007104932104932164,0.0336807651161224
L2_short_to_mid,123x234,123x123,-0.0037043974543974345,0.05551032522685107,0.029746873496873476,0.035447210008928545,-0.013507788507788518,0.03247899226151495,-0.009797378547378555,0.007590215544004323,0.0014656639656639436,0.03980508795624651,0.004221010471010533,0.05273756798251083
L2_mid_to_long,123x345,123x234,-0.02881262256262257,0.036604415144862755,-0.0350862100862101,0.04336370767069869,-0.028632709882709884,0.007786341449117873,-0.004859261109261122,0.05477386484740623,-0.05015632515632518,0.0807953005151777,-0.04195665445665453,0.07774459204573878
fast_L1_with_long_L2,123x345,234x345,-0.00040191290191284496,0.04999268643805575,0.005312742812742817,0.05358158055927393,-0.016325803825803786,0.012153159549180673,-0.02347189847189853,0.04281120429205929,-0.04233497983497988,0.07736743536864703,0.006372331372331397,0.06325793659841124
