contrast,architecture_a,architecture_b,seed,delta_linear_test_ba,delta_lif_test_ba,delta_l1_whole_ba,delta_l1_fixed250_ba,delta_l2_whole_ba,delta_l2_fixed250_ba
fast_L1,123x234,234x234,11,-0.014344683094683175,-0.0022075147075147905,-0.049188311688311726,-0.06962481962481959,-0.024950743700743794,0.044500638250638325
fast_L1,123x234,234x234,23,-0.00811896436896431,-0.013212481962481926,-0.016069347319347393,0.010522810522810566,0.06366133866133872,-0.0023427960927960845
fast_L1,123x234,234x234,37,-0.0030934343434342315,-0.008017676767676729,-0.08073384948384943,-0.01304598179598182,-0.0494345931845932,-0.02084304584304575
L2_short_to_mid,123x234,123x123,11,-0.0508796758796759,-0.0020000832500832733,-0.04683441558441559,-0.017843267843267896,-0.034918553668553676,0.06498778998778998
L2_short_to_mid,123x234,123x123,23,0.05746336996336998,0.06799450549450547,0.018051393051393028,-0.008784271284271283,0.043980325230325135,-0.022727272727272707
L2_short_to_mid,123x234,123x123,37,-0.017696886446886384,0.023246198246198224,-0.011740342990342989,-0.0027645965145964846,-0.004664779664779628,-0.02959748584748567
L2_mid_to_long,123x345,123x234,11,-0.018452380952380942,-0.0315205627705627,-0.03684648684648678,0.05042873792873792,-0.0063512876012876696,-0.04325188700188709
L2_mid_to_long,123x345,123x234,23,-0.06948051948051948,-0.0801226551226551,-0.021359196359196364,-0.005902430902430922,-0.14339410589410584,-0.11904553779553784
L2_mid_to_long,123x345,123x234,37,0.0014950327450327094,0.006384587634587491,-0.027692446442446506,-0.059104090354090366,-0.0007235819735820215,0.03642746142746134
fast_L1_with_long_L2,123x345,234x345,11,-0.019218975468975386,0.022817460317460292,-0.028422965922965948,-0.010912698412698485,0.028542291042291,0.03050560550560555
fast_L1_with_long_L2,123x345,234x345,23,-0.03825549450549448,-0.0548319735819735,-0.0164370351870351,0.011655011655011593,-0.12486957486957484,-0.06539987789987789
fast_L1_with_long_L2,123x345,234x345,37,0.05626873126873133,0.047952741702741664,-0.004117410367410312,-0.0711580086580087,-0.03067765567765579,0.05401126651126653
