architecture,seed,linear_test_ba,lif_test_ba,lif_penalty,l1_whole_ba,l1_fixed250_ba,l2_whole_ba,l2_fixed250_ba,l1_temporal_gain,l2_temporal_gain,l2_minus_l1_whole,l2_minus_l1_fixed250,best_epoch
234x234,11,0.5306318681318681,0.5123529248529248,0.018278943278943305,0.5707944832944832,0.5369692807192806,0.5758297258297258,0.5716290653790653,-0.033825202575202606,-0.004200660450660476,0.005035242535242568,0.0346597846597847,94
234x234,23,0.5902299089799089,0.5616335053835053,0.028596403596403586,0.5631444943944944,0.5154075091575091,0.5370802808302807,0.6044032356532356,-0.04773698523698533,0.06732295482295492,-0.026064213564213734,0.08899572649572651,87
234x234,37,0.5666909479409479,0.49502997002997,0.07166097791097786,0.6255293317793318,0.5739600677100677,0.5951208513708514,0.5845980408480408,-0.0515692640692641,-0.010522810522810566,-0.03040848040848043,0.0106379731379731,90
123x234,11,0.516287185037185,0.51014541014541,0.00614177489177492,0.5216061716061715,0.46734446109446104,0.550878982128982,0.6161297036297037,-0.05426171051171047,0.06525072150072164,0.0292728105228105,0.1487852425352426,63
123x234,23,0.5821109446109446,0.5484210234210234,0.0336899211899212,0.547075147075147,0.5259303196803197,0.6007416194916194,0.6020604395604395,-0.02114482739482737,0.0013188200688201146,0.05366647241647238,0.07613011988011986,100
123x234,37,0.5635975135975136,0.4870122932622933,0.07658522033522036,0.5447954822954824,0.5609140859140859,0.5456862581862582,0.563754995004995,0.01611860361860351,0.018068736818736886,0.0008907758907757968,0.0028409090909091717,71
123x123,11,0.5671668609168609,0.5121454933954933,0.05502136752136755,0.5684405871905871,0.48518772893772893,0.5857975357975357,0.5511419136419137,-0.08325285825285816,-0.03465562215562201,0.017356948606948586,0.06595418470418474,92
123x123,23,0.5246475746475746,0.4804265179265179,0.044221056721056695,0.529023754023754,0.534714590964591,0.5567612942612943,0.6247877122877122,0.005690836940836941,0.06802641802641796,0.02773754023754027,0.09007312132312129,98
123x123,37,0.5812944000444,0.46376609501609506,0.11752830502830497,0.5565358252858253,0.5636786824286824,0.5503510378510378,0.5933524808524807,0.0071428571428570065,0.04300144300144293,-0.006184787434787564,0.02967379842379836,68
123x345,11,0.497834804084804,0.47862484737484734,0.019209956709956677,0.48475968475968473,0.517773199023199,0.5445276945276943,0.5728778166278166,0.03301351426351423,0.02835012210012222,0.05976800976800961,0.0551046176046176,100
123x345,23,0.5126304251304251,0.4682983682983683,0.04433205683205682,0.5257159507159507,0.5200278887778887,0.4573475135975136,0.4830149017649017,-0.005688061938061928,0.025667388167388117,-0.0683684371184371,-0.03701298701298705,89
123x345,37,0.5650925463425464,0.4933968808968808,0.07169566544566558,0.5171030358530359,0.5018099955599955,0.5449626762126761,0.6001824564324564,-0.01529304029304035,0.055219780219780246,0.02785964035964028,0.09837246087246088,74
234x345,11,0.5170537795537794,0.45580738705738705,0.061246392496392354,0.5131826506826507,0.5286858974358974,0.5159854034854033,0.542372211122211,0.015503246753246769,0.026386807636807674,0.0028027528027526616,0.013686313686313567,70
234x345,23,0.5508859196359196,0.5231303418803418,0.0277555777555778,0.5421529859029858,0.5083728771228772,0.5822170884670884,0.5484147796647796,-0.03378010878010862,-0.033802308802308834,0.040064102564102644,0.04004190254190243,81
234x345,37,0.508823815073815,0.4454441391941391,0.06337967587967591,0.5212204462204462,0.5729680042180042,0.5756403318903319,0.5461711899211898,0.051747557997558036,-0.029469141969142076,0.05441988566988576,-0.026796814296814353,99
