architecture,seed,layer,count,dead_neuron_fraction,mean_spikes_per_neuron_s,shift,start,stop
234x234,11,l1,43,0.1860465109348297,0.4782467982800869,2,0,43
234x234,11,l1,43,0.09302325546741486,1.8755066500223465,3,43,86
234x234,11,l1,42,0.0714285746216774,8.518413329546531,4,86,128
234x234,11,l2,43,0.0,21.872609305407863,2,0,43
234x234,11,l2,43,0.0,24.714226270285266,3,43,86
234x234,11,l2,42,0.0,24.50490706554325,4,86,128
234x234,11,output,12,0.0,14.725425226419262,0,0,12
234x234,23,l1,43,0.04651162773370743,0.5278098848767858,2,0,43
234x234,23,l1,43,0.06976744532585144,2.1002666173501625,3,43,86
234x234,23,l1,42,0.1666666716337204,8.037236896083815,4,86,128
234x234,23,l2,43,0.0,22.437529859602076,2,0,43
234x234,23,l2,43,0.0,22.218071416462465,3,43,86
234x234,23,l2,42,0.0,24.00719492568399,4,86,128
234x234,23,output,12,0.0,13.804285398718799,0,0,12
234x234,37,l1,43,0.09302325546741486,0.49304174950298213,2,0,43
234x234,37,l1,43,0.06976744532585144,1.351765376731857,3,43,86
234x234,37,l1,42,0.095238097012043,8.878285840512481,4,86,128
234x234,37,l2,43,0.0,22.606438886063465,2,0,43
234x234,37,l2,43,0.0,22.547382372432075,3,43,86
234x234,37,l2,42,0.0,24.895705134273722,4,86,128
234x234,37,output,12,0.0,14.527943450408658,0,0,12
123x234,11,l1,43,0.302325576543808,0.034891426633994485,1,0,43
123x234,11,l1,43,0.1627907007932663,0.611771233066716,2,43,86
123x234,11,l1,42,0.0476190485060215,5.086560005049071,3,86,128
123x234,11,l2,43,0.0,16.84133955954197,2,0,43
123x234,11,l2,43,0.0,22.424091112241282,3,43,86
123x234,11,l2,42,0.0,23.76281990596106,4,86,128
123x234,11,output,12,0.0,12.139606803622708,0,0,12
123x234,23,l1,43,0.27906978130340576,0.06707044554379152,1,0,43
123x234,23,l1,43,0.04651162773370743,0.7303774253702591,2,43,86
123x234,23,l1,42,0.1428571492433548,4.797879390324718,3,86,128
123x234,23,l2,43,0.0,20.96456917410267,2,0,43
123x234,23,l2,43,0.0,24.5035215066192,3,43,86
123x234,23,l2,42,0.0,25.349616586197104,4,86,128
123x234,23,output,12,0.0,11.5471614755909,0,0,12
123x234,37,l1,43,0.44186046719551086,0.048823339035554116,1,0,43
123x234,37,l1,43,0.11627907305955887,0.41906699338850617,2,43,86
123x234,37,l1,42,0.0714285746216774,4.663574110890214,3,86,128
123x234,37,l2,43,0.0,19.7335059410976,2,0,43
123x234,37,l2,43,0.0,21.324702945119977,3,43,86
123x234,37,l2,42,0.0,25.3274006753132,4,86,128
123x234,37,output,12,0.0,11.126573889993374,0,0,12
123x123,11,l1,43,0.302325576543808,0.09887959067301616,1,0,43
123x123,11,l1,43,0.06976744532585144,0.8419560158429269,2,43,86
123x123,11,l1,42,0.02380952425301075,7.427687841206728,3,86,128
123x123,11,l2,43,0.0,19.29508221985914,1,0,43
123x123,11,l2,43,0.0,26.650515511581673,2,43,86
123x123,11,l2,42,0.0,26.346303133579475,3,86,128
123x123,11,output,12,0.0,12.720565495913409,0,0,12
123x123,23,l1,43,0.1627907007932663,0.059796261192534714,1,0,43
123x123,23,l1,43,0.06976744532585144,0.8906560636182903,2,43,86
123x123,23,l1,42,0.0714285746216774,6.157972798131844,3,86,128
123x123,23,l2,43,0.0,21.466241311819008,1,0,43
123x123,23,l2,43,0.0,24.462588808235857,2,43,86
123x123,23,l2,42,0.0,25.652687052289437,3,86,128
123x123,23,output,12,0.0,11.708857963331125,0,0,12
123x123,37,l1,43,0.3720930218696594,0.059796261192534714,1,0,43
123x123,37,l1,43,0.11627907305955887,0.4655477984804352,2,43,86
123x123,37,l1,42,0.095238097012043,6.466975922244312,3,86,128
123x123,37,l2,43,0.0,18.489373834512307,1,0,43
123x123,37,l2,43,0.0,20.37696302803335,2,43,86
123x123,37,l2,42,0.0,24.867556565369686,3,86,128
123x123,37,output,12,0.0,12.14137397835211,0,0,12
123x345,11,l1,43,0.3255814015865326,0.05535777582566616,1,0,43
123x345,11,l1,43,0.09302325546741486,0.5576463698429578,2,43,86
123x345,11,l1,42,0.02380952425301075,4.288933068257124,3,86,128
123x345,11,l2,43,0.0,21.404595681723613,3,0,43
123x345,11,l2,43,0.0,24.69043105706844,4,43,86
123x345,11,l2,42,0.0,23.511376187320522,5,86,128
123x345,11,output,12,0.0,12.098519991164126,0,0,12
123x345,23,l1,43,0.25581395626068115,0.06756361058455469,1,0,43
123x345,23,l1,43,0.09302325546741486,0.5340977391465163,2,43,86
123x345,23,l1,42,0.1666666716337204,3.6530026192054024,3,86,128
123x345,23,l2,43,0.0,19.079938970826205,3,0,43
123x345,23,l2,43,0.0,22.687687826529196,4,43,86
123x345,23,l2,42,0.0,22.644072075483606,5,86,128
123x345,23,output,12,0.0,10.765628451513143,0,0,12
123x345,37,l1,43,0.4651162922382355,0.029220028665217994,1,0,43
123x345,37,l1,43,0.1627907007932663,0.30477599519164084,2,43,86
123x345,37,l1,42,0.0476190485060215,3.7609265044652718,3,86,128
123x345,37,l2,43,0.0,20.0750227318261,3,0,43
123x345,37,l2,43,0.0,21.523078582766964,4,43,86
123x345,37,l2,42,0.0,23.763577266559373,5,86,128
123x345,37,output,12,0.0,11.506958250497018,0,0,12
234x345,11,l1,43,0.1860465109348297,0.32117373279701633,2,0,43
234x345,11,l1,43,0.09302325546741486,1.5500177231186525,3,43,86
234x345,11,l1,42,0.0714285746216774,5.846950045757203,4,86,128
234x345,11,l2,43,0.0,19.005964214711728,3,0,43
