architecture,seed,layer,count,dead_neuron_fraction,mean_spikes_per_neuron_s,shift,start,stop
234x345,11,l2,43,0.0,23.357159369365203,4,43,86
234x345,11,l2,42,0.0,22.095238095238095,5,86,128
234x345,11,output,12,0.0,14.777556880936602,0,0,12
234x345,23,l1,43,0.1860465109348297,0.3609968098386426,2,0,43
234x345,23,l1,43,0.06976744532585144,1.9842495415106263,3,43,86
234x345,23,l1,42,0.190476194024086,4.984568777809335,4,86,128
234x345,23,l2,43,0.0,22.288224143511027,3,0,43
234x345,23,l2,43,0.0,22.18478277621095,4,43,86
234x345,23,l2,42,0.0,22.438069992741962,5,86,128
234x345,23,output,12,0.0,13.529489728296886,0,0,12
234x345,37,l1,43,0.09302325546741486,0.3282013346278916,2,0,43
234x345,37,l1,43,0.11627907305955887,1.0534005270701372,3,43,86
234x345,37,l1,42,0.0714285746216774,6.340370475559342,4,86,128
234x345,37,l2,43,0.0,22.91343412393854,3,0,43
234x345,37,l2,43,0.023255813866853714,22.00416108003144,4,43,86
234x345,37,l2,42,0.0,23.80346492473729,5,86,128
234x345,37,output,12,0.0,13.959796774906119,0,0,12
