architecture,layer,shift,mean_spikes_per_neuron_s_mean,mean_spikes_per_neuron_s_std,dead_neuron_fraction_mean,dead_neuron_fraction_std
234x234,l1,2,0.499699477553285,0.025443445036822557,0.10852713137865067,0.07104768492844055
234x234,l1,3,1.7758462147014553,0.3840737931414324,0.07751938203970592,0.013426748245454468
234x234,l1,4,8.477978688714275,0.4219799187942105,0.11111111442248027,0.049563477399218694
234x234,l2,2,22.305526017024466,0.38431136361384577,0.0,0.0
234x234,l2,3,23.159893353059932,1.3561248244936968,0.0,0.0
234x234,l2,4,24.469269041833655,0.4453258910533794,0.0,0.0
234x234,output,0,14.352551358515575,0.4849705506192966,0.0,0.0
123x234,l1,1,0.05026173707111337,0.016137659563294618,0.3410852750142415,0.08804508800861469
123x234,l1,2,0.5870718839418271,0.1571180755055295,0.10852713386217754,0.05852585009111342
123x234,l1,3,4.849337835421334,0.2161370984888133,0.08730159079035123,0.049563478890528326
123x234,l2,2,19.179804891580748,2.1166469362590075,0.0,0.0
123x234,l2,3,22.750771854660155,1.614392174266682,0.0,0.0
123x234,l2,4,24.813279055823788,0.9097921223124782,0.0,0.0
123x234,output,0,11.604447389735661,0.5089402499249163,0.0,0.0
123x123,l1,1,0.07282403768602853,0.022564770796382805,0.27906976640224457,0.10657152495388589
123x123,l1,2,0.7327199593138841,0.23265563888855434,0.08527132123708725,0.02685350079250365
123x123,l1,3,6.684212187194294,0.6621463348533524,0.06349206529557705,0.03636964925333415
123x123,l2,1,19.750232455396816,1.5397422826707372,0.0,0.0
123x123,l2,2,23.83002244928363,3.184253498045875,0.0,0.0
123x123,l2,3,25.622182250412866,0.7398450921991739,0.0,0.0
123x123,output,0,12.190265812532216,0.5076227353636298,0.0,0.0
123x345,l1,1,0.05071380502514628,0.019589089238611426,0.3488372166951497,0.10657153308313576
123x345,l1,2,0.4655067013937049,0.13969396708190387,0.116279070576032,0.040280253339552825
123x345,l1,3,3.9009540639759326,0.3403052630722374,0.07936508146425088,0.07653691328945261
123x345,l2,3,20.18651912812531,1.166332195676202,0.0,0.0
123x345,l2,4,22.967065822121537,1.602051644745517,0.0,0.0
123x345,l2,5,23.306341843121164,0.5872412450921188,0.0,0.0
123x345,output,0,11.457035564391427,0.667846666577958,0.0,0.0
234x345,l1,2,0.3367906257545168,0.021255618264573423,0.1550387591123581,0.0537070015850073
234x345,l1,3,1.5292225972331386,0.4657727985473746,0.09302325795094173,0.02325581386685381
234x345,l1,4,5.723963099708627,0.6862170958080375,0.11111111442248027,0.06873217510836473
234x345,l2,3,21.4025408273871,2.0989060186734076,0.0,0.0
234x345,l2,4,22.5153677418692,0.7345855344168377,0.007751937955617905,0.013426750396251824
234x345,l2,5,22.778924337572448,0.9036846731839495,0.0,0.0
234x345,output,0,14.088947794713201,0.6339778338494649,0.0,0.0
