boundary_class,boundary_type,offset_steps,layer,state,transition_mean,transition_std,transition_count
real,press,-12,L1,spike50,0.06429023350741883,0.050596954126120065,458
real,press,-12,L1,syn_current,0.07772316083842841,0.16559278507848813,684
real,press,-12,L1,pre_reset,0.0579294078568108,0.1351838501005286,684
real,press,-12,L2,spike50,0.03385821225389367,0.033859562614994926,449
real,press,-12,L2,syn_current,0.05029756974878413,0.07776469022492107,458
real,press,-12,L2,pre_reset,0.02761940469633302,0.055656794697509324,458
real,press,-11,L1,spike50,0.060702330186917085,0.049308974432149204,468
real,press,-11,L1,syn_current,0.08008281560959517,0.1655168947216742,789
real,press,-11,L1,pre_reset,0.05601092009145007,0.13016223507624933,789
real,press,-11,L2,spike50,0.03641376733902438,0.04055866377375698,462
real,press,-11,L2,syn_current,0.044539332068343256,0.06549037393795457,468
real,press,-11,L2,pre_reset,0.024827496923136034,0.04303781516424619,468
real,press,-10,L1,spike50,0.06840059605847561,0.06683944158729746,487
real,press,-10,L1,syn_current,0.10089116428606049,0.18679398351156962,852
real,press,-10,L1,pre_reset,0.06848823595330053,0.1412028220671599,852
real,press,-10,L2,spike50,0.03959623266075682,0.06415109532932639,472
real,press,-10,L2,syn_current,0.05196569148822435,0.08329968153899851,487
real,press,-10,L2,pre_reset,0.02937796427415435,0.0627078515769215,487
real,press,-9,L1,spike50,0.06389292133834454,0.052559676771753334,496
real,press,-9,L1,syn_current,0.08630828562508706,0.16443173041516665,870
real,press,-9,L1,pre_reset,0.055893924368985146,0.112863981061723,870
real,press,-9,L2,spike50,0.03866335327089735,0.05427569448800375,486
real,press,-9,L2,syn_current,0.047164112028329035,0.07012843298897925,496
real,press,-9,L2,pre_reset,0.0255327929434706,0.04808698802045566,496
real,press,-8,L1,spike50,0.0586735273438831,0.04630622854995259,501
real,press,-8,L1,syn_current,0.08195564628079244,0.16062415698742805,873
real,press,-8,L1,pre_reset,0.05206490034038119,0.11337412580228493,873
real,press,-8,L2,spike50,0.03317666169949381,0.032866323854126564,492
real,press,-8,L2,syn_current,0.03852808275501817,0.04618164555231245,501
real,press,-8,L2,pre_reset,0.020873457082392795,0.02851205628902292,501
real,press,-7,L1,spike50,0.0677462779053352,0.07440451478046392,519
real,press,-7,L1,syn_current,0.07696242865946044,0.12979146751097642,882
real,press,-7,L1,pre_reset,0.04355630304553602,0.07370780677880667,882
real,press,-7,L2,spike50,0.03484338101348085,0.04944214236192584,499
real,press,-7,L2,syn_current,0.04984323539675985,0.08964506109139934,521
real,press,-7,L2,pre_reset,0.029684895443011755,0.06647572679612411,521
real,press,-6,L1,spike50,0.06329222561137472,0.04941102662407585,525
