relation,lag_steps,layer,state,corr_mean_mean,corr_mean_std,corr_mean_count
within,1,L1,spike50,0.9317264816606073,0.01730800382163713,438
within,1,L1,syn_current,0.9523835315538034,0.01085995381848486,438
within,1,L1,pre_reset,0.9678558052880121,0.006751736070034574,438
within,1,L2,spike50,0.9614263031798236,0.013634524178480488,438
within,1,L2,syn_current,0.9501684679002872,0.02246791440385372,438
within,1,L2,pre_reset,0.9723001390803698,0.015138493643186495,438
within,2,L1,spike50,0.89879346213708,0.026317120769870004,438
within,2,L1,syn_current,0.9128387137106763,0.019450601102404565,438
within,2,L1,pre_reset,0.9388239118391868,0.014144032108206783,438
within,2,L2,spike50,0.9175489219126652,0.024317236183371952,438
within,2,L2,syn_current,0.9269226607099637,0.03303768169092578,438
within,2,L2,pre_reset,0.947355648706694,0.026444170134110313,438
within,4,L1,spike50,0.7822153980754766,0.05502304171465141,438
within,4,L1,syn_current,0.8471489950156205,0.033670285480526516,438
within,4,L1,pre_reset,0.872292158940366,0.029955370287195533,438
within,4,L2,spike50,0.7895925351471955,0.0594205614738175,438
within,4,L2,syn_current,0.8625844696327265,0.05878752988151399,438
within,4,L2,pre_reset,0.8836696343085676,0.05347693776153098,438
within,8,L1,spike50,0.6971052292881442,0.08882497859361459,438
within,8,L1,syn_current,0.7528183455935036,0.057663838974825105,438
within,8,L1,pre_reset,0.7699042231033036,0.057850984032573535,438
within,8,L2,spike50,0.617741784406466,0.11096436656219687,438
within,8,L2,syn_current,0.7417759742952545,0.10397275388268015,438
within,8,L2,pre_reset,0.7600985017104833,0.10087285037577087,438
within,16,L1,spike50,0.6399492230258158,0.15646540346405416,408
within,16,L1,syn_current,0.7114529662834271,0.11532264686408328,411
within,16,L1,pre_reset,0.7193655300190203,0.11684167775924759,411
within,16,L2,spike50,0.44543457738899905,0.18761341621203576,408
within,16,L2,syn_current,0.5750343938002191,0.19606965802976914,408
within,16,L2,pre_reset,0.5883704235070403,0.1945966360533938,408
across,16,L1,spike50,0.6801793987249111,0.08725456956573728,312
across,16,L1,syn_current,0.7635753869597648,0.07614454057868826,312
across,16,L1,pre_reset,0.7709970579528969,0.07918150499068238,312
across,16,L2,spike50,0.3753246057046103,0.18293974821329664,312
across,16,L2,syn_current,0.49319686521558137,0.20454293851353855,312
across,16,L2,pre_reset,0.517203216858181,0.20137425132578135,312
across,8,L1,spike50,0.7281317147663886,0.10320474081093117,201
across,8,L1,syn_current,0.7600484582541908,0.06684402968122856,201
across,8,L1,pre_reset,0.7806016440475037,0.06613409323371008,201
across,8,L2,spike50,0.6233728778084061,0.176297878676783,201
across,8,L2,syn_current,0.6752950837363656,0.20110619397972268,201
across,8,L2,pre_reset,0.7226336676572656,0.18320443364303282,201
across,2,L1,spike50,0.9363664846792025,0.012978546105200647,3
across,2,L1,syn_current,0.9711295013749649,0.004360650974641236,3
across,2,L1,pre_reset,0.9658513879518567,0.007728085041117785,3
across,2,L2,spike50,0.9523551978578474,0.022156854683461076,3
across,2,L2,syn_current,0.9771466245988863,0.0016889796720306433,3
across,2,L2,pre_reset,0.9835029185183001,0.0029386439509826645,3
across,4,L1,spike50,0.8074969860014806,0.09917015457841764,27
across,4,L1,syn_current,0.8616035112776481,0.044285519655378,27
across,4,L1,pre_reset,0.8776186659314668,0.04630460453821989,27
across,4,L2,spike50,0.8268315069022306,0.07491828370984835,27
across,4,L2,syn_current,0.8787375680067513,0.09369470161303015,27
across,4,L2,pre_reset,0.9120240650206443,0.05937579638401188,27
