group,method,architecture,backbone_objective,w_objective,w_train_readout,training_scope,source_backbone_method,native_test_ba_mean,native_test_ba_std,analog_test_ba_mean,analog_test_ba_std,final_lif_test_ba_mean,final_lif_test_ba_std,analog_to_lif_gap_pp_mean,analog_to_lif_gap_pp_std,l2_wholecount_probe_test_ba_mean,l2_wholecount_probe_test_ba_std,l2_fixed250_probe_test_ba_mean,l2_fixed250_probe_test_ba_std,best_epoch_mean,best_epoch_std
e2e,A1_e2e_linear_tsce,234x234,tsce,tsce,linear,joint_e2e,A1_e2e_linear_tsce,0.4719276094276094,0.0318833333403798,0.4719276094276094,0.0318833333403798,0.45861985236985237,0.03278204989986343,1.3307757057757017,0.773638493973654,0.5961214711214712,0.03179651432247856,0.5819994819994819,0.04825785705615101,75.33333333333333,14.364307617610162
e2e,A2_e2e_linear_wcce,234x234,wcce,wcce,linear,joint_e2e,A2_e2e_linear_wcce,0.5645017020017019,0.032830002252363294,0.5645017020017019,0.032830002252363294,0.5246843434343434,0.03737815187318897,3.981735856735852,2.8143530843312483,0.5862734487734488,0.00974412952227766,0.5872525622525622,0.01710593596700865,91.0,2.6457513110645907
e2e,A3_e2e_lif_tsce,234x234,tsce,tsce,lif,joint_e2e,A3_e2e_lif_tsce,0.387958337958338,0.020680262710855712,0.3968161468161468,0.017679184493951967,0.387958337958338,0.020680262710855712,0.8857808857808847,2.65046456272008,0.4810335497835498,0.018775812464873438,0.5369063806563806,0.013031570556138865,60.333333333333336,7.0945988845975885
e2e,A4_e2e_lif_wcce,234x234,wcce,wcce,lif,joint_e2e,A4_e2e_lif_wcce,0.4636451511451511,0.041503282406609054,0.4629680504680504,0.032826742175430225,0.4636451511451511,0.041503282406609054,-0.06771006771006587,2.2850421918897506,0.5447538572538572,0.027677184866212304,0.5608528046028046,0.04831294130817953,99.0,1.0
two_stage,B1_tsbackbone_linear_tsce,234x234,tsce,tsce,linear,frozen_backbone_retrain_w,A1_e2e_linear_tsce,0.46633967883967875,0.03422498240853687,0.46633967883967875,0.03422498240853687,0.43692811817811816,0.03413015357044831,2.9411560661560627,1.844200452142962,0.5961214711214712,0.03179651432247856,0.5819994819994819,0.04825785705615101,74.66666666666667,15.695009822658074
two_stage,B2_tsbackbone_linear_wcce,234x234,tsce,wcce,linear,frozen_backbone_retrain_w,A1_e2e_linear_tsce,0.5110734173234173,0.043052542954045384,0.5110734173234173,0.043052542954045384,0.4973010785510785,0.05086081881309831,1.3772338772338761,2.1290154994220556,0.5961214711214712,0.03179651432247856,0.5819994819994819,0.04825785705615101,79.33333333333333,11.015141094572202
two_stage,B3_tsbackbone_lif_tsce,234x234,tsce,tsce,lif,frozen_backbone_retrain_w,A1_e2e_linear_tsce,0.39977799977799977,0.03198095925325116,0.40843230843230843,0.021097711800724724,0.39977799977799977,0.03198095925325116,0.8654308654308681,1.4182150169744734,0.5961214711214712,0.03179651432247856,0.5819994819994819,0.04825785705615101,24.0,11.269427669584644
two_stage,B4_tsbackbone_lif_wcce,234x234,tsce,wcce,lif,frozen_backbone_retrain_w,A1_e2e_linear_tsce,0.48455063455063446,0.05027806039216672,0.49180032930032924,0.0534913418992961,0.48455063455063446,0.05027806039216672,0.7249694749694798,0.429376668987328,0.5961214711214712,0.03179651432247856,0.5819994819994819,0.04825785705615101,48.0,33.421549934136806
two_stage,B5_wcbackbone_linear_tsce,234x234,wcce,tsce,linear,frozen_backbone_retrain_w,A2_e2e_linear_wcce,0.4916662041662041,0.024911811334125136,0.4916662041662041,0.024911811334125136,0.4792362729862729,0.048617774979421116,1.242993117993113,6.3466566570804135,0.5862734487734488,0.00974412952227766,0.5872525622525622,0.01710593596700865,54.666666666666664,32.593455375785695
two_stage,B6_wcbackbone_linear_wcce,234x234,wcce,wcce,linear,frozen_backbone_retrain_w,A2_e2e_linear_wcce,0.5527065527065527,0.036761983431688156,0.5527065527065527,0.036761983431688156,0.5227619602619603,0.01298728653759066,2.9944592444592395,2.4091751361613722,0.5862734487734488,0.00974412952227766,0.5872525622525622,0.01710593596700865,69.66666666666667,15.947831618540913
two_stage,B7_wcbackbone_lif_tsce,234x234,wcce,tsce,lif,frozen_backbone_retrain_w,A2_e2e_linear_wcce,0.44935365560365553,0.01500599644156304,0.45126794501794504,0.027212784603840995,0.44935365560365553,0.01500599644156304,0.1914289414289394,3.3058659140158753,0.5862734487734488,0.00974412952227766,0.5872525622525622,0.01710593596700865,30.666666666666668,5.859465277082315
two_stage,B8_wcbackbone_lif_wcce,234x234,wcce,wcce,lif,frozen_backbone_retrain_w,A2_e2e_linear_wcce,0.5086519961519961,0.04686155205505874,0.506588319088319,0.008189468397691585,0.5086519961519961,0.04686155205505874,-0.2063677063677051,5.11208517500951,0.5862734487734488,0.00974412952227766,0.5872525622525622,0.01710593596700865,38.0,14.106735979665885
