contrast,left_method,right_method,n,final_lif_delta_pp_mean,final_lif_delta_pp_std
A1_minus_A3_e2e_tsce_linear_vs_lif,A1_e2e_linear_tsce,A3_e2e_lif_tsce,3,7.06615144115144,4.9801426994014735
A2_minus_A4_e2e_wcce_linear_vs_lif,A2_e2e_linear_wcce,A4_e2e_lif_wcce,3,6.103919228919236,7.375131270895984
B2_minus_B6_ts_vs_wc_backbone,B2_tsbackbone_linear_wcce,B6_wcbackbone_linear_wcce,3,-2.546088171088177,5.656317285851669
B2_minus_B1_wcce_vs_tsce_W,B2_tsbackbone_linear_wcce,B1_tsbackbone_linear_tsce,3,6.037296037296034,5.233828196252982
B2_minus_B4_linear_vs_lif_W_training,B2_tsbackbone_linear_wcce,B4_tsbackbone_lif_wcce,3,1.2750444000444026,5.438980725408148
B2_minus_A1_two_stage_vs_e2e_linear_tsce,B2_tsbackbone_linear_wcce,A1_e2e_linear_tsce,3,3.868122618122614,3.9152714254586485
B2_minus_A2_two_stage_vs_e2e_linear_wcce,B2_tsbackbone_linear_wcce,A2_e2e_linear_wcce,3,-2.738326488326493,8.76965485716427
B2_minus_A3_two_stage_vs_e2e_lif_tsce,B2_tsbackbone_linear_wcce,A3_e2e_lif_tsce,3,10.934274059274054,7.144690601943422
B2_minus_A4_two_stage_vs_e2e_lif_wcce,B2_tsbackbone_linear_wcce,A4_e2e_lif_wcce,3,3.3655927405927435,2.4658121558833064
