group,method,seed,architecture,backbone_objective,w_objective,w_train_readout,training_scope,source_backbone_method,best_epoch,stopped_epoch,native_train_ba,native_val_ba,native_test_ba,analog_test_ba,final_lif_test_ba,analog_to_lif_gap_pp,l2_wholecount_probe_test_ba,l2_fixed250_probe_test_ba
e2e,A1_e2e_linear_tsce,11,234x234,tsce,tsce,linear,joint_e2e,A1_e2e_linear_tsce,86,100,0.8313722528541113,0.5097703222703224,0.5055992618492618,0.5055992618492618,0.4958749583749584,0.9724303474303475,0.6151737151737151,0.637722693972694
e2e,A2_e2e_linear_wcce,11,234x234,wcce,wcce,linear,joint_e2e,A2_e2e_linear_wcce,94,100,0.9316703490044639,0.5236531986531987,0.5306318681318681,0.5306318681318681,0.5123529248529248,1.8278943278943305,0.5758297258297258,0.5716290653790653
e2e,A3_e2e_lif_tsce,11,234x234,tsce,tsce,lif,joint_e2e,A3_e2e_lif_tsce,59,89,0.6088905667491961,0.4058261183261184,0.37393856143856147,0.4127011877011877,0.37393856143856147,3.876262626262622,0.48989552114552115,0.540441502941503
e2e,A4_e2e_lif_wcce,11,234x234,wcce,wcce,lif,joint_e2e,A4_e2e_lif_wcce,100,100,0.8624672739357736,0.44858706108706103,0.504382423132423,0.4789495226995227,0.504382423132423,-2.543290043290031,0.5680666555666555,0.6096361971361971
e2e,A1_e2e_linear_tsce,23,234x234,tsce,tsce,linear,joint_e2e,A1_e2e_linear_tsce,59,89,0.6678467291939033,0.5151214526214526,0.4421994671994671,0.4421994671994671,0.43418664668664664,0.8012820512820484,0.5594148906648906,0.5542540792540792
e2e,A2_e2e_linear_wcce,23,234x234,wcce,wcce,linear,joint_e2e,A2_e2e_linear_wcce,89,100,0.9174331048696077,0.5722643097643098,0.5961822899322898,0.5961822899322898,0.5666701354201354,2.9512154512154387,0.5878697691197691,0.6055305805305805
e2e,A3_e2e_lif_tsce,23,234x234,tsce,tsce,lif,joint_e2e,A3_e2e_lif_tsce,68,98,0.6233618174329882,0.3815836940836941,0.4117091242091242,0.3999777999778,0.4117091242091242,-1.1731324231324225,0.4937382062382063,0.5478056665556665
e2e,A4_e2e_lif_wcce,23,234x234,wcce,wcce,lif,joint_e2e,A4_e2e_lif_wcce,98,100,0.7833530058666481,0.4385642135642136,0.4214160839160839,0.42521090021090013,0.4214160839160839,0.3794816294816261,0.5141656954156953,0.5130244755244755
e2e,A1_e2e_linear_tsce,37,234x234,tsce,tsce,linear,joint_e2e,A1_e2e_linear_tsce,81,100,0.8075451792740305,0.4757696007696008,0.46798409923409917,0.46798409923409917,0.4457979520479521,2.2186147186147087,0.6137758075258076,0.5540216727716728
e2e,A2_e2e_linear_wcce,37,234x234,wcce,wcce,linear,joint_e2e,A2_e2e_linear_wcce,90,100,0.9174871329830127,0.566576479076479,0.5666909479409479,0.5666909479409479,0.49502997002997,7.166097791097786,0.5951208513708514,0.5845980408480408
e2e,A3_e2e_lif_tsce,37,234x234,tsce,tsce,lif,joint_e2e,A3_e2e_lif_tsce,54,84,0.5855291353492426,0.3919071669071669,0.37822732822732824,0.3777694527694528,0.37822732822732824,-0.045787545787545625,0.4594669219669219,0.5224719724719725
e2e,A4_e2e_lif_wcce,37,234x234,wcce,wcce,lif,joint_e2e,A4_e2e_lif_wcce,99,100,0.8413296028338454,0.4299302549302549,0.46513694638694636,0.48474372849372843,0.46513694638694636,1.9606782106782072,0.5520292207792208,0.5598977411477412
two_stage,B1_tsbackbone_linear_tsce,11,234x234,tsce,tsce,linear,frozen_backbone_retrain_w,A1_e2e_linear_tsce,80,100,0.8136828745800556,0.48136123136123143,0.5037524975024974,0.5037524975024974,0.47540237540237534,2.8350122100122057,0.6151737151737151,0.637722693972694
two_stage,B2_tsbackbone_linear_wcce,11,234x234,tsce,wcce,linear,frozen_backbone_retrain_w,A1_e2e_linear_tsce,92,100,0.8541292369324992,0.5063973063973064,0.5512418137418137,0.5512418137418137,0.5261897824397824,2.5052031302031263,0.6151737151737151,0.637722693972694
two_stage,B3_tsbackbone_lif_tsce,11,234x234,tsce,tsce,lif,frozen_backbone_retrain_w,A1_e2e_linear_tsce,18,48,0.6156600861868157,0.4243386243386244,0.3939754689754689,0.41313131313131307,0.3939754689754689,1.9155844155844148,0.6151737151737151,0.637722693972694
two_stage,B4_tsbackbone_lif_wcce,11,234x234,tsce,wcce,lif,frozen_backbone_retrain_w,A1_e2e_linear_tsce,85,100,0.8566801015555462,0.47967772967772965,0.5424256299256298,0.553013653013653,0.5424256299256298,1.0588023088023202,0.6151737151737151,0.637722693972694
two_stage,B5_wcbackbone_linear_tsce,11,234x234,wcce,tsce,linear,frozen_backbone_retrain_w,A2_e2e_linear_wcce,45,75,0.830454082779389,0.4726911976911978,0.4664876789876789,0.4664876789876789,0.4759102009102008,-0.9422521922521909,0.5758297258297258,0.5716290653790653
two_stage,B6_wcbackbone_linear_wcce,11,234x234,wcce,wcce,linear,frozen_backbone_retrain_w,A2_e2e_linear_wcce,52,82,0.9151763614636707,0.5228956228956229,0.5102584915084915,0.5102584915084915,0.5079857642357642,0.2272727272727204,0.5758297258297258,0.5716290653790653
