group,method,seed,architecture,backbone_objective,w_objective,w_train_readout,training_scope,source_backbone_method,best_epoch,stopped_epoch,native_train_ba,native_val_ba,native_test_ba,analog_test_ba,final_lif_test_ba,analog_to_lif_gap_pp,l2_wholecount_probe_test_ba,l2_fixed250_probe_test_ba
two_stage,B7_wcbackbone_lif_tsce,11,234x234,wcce,tsce,lif,frozen_backbone_retrain_w,A2_e2e_linear_wcce,33,63,0.7922855336374813,0.4680555555555555,0.43596819846819845,0.4353368853368853,0.43596819846819845,-0.06313131313131493,0.5758297258297258,0.5716290653790653
two_stage,B8_wcbackbone_lif_wcce,11,234x234,wcce,wcce,lif,frozen_backbone_retrain_w,A2_e2e_linear_wcce,36,66,0.8801001277168812,0.509469696969697,0.46452644577644575,0.505237123987124,0.46452644577644575,4.071067821067819,0.5758297258297258,0.5716290653790653
two_stage,B1_tsbackbone_linear_tsce,23,234x234,tsce,tsce,linear,frozen_backbone_retrain_w,A1_e2e_linear_tsce,87,100,0.6915356037337363,0.4857563732563733,0.4366078366078366,0.4366078366078366,0.42508463758463755,1.1523199023199038,0.5594148906648906,0.5542540792540792
two_stage,B2_tsbackbone_linear_wcce,23,234x234,tsce,wcce,linear,frozen_backbone_retrain_w,A1_e2e_linear_tsce,72,100,0.7076303659229365,0.47944324194324195,0.4656239593739593,0.4656239593739593,0.4385746198246198,2.7049339549339466,0.5594148906648906,0.5542540792540792
two_stage,B3_tsbackbone_lif_tsce,23,234x234,tsce,tsce,lif,frozen_backbone_retrain_w,A1_e2e_linear_tsce,37,67,0.6943770296166006,0.4435846560846561,0.4342629592629592,0.42678432678432676,0.4342629592629592,-0.7478632478632452,0.5594148906648906,0.5542540792540792
two_stage,B4_tsbackbone_lif_wcce,23,234x234,tsce,wcce,lif,frozen_backbone_retrain_w,A1_e2e_linear_tsce,39,69,0.7094613668483278,0.4631012506012507,0.45958139083139077,0.4683365245865245,0.45958139083139077,0.8755133755133759,0.5594148906648906,0.5542540792540792
two_stage,B5_wcbackbone_linear_tsce,23,234x234,wcce,tsce,linear,frozen_backbone_retrain_w,A2_e2e_linear_wcce,91,100,0.8546545942963232,0.5424362674362674,0.4922084859584859,0.4922084859584859,0.5294316794316795,-3.7223193473193583,0.5878697691197691,0.6055305805305805
two_stage,B6_wcbackbone_linear_wcce,23,234x234,wcce,wcce,linear,frozen_backbone_retrain_w,A2_e2e_linear_wcce,74,100,0.9067511248126277,0.5531204906204905,0.5741855366855366,0.5741855366855366,0.5279324841824843,4.625305250305233,0.5878697691197691,0.6055305805305805
two_stage,B7_wcbackbone_lif_tsce,23,234x234,wcce,tsce,lif,frozen_backbone_retrain_w,A2_e2e_linear_wcce,24,54,0.7029837202393309,0.48053150553150553,0.4655753968253968,0.43577741702741696,0.4655753968253968,-2.9797979797979823,0.5878697691197691,0.6055305805305805
two_stage,B8_wcbackbone_lif_wcce,23,234x234,wcce,wcce,lif,frozen_backbone_retrain_w,A2_e2e_linear_wcce,25,55,0.8597131128116117,0.5636002886002885,0.557838689088689,0.4991584804084803,0.557838689088689,-5.868020868020873,0.5878697691197691,0.6055305805305805
two_stage,B1_tsbackbone_linear_tsce,37,234x234,tsce,tsce,linear,frozen_backbone_retrain_w,A1_e2e_linear_tsce,57,87,0.7593379579351409,0.4782166907166907,0.4586587024087024,0.4586587024087024,0.4102973415473416,4.836136086136078,0.6137758075258076,0.5540216727716728
two_stage,B2_tsbackbone_linear_wcce,37,234x234,tsce,wcce,linear,frozen_backbone_retrain_w,A1_e2e_linear_tsce,74,100,0.8053093234088289,0.527032227032227,0.5163544788544788,0.5163544788544788,0.5271388333888333,-1.0784354534354446,0.6137758075258076,0.5540216727716728
two_stage,B3_tsbackbone_lif_tsce,37,234x234,tsce,tsce,lif,frozen_backbone_retrain_w,A1_e2e_linear_tsce,17,47,0.5135225896518905,0.42157287157287154,0.37109557109557106,0.3853812853812854,0.37109557109557106,1.4285714285714346,0.6137758075258076,0.5540216727716728
two_stage,B4_tsbackbone_lif_wcce,37,234x234,tsce,wcce,lif,frozen_backbone_retrain_w,A1_e2e_linear_tsce,20,50,0.685109210692113,0.4924843674843675,0.45164488289488286,0.4540508103008103,0.45164488289488286,0.24059274059274327,0.6137758075258076,0.5540216727716728
two_stage,B5_wcbackbone_linear_tsce,37,234x234,wcce,tsce,linear,frozen_backbone_retrain_w,A2_e2e_linear_wcce,28,58,0.7613212207999139,0.4856301106301106,0.5163024475524475,0.5163024475524475,0.4323669386169386,8.393550893550888,0.5951208513708514,0.5845980408480408
two_stage,B6_wcbackbone_linear_wcce,37,234x234,wcce,wcce,linear,frozen_backbone_retrain_w,A2_e2e_linear_wcce,83,100,0.912588663623759,0.5454124579124578,0.5736756299256299,0.5736756299256299,0.5323676323676323,4.130799755799764,0.5951208513708514,0.5845980408480408
two_stage,B7_wcbackbone_lif_tsce,37,234x234,wcce,tsce,lif,frozen_backbone_retrain_w,A2_e2e_linear_wcce,35,65,0.6543124586957828,0.45322871572871576,0.44651737151737153,0.4826895326895327,0.44651737151737153,3.6172161172161155,0.5951208513708514,0.5845980408480408
two_stage,B8_wcbackbone_lif_wcce,37,234x234,wcce,wcce,lif,frozen_backbone_retrain_w,A2_e2e_linear_wcce,53,83,0.8075938546056873,0.5092352092352092,0.5035908535908535,0.5153693528693529,0.5035908535908535,1.1778499278499388,0.5951208513708514,0.5845980408480408
