epoch,layer,shift,mean_spikes_per_neuron_s,dead_neuron_fraction,spike_occupancy
1,l1,all,0.1595019270678921,0.3984375,0.002492217610435814
1,l1,2,0.020297988816800998,0.44186046719551086,0.0003171560752625156
1,l1,3,0.05979081488427251,0.3720930218696594,0.0009342314825667579
1,l1,4,0.40410543108438157,0.380952388048172,0.006314147360693462
1,l2,all,0.9556774384820634,0.203125,0.014932459976282241
1,l2,2,0.21290825226318438,0.3255814015865326,0.003326691441612256
1,l2,3,0.8798736891456781,0.1860465109348297,0.01374802639290122
1,l2,4,1.7937402058362628,0.095238097012043,0.028027190716191606
5,l1,all,0.29995552920249036,0.3359375,0.004686805143788912
5,l1,2,0.023828073828418565,0.3720930218696594,0.00037231365356904007
5,l1,3,0.08604582215817815,0.27906978130340576,0.0013444659712215335
5,l1,4,0.8016602431070264,0.3571428656578064,0.012525941298547288
5,l2,all,2.5482508152979544,0.1640625,0.03981641898903054
5,l2,2,0.8642089369066251,0.25581395626068115,0.013503264639166018
5,l2,3,2.433552354883859,0.13953489065170288,0.038024255545060295
5,l2,4,4.389818305027318,0.095238097012043,0.06859091101605184
10,l1,all,0.4816928550252001,0.2734375,0.0075264508597687515
10,l1,2,0.033094546983914674,0.3488371968269348,0.0005171022966236668
10,l1,3,0.12862747261081503,0.20930232107639313,0.002009804259543985
10,l1,4,1.3024437762060057,0.261904776096344,0.02035068400321884
10,l2,all,4.7093092202786835,0.1015625,0.07358295656685443
10,l2,2,2.1156240735250518,0.20930232107639313,0.033056626148828934
10,l2,3,4.696557477643944,0.06976744532585144,0.07338371058818663
10,l2,4,7.377804130842969,0.02380952425301075,0.11527818954442139
20,l1,all,1.0680403201897422,0.203125,0.01668813000296472
20,l1,2,0.07346989430429057,0.27906978130340576,0.0011479670985045402
20,l1,3,0.5200256482739125,0.13953489065170288,0.008125400754279883
20,l1,4,2.6473536346053392,0.190476194024086,0.041364900540708426
20,l2,all,9.122368811147346,0.0078125,0.1425370126741773
20,l2,2,5.9614310633691625,0.023255813866853714,0.09314736036514316
20,l2,3,9.378332724301739,0.0,0.14653644881721467
20,l2,4,12.096508689452657,0.0,0.18900794827269776
40,l1,all,2.239919952564483,0.1484375,0.034998749258820044
40,l1,2,0.2131288825764105,0.1860465109348297,0.003330138790256414
40,l1,3,1.2492088334861657,0.09302325546741486,0.01951888802322134
40,l1,4,5.329267431846738,0.1666666716337204,0.08326980362260528
40,l2,all,16.44026089534539,0.0,0.2568790764897717
40,l2,2,14.382228228269637,0.0,0.22472231606671308
40,l2,3,16.64920469666779,0.0,0.26014382338543424
40,l2,4,18.33337568647382,0.0,0.2864589951011534
60,l1,all,2.7347316928550254,0.1171875,0.04273018270085977
60,l1,2,0.33491681547721647,0.11627907305955887,0.005233075241831507
60,l1,3,1.5797130426988604,0.06976744532585144,0.024683016292169693
60,l1,4,6.374204113901713,0.1666666716337204,0.09959693927971426
60,l2,all,19.68047731989327,0.0,0.30750745812333236
60,l2,2,18.10911547928488,0.0,0.28295492936382627
60,l2,3,19.372003392191065,0.0,0.3026875530029854
60,l2,4,21.60507108268745,0.0,0.3375792356669914
80,l1,all,2.9839163949006817,0.109375,0.04662369367032315
80,l1,2,0.4244927226470122,0.09302325546741486,0.006632698791359566
80,l1,3,1.7659250270616869,0.06976744532585144,0.027592578547838857
80,l1,4,6.851269888328886,0.1666666716337204,0.10705109200513885
80,l2,all,21.188259709457455,0.0,0.33106655796027273
80,l2,2,19.665662339095,0.0,0.3072759740483594
80,l2,3,20.856845400202705,0.0,0.32588820937816726
80,l2,4,23.086414524303645,0.0,0.36072522694224446
100,l1,all,3.1149570115624075,0.1015625,0.048671203305662616
100,l1,2,0.4637649184012576,0.06976744532585144,0.00724632685001965
100,l1,3,1.8777845958673185,0.06976744532585144,0.02934038431042685
100,l1,4,7.095901627772366,0.1666666716337204,0.11087346293394322
100,l2,all,22.135042988437593,0.0,0.3458600466943374
100,l2,2,20.56804032018974,0.0,0.3213756300029647
100,l2,3,22.290280545232662,0.0,0.34828563351926034
100,l2,4,23.580421554924964,0.0,0.36844408679570256
