epoch,layer,shift,mean_spikes_per_neuron_s,dead_neuron_fraction,spike_occupancy
1,l1,all,0.20676024524040013,0.328125,0.003230628831881252
1,l1,2,0.015608936115926368,0.4883720874786377,0.0002438896268113495
1,l1,3,0.06795890647395635,0.302325576543808,0.001061857913655568
1,l1,4,0.5445689085572919,0.190476194024086,0.008508889196207686
1,l2,all,1.3739109390125848,0.15625,0.021467358422071637
1,l2,2,0.2972901986387207,0.23255814611911774,0.004645159353730011
1,l2,3,0.9290919051156787,0.13953489065170288,0.01451706101743248
1,l2,4,2.931575469813611,0.095238097012043,0.045805866715837674
5,l1,all,0.2973539851565021,0.328125,0.004646156018070345
5,l1,2,0.0189708608178182,0.4651162922382355,0.0002964197002784094
5,l1,3,0.08909100460013358,0.302325576543808,0.0013920469468770872
5,l1,4,0.7955869020728653,0.2142857164144516,0.01243104534488852
5,l2,all,2.4337689577282995,0.1328125,0.03802763996450468
5,l2,2,0.6927966260684242,0.1627907007932663,0.010824947282319128
5,l2,3,1.707377473603638,0.1627907007932663,0.026677773025056844
5,l2,4,4.959879531031516,0.0714285746216774,0.07749811767236743
10,l1,all,0.4220716360116166,0.328125,0.00659486931268151
10,l1,2,0.025934847700308426,0.4651162922382355,0.00040523199531731916
10,l1,3,0.11886805195974695,0.302325576543808,0.001857313311871046
10,l1,4,1.138062969621537,0.2142857164144516,0.017782233900336515
10,l2,all,4.394562762181349,0.078125,0.06866504315908357
10,l2,2,1.5671371860390073,0.09302325546741486,0.02448651853185949
10,l2,3,3.628477303256114,0.09302325546741486,0.056694957863376784
10,l2,4,8.073633583798154,0.0476190485060215,0.12615052474684615
20,l1,all,0.6484349790254921,0.2734375,0.010131796547273314
20,l1,2,0.04322474616718071,0.41860464215278625,0.0006753866588621986
20,l1,3,0.23989734122785294,0.25581395626068115,0.0037483959566852023
20,l1,4,1.6863197037446795,0.1428571492433548,0.026348745371010618
20,l2,all,6.9073894804775735,0.015625,0.10792796063246209
20,l2,2,4.1570198938892515,0.023255813866853714,0.06495343584201956
20,l2,3,7.092460433598235,0.0,0.11081969427497242
20,l2,4,9.53376665283732,0.02380952425301075,0.14896510395058313
40,l1,all,1.2567763794772506,0.1875,0.01963713092933204
40,l1,2,0.1174272270875076,0.27906978130340576,0.0018348004232423061
40,l1,3,0.5655237623539476,0.1627907007932663,0.008836308786780432
40,l1,4,3.1309639054072744,0.1190476194024086,0.04892131102198866
40,l2,all,12.690383994837044,0.0,0.1982872499193288
40,l2,2,8.954726580967604,0.0,0.1399176028276188
40,l2,3,14.058128278439407,0.0,0.21965825435061573
40,l2,4,15.1146760091581,0.0,0.2361668126430953
60,l1,all,1.7136979670861567,0.1796875,0.0267765307357212
60,l1,2,0.20051479471997719,0.25581395626068115,0.0031330436674996435
60,l1,3,0.7842890054556233,0.1627907007932663,0.012254515710244114
60,l1,4,4.21444705665422,0.1190476194024086,0.06585073526022218
60,l2,all,15.972571797353986,0.0,0.24957143433365603
60,l2,2,12.931643365826936,0.0,0.20205692759104588
60,l2,3,17.376347959206647,0.0,0.27150543686260387
60,l2,4,17.648703882973003,0.0,0.27576099817145316
80,l1,all,1.9539367537915457,0.171875,0.030530261777992902
80,l1,2,0.23221294190924305,0.25581395626068115,0.0036283272173319226
80,l1,3,0.9655928018790758,0.1627907007932663,0.01508738752936056
80,l1,4,4.728529940533813,0.095238097012043,0.07388328032084082
80,l2,all,17.793401097128108,0.0,0.2780218921426267
80,l2,2,14.72643088167976,0.0,0.23010048252624626
80,l2,3,18.85991730265577,0.0,0.2946862078539964
80,l2,4,19.84148496442785,0.0,0.31002320256918514
100,l1,all,2.1944982252339464,0.1640625,0.03428903476928041
100,l1,2,0.26463150153462855,0.23255814611911774,0.004134867211478571
100,l1,3,1.1173596884216215,0.1627907007932663,0.017458745131587836
100,l1,4,5.273098849091105,0.095238097012043,0.08239216951704852
100,l2,all,18.971442400774443,0.0,0.29642878751210067
100,l2,2,15.993156081856863,0.0,0.2498930637790135
100,l2,3,19.774841096527762,0.0,0.3089818921332463
100,l2,4,21.198113062585474,0.0,0.33122051660289803
