variant,coding,objective,layer,threshold_multiplier,shift,mean_value_per_neuron_step_mean,mean_value_per_neuron_step_std,fraction_nonzero_mean,fraction_nonzero_std,fraction_gt1_mean,fraction_gt1_std,fraction_at_cap_mean,fraction_at_cap_std
original,bb,l2_wcce,l1,1.0,2,0.01164884831731776,0.0011941503623663073,0.01164884831731776,0.0011941503623663073,0.0,0.0,0.01164884831731776,0.0011941503623663073
original,bb,l2_wcce,l1,1.0,3,0.042602881164265693,0.009692743443548627,0.042602881164265693,0.009692743443548627,0.0,0.0,0.042602881164265693,0.009692743443548627
original,bb,l2_wcce,l1,1.0,4,0.15469059364408203,0.012620911493903153,0.15469059364408203,0.012620911493903153,0.0,0.0,0.15469059364408203,0.012620911493903153
original,bb,l2_wcce,l2,1.0,2,0.39161854710800087,0.01093914848786809,0.39161854710800087,0.01093914848786809,0.0,0.0,0.39161854710800087,0.01093914848786809
original,bb,l2_wcce,l2,1.0,3,0.4166580169825167,0.014959640151235288,0.4166580169825167,0.014959640151235288,0.0,0.0,0.4166580169825167,0.014959640151235288
original,bb,l2_wcce,l2,1.0,4,0.4249783736217845,0.00650575262953285,0.4249783736217845,0.00650575262953285,0.0,0.0,0.4249783736217845,0.00650575262953285
original,bb,l1_l2_joint,l1,1.0,2,0.02301453329035806,0.00585239329117636,0.02301453329035806,0.00585239329117636,0.0,0.0,0.02301453329035806,0.00585239329117636
original,bb,l1_l2_joint,l1,1.0,3,0.07306752398693989,0.009589466228241665,0.07306752398693989,0.009589466228241665,0.0,0.0,0.07306752398693989,0.009589466228241665
original,bb,l1_l2_joint,l1,1.0,4,0.20524132055139807,0.004708417958534631,0.20524132055139807,0.004708417958534631,0.0,0.0,0.20524132055139807,0.004708417958534631
original,bb,l1_l2_joint,l2,1.0,2,0.3979250773463862,0.016473949998311838,0.3979250773463862,0.016473949998311838,0.0,0.0,0.3979250773463862,0.016473949998311838
original,bb,l1_l2_joint,l2,1.0,3,0.4103127907887237,0.014346608892156344,0.4103127907887237,0.014346608892156344,0.0,0.0,0.4103127907887237,0.014346608892156344
original,bb,l1_l2_joint,l2,1.0,4,0.4212795172097497,0.011313486608199383,0.4212795172097497,0.011313486608199383,0.0,0.0,0.4212795172097497,0.011313486608199383
original,bb,l2_wcce_plus_0p1_l1_tsce,l1,1.0,2,0.012113199782210059,0.0010852726959885825,0.012113199782210059,0.0010852726959885825,0.0,0.0,0.012113199782210059,0.0010852726959885825
original,bb,l2_wcce_plus_0p1_l1_tsce,l1,1.0,3,0.045220093489428265,0.011422043105543837,0.045220093489428265,0.011422043105543837,0.0,0.0,0.045220093489428265,0.011422043105543837
original,bb,l2_wcce_plus_0p1_l1_tsce,l1,1.0,4,0.1818135209608078,0.013593909568222725,0.1818135209608078,0.013593909568222725,0.0,0.0,0.1818135209608078,0.013593909568222725
original,bb,l2_wcce_plus_0p1_l1_tsce,l2,1.0,2,0.3932460534677949,0.01898758855930904,0.3932460534677949,0.01898758855930904,0.0,0.0,0.3932460534677949,0.01898758855930904
original,bb,l2_wcce_plus_0p1_l1_tsce,l2,1.0,3,0.4133488299253578,0.014399496877451921,0.4133488299253578,0.014399496877451921,0.0,0.0,0.4133488299253578,0.014399496877451921
original,bb,l2_wcce_plus_0p1_l1_tsce,l2,1.0,4,0.4210874898859395,0.005024948389976401,0.4210874898859395,0.005024948389976401,0.0,0.0,0.4210874898859395,0.005024948389976401
original,mm,l2_wcce,l1,0.5,2,0.04755957507895492,0.004854301201956024,0.04755957507895492,0.004854301201956024,0.0,0.0,0.04755957507895492,0.004854301201956024
original,mm,l2_wcce,l1,0.5,3,0.1411107195990917,0.01301117908819334,0.1411107195990917,0.01301117908819334,0.0,0.0,0.1411107195990917,0.01301117908819334
original,mm,l2_wcce,l1,0.5,4,0.2695378480262201,0.0590269951545861,0.2695378480262201,0.0590269951545861,0.0,0.0,0.2695378480262201,0.0590269951545861
original,mm,l2_wcce,l1,1.0,2,0.007026335708506251,0.0017910394762392463,0.007026335708506251,0.0017910394762392463,0.0,0.0,0.007026335708506251,0.0017910394762392463
original,mm,l2_wcce,l1,1.0,3,0.028425170867031332,0.0040353230757442585,0.028425170867031332,0.0040353230757442585,0.0,0.0,0.028425170867031332,0.0040353230757442585
original,mm,l2_wcce,l1,1.0,4,0.1364699039117644,0.00812576676338896,0.1364699039117644,0.00812576676338896,0.0,0.0,0.1364699039117644,0.00812576676338896
original,mm,l2_wcce,l1,1.5,2,0.0011130127409197178,0.0006662207748875188,0.0011130127409197178,0.0006662207748875188,0.0,0.0,0.0011130127409197178,0.0006662207748875188
original,mm,l2_wcce,l1,1.5,3,0.0067675649070997905,0.006745673208121906,0.0067675649070997905,0.006745673208121906,0.0,0.0,0.0067675649070997905,0.006745673208121906
original,mm,l2_wcce,l1,1.5,4,0.055203194738078463,0.022938533666102823,0.055203194738078463,0.022938533666102823,0.0,0.0,0.055203194738078463,0.022938533666102823
original,mm,l2_wcce,l2,0.5,2,0.4048873750424138,0.03229308386699258,0.4048873750424138,0.03229308386699258,0.0,0.0,0.4048873750424138,0.03229308386699258
original,mm,l2_wcce,l2,0.5,3,0.44239459937134357,0.014281290450389771,0.44239459937134357,0.014281290450389771,0.0,0.0,0.44239459937134357,0.014281290450389771
original,mm,l2_wcce,l2,0.5,4,0.461947828226898,0.02281966462857965,0.461947828226898,0.02281966462857965,0.0,0.0,0.461947828226898,0.02281966462857965
original,mm,l2_wcce,l2,1.0,2,0.42303787226267847,0.007688361412501882,0.42303787226267847,0.007688361412501882,0.0,0.0,0.42303787226267847,0.007688361412501882
original,mm,l2_wcce,l2,1.0,3,0.45650441289976174,0.02853227331428281,0.45650441289976174,0.02853227331428281,0.0,0.0,0.45650441289976174,0.02853227331428281
original,mm,l2_wcce,l2,1.0,4,0.4013333780775641,0.015116832782829947,0.4013333780775641,0.015116832782829947,0.0,0.0,0.4013333780775641,0.015116832782829947
original,mm,l2_wcce,l2,1.5,2,0.39883329418213137,0.040788195933278065,0.39883329418213137,0.040788195933278065,0.0,0.0,0.39883329418213137,0.040788195933278065
original,mm,l2_wcce,l2,1.5,3,0.4135080036242827,0.018586688524528022,0.4135080036242827,0.018586688524528022,0.0,0.0,0.4135080036242827,0.018586688524528022
original,mm,l2_wcce,l2,1.5,4,0.400065158786089,0.027220233001255246,0.400065158786089,0.027220233001255246,0.0,0.0,0.400065158786089,0.027220233001255246
original,mm,l1_l2_joint,l1,0.5,2,0.06374729204186569,0.010573828831301696,0.06374729204186569,0.010573828831301696,0.0,0.0,0.06374729204186569,0.010573828831301696
original,mm,l1_l2_joint,l1,0.5,3,0.20301436289808383,0.01889774790896806,0.20301436289808383,0.01889774790896806,0.0,0.0,0.20301436289808383,0.01889774790896806
original,mm,l1_l2_joint,l1,0.5,4,0.28884358535521326,0.028629601601603157,0.28884358535521326,0.028629601601603157,0.0,0.0,0.28884358535521326,0.028629601601603157
original,mm,l1_l2_joint,l1,1.0,2,0.015931929110223685,0.007077073681497506,0.015931929110223685,0.007077073681497506,0.0,0.0,0.015931929110223685,0.007077073681497506
original,mm,l1_l2_joint,l1,1.0,3,0.06437995682181728,0.011489277608541648,0.06437995682181728,0.011489277608541648,0.0,0.0,0.06437995682181728,0.011489277608541648
original,mm,l1_l2_joint,l1,1.0,4,0.20364497690079086,0.043166995409836414,0.20364497690079086,0.043166995409836414,0.0,0.0,0.20364497690079086,0.043166995409836414
original,mm,l1_l2_joint,l1,1.5,2,0.0036913990402362494,0.0013796399210589778,0.0036913990402362494,0.0013796399210589778,0.0,0.0,0.0036913990402362494,0.0013796399210589778
original,mm,l1_l2_joint,l1,1.5,3,0.0196007696007696,0.00829070730077306,0.0196007696007696,0.00829070730077306,0.0,0.0,0.0196007696007696,0.00829070730077306
original,mm,l1_l2_joint,l1,1.5,4,0.12050040829110598,0.04921247237043743,0.12050040829110598,0.04921247237043743,0.0,0.0,0.12050040829110598,0.04921247237043743
original,mm,l1_l2_joint,l2,0.5,2,0.4246404614621669,0.03538585204751463,0.4246404614621669,0.03538585204751463,0.0,0.0,0.4246404614621669,0.03538585204751463
original,mm,l1_l2_joint,l2,0.5,3,0.45670016890947124,0.018382642949402173,0.45670016890947124,0.018382642949402173,0.0,0.0,0.45670016890947124,0.018382642949402173
original,mm,l1_l2_joint,l2,0.5,4,0.43790899023457164,0.016217932733589135,0.43790899023457164,0.016217932733589135,0.0,0.0,0.43790899023457164,0.016217932733589135
original,mm,l1_l2_joint,l2,1.0,2,0.41421188630490957,0.02986359217784575,0.41421188630490957,0.02986359217784575,0.0,0.0,0.41421188630490957,0.02986359217784575
original,mm,l1_l2_joint,l2,1.0,3,0.4553158942693826,0.03466466016991091,0.4553158942693826,0.03466466016991091,0.0,0.0,0.4553158942693826,0.03466466016991091
original,mm,l1_l2_joint,l2,1.0,4,0.4055645044017137,0.023471110786805624,0.4055645044017137,0.023471110786805624,0.0,0.0,0.4055645044017137,0.023471110786805624
original,mm,l1_l2_joint,l2,1.5,2,0.4013445641352618,0.021826360776552516,0.4013445641352618,0.021826360776552516,0.0,0.0,0.4013445641352618,0.021826360776552516
original,mm,l1_l2_joint,l2,1.5,3,0.4022436435227133,0.027385165070939632,0.4022436435227133,0.027385165070939632,0.0,0.0,0.4022436435227133,0.027385165070939632
original,mm,l1_l2_joint,l2,1.5,4,0.4160430439500207,0.023083967557280743,0.4160430439500207,0.023083967557280743,0.0,0.0,0.4160430439500207,0.023083967557280743
original,mm,l2_wcce_plus_0p1_l1_tsce,l1,0.5,2,0.05167436640304857,0.003941521532160003,0.05167436640304857,0.003941521532160003,0.0,0.0,0.05167436640304857,0.003941521532160003
original,mm,l2_wcce_plus_0p1_l1_tsce,l1,0.5,3,0.1590517578889672,0.012108500487013842,0.1590517578889672,0.012108500487013842,0.0,0.0,0.1590517578889672,0.012108500487013842
original,mm,l2_wcce_plus_0p1_l1_tsce,l1,0.5,4,0.2906780988176337,0.07489341113620619,0.2906780988176337,0.07489341113620619,0.0,0.0,0.2906780988176337,0.07489341113620619
original,mm,l2_wcce_plus_0p1_l1_tsce,l1,1.0,2,0.007518335812909456,0.00222880517734744,0.007518335812909456,0.00222880517734744,0.0,0.0,0.007518335812909456,0.00222880517734744
original,mm,l2_wcce_plus_0p1_l1_tsce,l1,1.0,3,0.029328445026119445,0.004769404314804285,0.029328445026119445,0.004769404314804285,0.0,0.0,0.029328445026119445,0.004769404314804285
