variant,coding,objective,native_test_balanced_accuracy_count,native_test_balanced_accuracy_mean,native_test_balanced_accuracy_std,native_test_accuracy_count,native_test_accuracy_mean,native_test_accuracy_std,native_test_macro_f1_count,native_test_macro_f1_mean,native_test_macro_f1_std,native_train_balanced_accuracy_count,native_train_balanced_accuracy_mean,native_train_balanced_accuracy_std,native_val_balanced_accuracy_count,native_val_balanced_accuracy_mean,native_val_balanced_accuracy_std,lif_test_balanced_accuracy_count,lif_test_balanced_accuracy_mean,lif_test_balanced_accuracy_std
original,bb,l1_l2_joint,3,0.4865162275088746,0.025520840127648766,3,0.4961685823754789,0.025915228464499382,3,0.47002058034571764,0.034823192309372815,3,0.9120431913155552,0.013764016293647515,3,0.5299023892773893,0.007947663562225968,3,0.43814340615811204,0.019829446723901765
original,bb,l2_wcce,3,0.4737806515380045,0.03693483432460764,3,0.4904214559386973,0.03318104995342679,3,0.46181956106318506,0.03778081784862046,3,0.8913735636763508,0.011212019592233245,3,0.5157876845376844,0.017066049432325658,3,0.43004864824717765,0.028992999872434085
original,bb,l2_wcce_plus_0p1_l1_tsce,3,0.46847847822112526,0.030611487027692237,3,0.48084291187739464,0.026544839962741408,3,0.4599467418718226,0.03361768059747196,3,0.8860986647154704,0.021706820639221854,3,0.5267328736078736,0.013355344537721745,3,0.42323889345948174,0.030837848514295208
original,mm,l1_l2_joint,3,0.5032942071545013,0.012030216298653482,3,0.5114942528735632,0.011494252873563204,3,0.48545720582955604,0.019475473026876668,3,0.9300530465025676,0.022400077126329885,3,0.5314694564694564,0.001312368956286913,3,0.4131054607157549,0.03155935726630397
original,mm,l2_wcce,3,0.4831656973201091,0.0528801768919276,3,0.4961685823754789,0.05308967992548284,3,0.469331266832189,0.05551261562019731,3,0.9173756408285042,0.04767225615693146,3,0.5477920227920228,0.02096234799212202,3,0.438811855355973,0.035979290744570215
original,mm,l2_wcce_plus_0p1_l1_tsce,3,0.47586617494705735,0.006435688933301095,3,0.4904214559386973,0.006636209990685354,3,0.4634785857927919,0.004564821649315857,3,0.898553395042892,0.05631636330067922,3,0.5382486726236726,0.022230585524748617,3,0.4039249489617136,0.02838633245073777
postencode_mask,bb,l1_l2_joint,3,0.5198927434221552,0.025263330874381287,3,0.5306513409961685,0.023226734967398705,3,0.5139894646272481,0.024919744173835964,3,0.8731766289980305,0.018853117357076035,3,0.5393722018722018,0.012109685186853248,3,0.4386191763029999,0.03827620740319648
postencode_mask,bb,l2_wcce,3,0.5209007971875619,0.01084334422009007,3,0.5325670498084291,0.008778880641677849,3,0.5148750896492839,0.006720320146670853,3,0.889137411946734,0.017910943583211106,3,0.5523478835978836,0.016702890983146746,3,0.4463798524460289,0.01898208001281143
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,3,0.5044792285601111,0.017334241029687215,3,0.5191570881226054,0.020183244737265762,3,0.49412660664520197,0.011062144506696282,3,0.8639539914529223,0.038108194778543665,3,0.564308608058608,0.005730287155162455,3,0.4423872967990616,0.02772160229047735
postencode_mask,mm,l1_l2_joint,3,0.5309881431204961,0.02936561433875151,3,0.5402298850574713,0.026336641925033565,3,0.525625930347813,0.029936651916932837,3,0.9143710204297973,0.018526491774357286,3,0.5748752405002405,0.02678363380033418,3,0.4653898525222055,0.014760190737867693
postencode_mask,mm,l2_wcce,3,0.49838600941542116,0.019889468475125873,3,0.5057471264367815,0.01520546730496887,3,0.4867531061332122,0.01983741750927276,3,0.9381530572178328,0.013712426293378302,3,0.5689163845413846,0.03174885877804491,3,0.4232901697975227,0.019280977737168418
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,3,0.5162845460639579,0.0072653574839847855,3,0.5268199233716474,0.006636209990685337,3,0.5053020212639836,0.010821088733980544,3,0.936860402755756,0.012934917797135898,3,0.5618804806304807,0.02883364147308732,3,0.4177457074515898,0.02771623453865244
