contrast,variant,coding,objective,rotation,native_test_balanced_accuracy_delta,native_test_accuracy_delta,native_test_macro_f1_delta
D1_minus_D0,,bb,l2_wcce,0,0.047120145649557355,0.04214559386973179,0.05305552858609869
D1_minus_D0,,bb,l1_l2_joint,0,0.033376515913280634,0.03448275862068967,0.04396888428153051
D1_minus_D0,,bb,l2_wcce_plus_0p1_l1_tsce,0,0.0360007503389857,0.03831417624521075,0.034179864773379365
D1_minus_D0,,mm,l2_wcce,0,0.015220312095312069,0.009578544061302671,0.017421839301023128
D1_minus_D0,,mm,l1_l2_joint,0,0.027693935965994804,0.028735632183908066,0.04016872451825702
D1_minus_D0,,mm,l2_wcce_plus_0p1_l1_tsce,0,0.04041837111690055,0.036398467432950145,0.041823435471191696
MM_minus_BB,original,,l2_wcce,0,0.009385045782104603,0.00574712643678162,0.007511705769003951
MM_minus_BB,original,,l1_l2_joint,0,0.016777979645626735,0.01532567049808429,0.015436625483838395
MM_minus_BB,original,,l2_wcce_plus_0p1_l1_tsce,0,0.007387696725932018,0.009578544061302707,0.0035318439209692984
Joint_minus_Baseline,original,bb,,0,0.012735575970870031,0.005747126436781602,0.008201019282532529
L1TSCE_minus_Baseline,original,bb,,0,-0.005302173316879229,-0.009578544061302688,-0.0018728191913624699
Joint_minus_Baseline,original,mm,,0,0.020128509834392166,0.015325670498084273,0.016125938997366973
L1TSCE_minus_Baseline,original,mm,,0,-0.007299522373051814,-0.005747126436781602,-0.005852681039397123
MM_minus_BB,postencode_mask,,l2_wcce,0,-0.022514787772140683,-0.026819923371647496,-0.02812198351607161
MM_minus_BB,postencode_mask,,l1_l2_joint,0,0.01109539969834091,0.009578544061302688,0.011636465720564907
MM_minus_BB,postencode_mask,,l2_wcce_plus_0p1_l1_tsce,0,0.011805317503846871,0.007662835249042099,0.011175414618781632
Joint_minus_Baseline,postencode_mask,bb,,0,-0.0010080537654066912,-0.0019157088122605155,-0.0008856250220356521
L1TSCE_minus_Baseline,postencode_mask,bb,,0,-0.016421568627450884,-0.01340996168582372,-0.020748483004081792
Joint_minus_Baseline,postencode_mask,mm,,0,0.0326021337050749,0.03448275862068967,0.038872824214600865
L1TSCE_minus_Baseline,postencode_mask,mm,,0,0.017898536648536672,0.021072796934865873,0.01854891513077145
MT_x_Joint,original,,,0,0.007392933863522133,0.009578544061302671,0.007924919714834444
MT_x_L1TSCE,original,,,0,-0.001997349056172585,0.0038314176245210865,-0.003979861848034653
MT_x_Joint,postencode_mask,,,0,0.03361018747048159,0.036398467432950186,0.03975844923663652
MT_x_L1TSCE,postencode_mask,,,0,0.034320105275987556,0.03448275862068959,0.039297398134853244
