variant,coding,objective,probe,count,mean,std
original,bb,l1_l2_joint,input__events__fixed250_count,3,0.6309327722930665,0.0
original,bb,l2_wcce,input__events__fixed250_count,3,0.6309327722930665,0.0
original,bb,l2_wcce_plus_0p1_l1_tsce,input__events__fixed250_count,3,0.6309327722930665,0.0
original,mm,l1_l2_joint,input__events__fixed250_count,3,0.6309327722930665,0.0
original,mm,l2_wcce,input__events__fixed250_count,3,0.6309327722930665,0.0
original,mm,l2_wcce_plus_0p1_l1_tsce,input__events__fixed250_count,3,0.6309327722930665,0.0
postencode_mask,bb,l1_l2_joint,input__events__fixed250_count,3,0.6578262831939302,0.0
postencode_mask,bb,l2_wcce,input__events__fixed250_count,3,0.6578262831939302,0.0
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,input__events__fixed250_count,3,0.6578262831939302,0.0
postencode_mask,mm,l1_l2_joint,input__events__fixed250_count,3,0.6578262831939302,0.0
postencode_mask,mm,l2_wcce,input__events__fixed250_count,3,0.6578262831939302,0.0
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,input__events__fixed250_count,3,0.6578262831939302,0.0
original,bb,l1_l2_joint,input__events__whole_count,3,0.3827071621189268,0.0
original,bb,l2_wcce,input__events__whole_count,3,0.3827071621189268,0.0
original,bb,l2_wcce_plus_0p1_l1_tsce,input__events__whole_count,3,0.3827071621189268,0.0
original,mm,l1_l2_joint,input__events__whole_count,3,0.3827071621189268,0.0
original,mm,l2_wcce,input__events__whole_count,3,0.3827071621189268,0.0
original,mm,l2_wcce_plus_0p1_l1_tsce,input__events__whole_count,3,0.3827071621189268,0.0
postencode_mask,bb,l1_l2_joint,input__events__whole_count,3,0.4066306446821153,0.0
postencode_mask,bb,l2_wcce,input__events__whole_count,3,0.4066306446821153,0.0
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,input__events__whole_count,3,0.4066306446821153,0.0
postencode_mask,mm,l1_l2_joint,input__events__whole_count,3,0.4066306446821153,0.0
postencode_mask,mm,l2_wcce,input__events__whole_count,3,0.4066306446821153,0.0
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,input__events__whole_count,3,0.4066306446821153,0.0
original,bb,l1_l2_joint,l1__post_reset__fixed250_ordered_mean,3,0.6536431909593674,0.018307900751293932
original,bb,l2_wcce,l1__post_reset__fixed250_ordered_mean,3,0.6812084361716714,0.030561633239865077
original,bb,l2_wcce_plus_0p1_l1_tsce,l1__post_reset__fixed250_ordered_mean,3,0.6947286305742187,0.020974620676434748
original,mm,l1_l2_joint,l1__post_reset__fixed250_ordered_mean,3,0.6669609937992291,0.03128409607439411
original,mm,l2_wcce,l1__post_reset__fixed250_ordered_mean,3,0.6800117978426802,0.010805846712170043
