contrast,variant,coding,objective,native_test_balanced_accuracy_delta_count,native_test_balanced_accuracy_delta_mean,native_test_balanced_accuracy_delta_std,native_test_accuracy_delta_count,native_test_accuracy_delta_mean,native_test_accuracy_delta_std,native_test_macro_f1_delta_count,native_test_macro_f1_delta_mean,native_test_macro_f1_delta_std
D1_minus_D0,,bb,l2_wcce,3,0.047120145649557355,0.04774881064236449,3,0.04214559386973179,0.04157573642569104,3,0.05305552858609869,0.04442990489741681
D1_minus_D0,,bb,l1_l2_joint,3,0.033376515913280634,0.029354923946158348,3,0.03448275862068967,0.02633664192503353,3,0.04396888428153051,0.032807055437362904
D1_minus_D0,,bb,l2_wcce_plus_0p1_l1_tsce,3,0.0360007503389857,0.017654376896984594,3,0.03831417624521075,0.011963597698081242,3,0.034179864773379365,0.022665757647925278
D1_minus_D0,,mm,l2_wcce,3,0.015220312095312069,0.03497541612049871,3,0.009578544061302671,0.03826625355447932,3,0.017421839301023128,0.037242016271080015
D1_minus_D0,,mm,l1_l2_joint,3,0.027693935965994804,0.018666877989173998,3,0.028735632183908066,0.015205467304968934,3,0.04016872451825702,0.01076005830812282
D1_minus_D0,,mm,l2_wcce_plus_0p1_l1_tsce,3,0.04041837111690055,0.007395687215388595,3,0.036398467432950145,0.006636209990685346,3,0.041823435471191696,0.013581410239795554
MM_minus_BB,original,,l2_wcce,3,0.009385045782104603,0.07798659898084154,3,0.00574712643678162,0.07537285660117247,3,0.007511705769003951,0.08150034169061696
MM_minus_BB,original,,l1_l2_joint,3,0.016777979645626735,0.03396337193599483,3,0.01532567049808429,0.033675087799323634,3,0.015436625483838395,0.043547850205903745
MM_minus_BB,original,,l2_wcce_plus_0p1_l1_tsce,3,0.007387696725932018,0.02661080332770576,3,0.009578544061302707,0.02392719539616245,3,0.0035318439209692984,0.036480682700665006
Joint_minus_Baseline,original,bb,,3,0.012735575970870031,0.01887890288120054,3,0.005747126436781602,0.015205467304968944,3,0.008201019282532529,0.019947582502481596
L1TSCE_minus_Baseline,original,bb,,3,-0.005302173316879229,0.006428940019478386,3,-0.009578544061302688,0.006636209990685377,3,-0.0018728191913624699,0.007639412610629566
Joint_minus_Baseline,original,mm,,3,0.020128509834392166,0.04350127068371956,3,0.015325670498084273,0.043516539048278,3,0.016125938997366973,0.0369127907627894
L1TSCE_minus_Baseline,original,mm,,3,-0.007299522373051814,0.05156448227820459,3,-0.005747126436781602,0.0501022867073641,3,-0.005852681039397123,0.05096676812384679
MM_minus_BB,postencode_mask,,l2_wcce,3,-0.022514787772140683,0.012661254478667661,3,-0.026819923371647496,0.014463284358756233,3,-0.02812198351607161,0.014566045030224602
MM_minus_BB,postencode_mask,,l1_l2_joint,3,0.01109539969834091,0.05457720974569703,3,0.009578544061302688,0.04954987416236611,3,0.011636465720564907,0.05475718085308829
MM_minus_BB,postencode_mask,,l2_wcce_plus_0p1_l1_tsce,3,0.011805317503846871,0.010293039578571242,3,0.007662835249042099,0.014463284358756236,3,0.011175414618781632,0.0027565375706667776
Joint_minus_Baseline,postencode_mask,bb,,3,-0.0010080537654066912,0.034505448413974876,3,-0.0019157088122605155,0.02892656871751242,3,-0.0008856250220356521,0.031197634032675833
L1TSCE_minus_Baseline,postencode_mask,bb,,3,-0.016421568627450884,0.027471031602801333,3,-0.01340996168582372,0.027159859920992,3,-0.020748483004081792,0.017742854204708176
Joint_minus_Baseline,postencode_mask,mm,,3,0.0326021337050749,0.009972002856507282,3,0.03448275862068967,0.011494252873563232,3,0.038872824214600865,0.010116893284036574
L1TSCE_minus_Baseline,postencode_mask,mm,,3,0.017898536648536672,0.026844927505210777,3,0.021072796934865873,0.02018324473726576,3,0.01854891513077145,0.02910738279548727
MT_x_Joint,original,,,3,0.007392933863522133,0.060636839270988264,3,0.009578544061302671,0.05813789618963042,3,0.007924919714834444,0.05685933032756457
MT_x_L1TSCE,original,,,3,-0.001997349056172585,0.05477635513567234,3,0.0038314176245210865,0.054319719841984054,3,-0.003979861848034653,0.04875919148352593
MT_x_Joint,postencode_mask,,,3,0.03361018747048159,0.0433695998141697,3,0.036398467432950186,0.040366489474531544,3,0.03975844923663652,0.04121834718977103
MT_x_L1TSCE,postencode_mask,,,3,0.034320105275987556,0.006453803048873875,3,0.03448275862068959,0.011494252873563232,3,0.039297398134853244,0.012572007724623907
