variant,coding,objective,rotation,seed,layer,bank,cap,count,fraction_at_cap,fraction_gt1,fraction_nonzero,mean_value_per_neuron_step,shift,start,stop,threshold_multiplier
original,bb,l1_l2_joint,0,37,l1,0,1,43,0.06727223560647033,0.0,0.06727223560647033,0.06727223560647033,3,43,86,1.0
original,bb,l1_l2_joint,0,37,l1,0,1,42,0.20207193753705383,0.0,0.20207193753705383,0.20207193753705383,4,86,128,1.0
original,bb,l1_l2_joint,0,37,l2,0,1,43,0.4150550939355699,0.0,0.4150550939355699,0.4150550939355699,2,0,43,1.0
original,bb,l1_l2_joint,0,37,l2,0,1,43,0.40289591425340476,0.0,0.40289591425340476,0.40289591425340476,3,43,86,1.0
original,bb,l1_l2_joint,0,37,l2,0,1,42,0.4339043815788002,0.0,0.4339043815788002,0.4339043815788002,4,86,128,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,11,l1,0,1,43,0.010878115934903388,0.0,0.010878115934903388,0.010878115934903388,2,0,43,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,11,l1,0,1,43,0.0448809348214432,0.0,0.0448809348214432,0.0448809348214432,3,43,86,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,11,l1,0,1,42,0.191302560488607,0.0,0.191302560488607,0.191302560488607,4,86,128,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,11,l2,0,1,43,0.39979295387624214,0.0,0.39979295387624214,0.39979295387624214,2,0,43,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,11,l2,0,1,43,0.4168018748873265,0.0,0.4168018748873265,0.4168018748873265,3,43,86,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,11,l2,0,1,42,0.42678026108258665,0.0,0.42678026108258665,0.42678026108258665,4,86,128,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l1,0,1,43,0.012914433682416376,0.0,0.012914433682416376,0.012914433682416376,2,0,43,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l1,0,1,43,0.056807938771162136,0.0,0.056807938771162136,0.056807938771162136,3,43,86,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l1,0,1,42,0.16624019821694241,0.0,0.16624019821694241,0.16624019821694241,4,86,128,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l2,0,1,43,0.3718512873461494,0.0,0.3718512873461494,0.3718512873461494,2,0,43,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l2,0,1,43,0.42570786283604023,0.0,0.42570786283604023,0.42570786283604023,3,43,86,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l2,0,1,42,0.41726931552512947,0.0,0.41726931552512947,0.41726931552512947,4,86,128,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,37,l1,0,1,43,0.01254704972931041,0.0,0.01254704972931041,0.01254704972931041,2,0,43,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,37,l1,0,1,43,0.033971406875679455,0.0,0.033971406875679455,0.033971406875679455,3,43,86,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,37,l1,0,1,42,0.18789780417687393,0.0,0.18789780417687393,0.18789780417687393,4,86,128,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,37,l2,0,1,43,0.40809391918099325,0.0,0.40809391918099325,0.40809391918099325,2,0,43,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,37,l2,0,1,43,0.3975367520527066,0.0,0.3975367520527066,0.3975367520527066,3,43,86,1.0
original,bb,l2_wcce_plus_0p1_l1_tsce,0,37,l2,0,1,42,0.41921289305010234,0.0,0.41921289305010234,0.41921289305010234,4,86,128,1.0
original,mm,l2_wcce,0,11,l1,0,1,15,0.052118080025056766,0.0,0.052118080025056766,0.052118080025056766,2,0,15,0.5
original,mm,l2_wcce,0,11,l1,0,1,14,0.13862461827578107,0.0,0.13862461827578107,0.13862461827578107,3,15,29,0.5
original,mm,l2_wcce,0,11,l1,0,1,14,0.21803164535722674,0.0,0.21803164535722674,0.21803164535722674,4,29,43,0.5
original,mm,l2_wcce,0,11,l1,1,1,15,0.00716075483517344,0.0,0.00716075483517344,0.00716075483517344,2,43,58,1.0
original,mm,l2_wcce,0,11,l1,1,1,14,0.026452229940602034,0.0,0.026452229940602034,0.026452229940602034,3,58,72,1.0
original,mm,l2_wcce,0,11,l1,1,1,14,0.1282928957347562,0.0,0.1282928957347562,0.1282928957347562,4,72,86,1.0
original,mm,l2_wcce,0,11,l1,2,1,14,0.0015143125608241888,0.0,0.0015143125608241888,0.0015143125608241888,2,86,100,1.5
original,mm,l2_wcce,0,11,l1,2,1,14,0.014492936004563911,0.0,0.014492936004563911,0.014492936004563911,3,100,114,1.5
original,mm,l2_wcce,0,11,l1,2,1,14,0.08057736836806605,0.0,0.08057736836806605,0.08057736836806605,4,114,128,1.5
original,mm,l2_wcce,0,11,l2,0,1,15,0.3746456816224258,0.0,0.3746456816224258,0.3746456816224258,2,0,15,0.5
original,mm,l2_wcce,0,11,l2,0,1,14,0.4334709218430149,0.0,0.4334709218430149,0.4334709218430149,3,15,29,0.5
original,mm,l2_wcce,0,11,l2,0,1,14,0.4583123594751502,0.0,0.4583123594751502,0.4583123594751502,4,29,43,0.5
original,mm,l2_wcce,0,11,l2,1,1,15,0.41881606765327695,0.0,0.41881606765327695,0.41881606765327695,2,43,58,1.0
original,mm,l2_wcce,0,11,l2,1,1,14,0.4893033323265881,0.0,0.4893033323265881,0.4893033323265881,3,58,72,1.0
original,mm,l2_wcce,0,11,l2,1,1,14,0.3868795932749421,0.0,0.3868795932749421,0.3868795932749421,4,72,86,1.0
original,mm,l2_wcce,0,11,l2,2,1,14,0.401498372428605,0.0,0.401498372428605,0.401498372428605,2,86,100,1.5
original,mm,l2_wcce,0,11,l2,2,1,14,0.4335757911339307,0.0,0.4335757911339307,0.4335757911339307,3,100,114,1.5
original,mm,l2_wcce,0,11,l2,2,1,14,0.3862335984429008,0.0,0.3862335984429008,0.3862335984429008,4,114,128,1.5
original,mm,l2_wcce,0,23,l1,0,1,15,0.042455563385795946,0.0,0.042455563385795946,0.042455563385795946,2,0,15,0.5
original,mm,l2_wcce,0,23,l1,0,1,14,0.1295219638242894,0.0,0.1295219638242894,0.1295219638242894,3,15,29,0.5
original,mm,l2_wcce,0,23,l1,0,1,14,0.33394996476391825,0.0,0.33394996476391825,0.33394996476391825,4,29,43,0.5
original,mm,l2_wcce,0,23,l1,1,1,15,0.005171873776524939,0.0,0.005171873776524939,0.005171873776524939,2,43,58,1.0
original,mm,l2_wcce,0,23,l1,1,1,14,0.025755897848921103,0.0,0.025755897848921103,0.025755897848921103,3,58,72,1.0
original,mm,l2_wcce,0,23,l1,1,1,14,0.14454344105506897,0.0,0.14454344105506897,0.14454344105506897,4,72,86,1.0
original,mm,l2_wcce,0,23,l1,2,1,14,0.0003439712742038323,0.0,0.0003439712742038323,0.0003439712742038323,2,86,100,1.5
original,mm,l2_wcce,0,23,l1,2,1,14,0.0020428537870398333,0.0,0.0020428537870398333,0.0020428537870398333,3,100,114,1.5
original,mm,l2_wcce,0,23,l1,2,1,14,0.03593660861102722,0.0,0.03593660861102722,0.03593660861102722,4,114,128,1.5
original,mm,l2_wcce,0,23,l2,0,1,15,0.4011158092553441,0.0,0.4011158092553441,0.4011158092553441,2,0,15,0.5
original,mm,l2_wcce,0,23,l2,0,1,14,0.4588660693311856,0.0,0.4588660693311856,0.4588660693311856,3,15,29,0.5
original,mm,l2_wcce,0,23,l2,0,1,14,0.48636699218094565,0.0,0.48636699218094565,0.48636699218094565,4,29,43,0.5
original,mm,l2_wcce,0,23,l2,1,1,15,0.4183854044319161,0.0,0.4183854044319161,0.4183854044319161,2,43,58,1.0
original,mm,l2_wcce,0,23,l2,1,1,14,0.4374098124098124,0.0,0.4374098124098124,0.4374098124098124,3,58,72,1.0
original,mm,l2_wcce,0,23,l2,1,1,14,0.4170358065706903,0.0,0.4170358065706903,0.4170358065706903,4,72,86,1.0
original,mm,l2_wcce,0,23,l2,2,1,14,0.35677791201047016,0.0,0.35677791201047016,0.35677791201047016,2,86,100,1.5
original,mm,l2_wcce,0,23,l2,2,1,14,0.39688412362830966,0.0,0.39688412362830966,0.39688412362830966,3,100,114,1.5
original,mm,l2_wcce,0,23,l2,2,1,14,0.4314238732843384,0.0,0.4314238732843384,0.4314238732843384,4,114,128,1.5
original,mm,l2_wcce,0,37,l1,0,1,15,0.04810508182601206,0.0,0.04810508182601206,0.04810508182601206,2,0,15,0.5
original,mm,l2_wcce,0,37,l1,0,1,14,0.1551855766972046,0.0,0.1551855766972046,0.1551855766972046,3,15,29,0.5
original,mm,l2_wcce,0,37,l1,0,1,14,0.2566319339575154,0.0,0.2566319339575154,0.2566319339575154,4,29,43,0.5
original,mm,l2_wcce,0,37,l1,1,1,15,0.008746378513820374,0.0,0.008746378513820374,0.008746378513820374,2,43,58,1.0
original,mm,l2_wcce,0,37,l1,1,1,14,0.03306738481157086,0.0,0.03306738481157086,0.03306738481157086,3,58,72,1.0
original,mm,l2_wcce,0,37,l1,1,1,14,0.13657337494546798,0.0,0.13657337494546798,0.13657337494546798,4,72,86,1.0
original,mm,l2_wcce,0,37,l1,2,1,14,0.0014807543877311318,0.0,0.0014807543877311318,0.0014807543877311318,2,86,100,1.5
original,mm,l2_wcce,0,37,l1,2,1,14,0.0037669049296956275,0.0,0.0037669049296956275,0.0037669049296956275,3,100,114,1.5
original,mm,l2_wcce,0,37,l1,2,1,14,0.04909560723514212,0.0,0.04909560723514212,0.04909560723514212,4,114,128,1.5
original,mm,l2_wcce,0,37,l2,0,1,15,0.43890063424947146,0.0,0.43890063424947146,0.43890063424947146,2,0,15,0.5
original,mm,l2_wcce,0,37,l2,0,1,14,0.4348468069398302,0.0,0.4348468069398302,0.4348468069398302,3,15,29,0.5
original,mm,l2_wcce,0,37,l2,0,1,14,0.4411641330245981,0.0,0.4411641330245981,0.4411641330245981,4,29,43,0.5
original,mm,l2_wcce,0,37,l2,1,1,15,0.4319121447028424,0.0,0.4319121447028424,0.4319121447028424,2,43,58,1.0
original,mm,l2_wcce,0,37,l2,1,1,14,0.44280009396288467,0.0,0.44280009396288467,0.44280009396288467,3,58,72,1.0
original,mm,l2_wcce,0,37,l2,1,1,14,0.40008473438706,0.0,0.40008473438706,0.40008473438706,4,72,86,1.0
original,mm,l2_wcce,0,37,l2,2,1,14,0.43822359810731903,0.0,0.43822359810731903,0.43822359810731903,2,86,100,1.5
original,mm,l2_wcce,0,37,l2,2,1,14,0.41006409611060773,0.0,0.41006409611060773,0.41006409611060773,3,100,114,1.5
original,mm,l2_wcce,0,37,l2,2,1,14,0.3825380046310279,0.0,0.3825380046310279,0.3825380046310279,4,114,128,1.5
original,mm,l1_l2_joint,0,11,l1,0,1,15,0.054294886853026386,0.0,0.054294886853026386,0.054294886853026386,2,0,15,0.5
original,mm,l1_l2_joint,0,11,l1,0,1,14,0.21650474848149268,0.0,0.21650474848149268,0.21650474848149268,3,15,29,0.5
original,mm,l1_l2_joint,0,11,l1,0,1,14,0.2635616967012316,0.0,0.2635616967012316,0.2635616967012316,4,29,43,0.5
original,mm,l1_l2_joint,0,11,l1,1,1,15,0.00819826168663378,0.0,0.00819826168663378,0.00819826168663378,2,43,58,1.0
original,mm,l1_l2_joint,0,11,l1,1,1,14,0.054150307057283804,0.0,0.054150307057283804,0.054150307057283804,3,58,72,1.0
original,mm,l1_l2_joint,0,11,l1,1,1,14,0.15438018054297123,0.0,0.15438018054297123,0.15438018054297123,4,72,86,1.0
original,mm,l1_l2_joint,0,11,l1,2,1,14,0.0022567871405080706,0.0,0.0022567871405080706,0.0022567871405080706,2,86,100,1.5
original,mm,l1_l2_joint,0,11,l1,2,1,14,0.02420802711500386,0.0,0.02420802711500386,0.02420802711500386,3,100,114,1.5
original,mm,l1_l2_joint,0,11,l1,2,1,14,0.1683571596362294,0.0,0.1683571596362294,0.1683571596362294,4,114,128,1.5
original,mm,l1_l2_joint,0,11,l2,0,1,15,0.384006734006734,0.0,0.384006734006734,0.384006734006734,2,0,15,0.5
original,mm,l1_l2_joint,0,11,l2,0,1,14,0.4740847008288869,0.0,0.4740847008288869,0.4740847008288869,3,15,29,0.5
original,mm,l1_l2_joint,0,11,l2,0,1,14,0.44066914997147555,0.0,0.44066914997147555,0.44066914997147555,4,29,43,0.5
original,mm,l1_l2_joint,0,11,l2,1,1,15,0.3850090047764466,0.0,0.3850090047764466,0.3850090047764466,2,43,58,1.0
original,mm,l1_l2_joint,0,11,l2,1,1,14,0.48265461928252623,0.0,0.48265461928252623,0.48265461928252623,3,58,72,1.0
original,mm,l1_l2_joint,0,11,l2,1,1,14,0.400609080841639,0.0,0.400609080841639,0.400609080841639,4,72,86,1.0
original,mm,l1_l2_joint,0,11,l2,2,1,14,0.38984949159367766,0.0,0.38984949159367766,0.38984949159367766,2,86,100,1.5
original,mm,l1_l2_joint,0,11,l2,2,1,14,0.43172589684217594,0.0,0.43172589684217594,0.43172589684217594,3,100,114,1.5
original,mm,l1_l2_joint,0,11,l2,2,1,14,0.3924963924963925,0.0,0.3924963924963925,0.3924963924963925,4,114,128,1.5
original,mm,l1_l2_joint,0,23,l1,0,1,15,0.07516639260825307,0.0,0.07516639260825307,0.07516639260825307,2,0,15,0.5
original,mm,l1_l2_joint,0,23,l1,0,1,14,0.18141548374106514,0.0,0.18141548374106514,0.18141548374106514,3,15,29,0.5
original,mm,l1_l2_joint,0,23,l1,0,1,14,0.3199310379542938,0.0,0.3199310379542938,0.3199310379542938,4,29,43,0.5
original,mm,l1_l2_joint,0,23,l1,1,1,15,0.0175123326286117,0.0,0.0175123326286117,0.0175123326286117,2,43,58,1.0
original,mm,l1_l2_joint,0,23,l1,1,1,14,0.07681046343837042,0.0,0.07681046343837042,0.07681046343837042,3,58,72,1.0
original,mm,l1_l2_joint,0,23,l1,1,1,14,0.2348442900768482,0.0,0.2348442900768482,0.2348442900768482,4,72,86,1.0
original,mm,l1_l2_joint,0,23,l1,2,1,14,0.0038088526460619485,0.0,0.0038088526460619485,0.0038088526460619485,2,86,100,1.5
original,mm,l1_l2_joint,0,23,l1,2,1,14,0.010029698983187355,0.0,0.010029698983187355,0.010029698983187355,3,100,114,1.5
original,mm,l1_l2_joint,0,23,l1,2,1,14,0.07003590724520957,0.0,0.07003590724520957,0.07003590724520957,4,114,128,1.5
original,mm,l1_l2_joint,0,23,l2,0,1,15,0.4486766893743638,0.0,0.4486766893743638,0.4486766893743638,2,0,15,0.5
original,mm,l1_l2_joint,0,23,l2,0,1,14,0.4585556562300748,0.0,0.4585556562300748,0.4585556562300748,3,15,29,0.5
original,mm,l1_l2_joint,0,23,l2,0,1,14,0.4525697171046008,0.0,0.4525697171046008,0.4525697171046008,4,29,43,0.5
original,mm,l1_l2_joint,0,23,l2,1,1,15,0.4129316420014094,0.0,0.4129316420014094,0.4129316420014094,2,43,58,1.0
original,mm,l1_l2_joint,0,23,l2,1,1,14,0.4669661733615222,0.0,0.4669661733615222,0.4669661733615222,3,58,72,1.0
original,mm,l1_l2_joint,0,23,l2,1,1,14,0.43111765495486426,0.0,0.43111765495486426,0.43111765495486426,4,72,86,1.0
original,mm,l1_l2_joint,0,23,l2,2,1,14,0.38766821034262894,0.0,0.38766821034262894,0.38766821034262894,2,86,100,1.5
original,mm,l1_l2_joint,0,23,l2,2,1,14,0.3776007584147119,0.0,0.3776007584147119,0.3776007584147119,3,100,114,1.5
original,mm,l1_l2_joint,0,23,l2,2,1,14,0.438634685727709,0.0,0.438634685727709,0.438634685727709,4,114,128,1.5
original,mm,l1_l2_joint,0,37,l1,0,1,15,0.061780596664317594,0.0,0.061780596664317594,0.061780596664317594,2,0,15,0.5
original,mm,l1_l2_joint,0,37,l1,0,1,14,0.21112285647169368,0.0,0.21112285647169368,0.21112285647169368,3,15,29,0.5
original,mm,l1_l2_joint,0,37,l1,0,1,14,0.2830380214101144,0.0,0.2830380214101144,0.2830380214101144,4,29,43,0.5
original,mm,l1_l2_joint,0,37,l1,1,1,15,0.022085193015425574,0.0,0.022085193015425574,0.022085193015425574,2,43,58,1.0
original,mm,l1_l2_joint,0,37,l1,1,1,14,0.062179099969797647,0.0,0.062179099969797647,0.062179099969797647,3,58,72,1.0
original,mm,l1_l2_joint,0,37,l1,1,1,14,0.2217104600825531,0.0,0.2217104600825531,0.2217104600825531,4,72,86,1.0
original,mm,l1_l2_joint,0,37,l1,2,1,14,0.005008557334138729,0.0,0.005008557334138729,0.005008557334138729,2,86,100,1.5
original,mm,l1_l2_joint,0,37,l1,2,1,14,0.02456458270411759,0.0,0.02456458270411759,0.02456458270411759,3,100,114,1.5
original,mm,l1_l2_joint,0,37,l1,2,1,14,0.12310815799187892,0.0,0.12310815799187892,0.12310815799187892,4,114,128,1.5
original,mm,l1_l2_joint,0,37,l2,0,1,15,0.44123796100540286,0.0,0.44123796100540286,0.44123796100540286,2,0,15,0.5
original,mm,l1_l2_joint,0,37,l2,0,1,14,0.437460149669452,0.0,0.437460149669452,0.437460149669452,3,15,29,0.5
original,mm,l1_l2_joint,0,37,l2,0,1,14,0.4204881036276385,0.0,0.4204881036276385,0.4204881036276385,4,29,43,0.5
original,mm,l1_l2_joint,0,37,l2,1,1,15,0.4446950121368726,0.0,0.4446950121368726,0.4446950121368726,2,43,58,1.0
original,mm,l1_l2_joint,0,37,l2,1,1,14,0.41632689016409946,0.0,0.41632689016409946,0.41632689016409946,3,58,72,1.0
original,mm,l1_l2_joint,0,37,l2,1,1,14,0.3849667774086379,0.0,0.3849667774086379,0.3849667774086379,4,72,86,1.0
original,mm,l1_l2_joint,0,37,l2,2,1,14,0.42651599046947886,0.0,0.42651599046947886,0.42651599046947886,2,86,100,1.5
original,mm,l1_l2_joint,0,37,l2,2,1,14,0.39740427531125205,0.0,0.39740427531125205,0.39740427531125205,3,100,114,1.5
original,mm,l1_l2_joint,0,37,l2,2,1,14,0.4169980536259606,0.0,0.4169980536259606,0.4169980536259606,4,114,128,1.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l1,0,1,15,0.051499491034374754,0.0,0.051499491034374754,0.051499491034374754,2,0,15,0.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l1,0,1,14,0.16089046612302427,0.0,0.16089046612302427,0.16089046612302427,3,15,29,0.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l1,0,1,14,0.22255780395315278,0.0,0.22255780395315278,0.22255780395315278,4,29,43,0.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l1,1,1,15,0.005485083392060136,0.0,0.005485083392060136,0.005485083392060136,2,43,58,1.0
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l1,1,1,14,0.02383049766770697,0.0,0.02383049766770697,0.02383049766770697,3,58,72,1.0
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l1,1,1,14,0.13495419309372797,0.0,0.13495419309372797,0.13495419309372797,4,72,86,1.0
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l1,2,1,14,0.0010361085942481292,0.0,0.0010361085942481292,0.0010361085942481292,2,86,100,1.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l1,2,1,14,0.00971928588207658,0.0,0.00971928588207658,0.00971928588207658,3,100,114,1.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l1,2,1,14,0.08389123796100541,0.0,0.08389123796100541,0.08389123796100541,4,114,128,1.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l2,0,1,15,0.35853887714352833,0.0,0.35853887714352833,0.35853887714352833,2,0,15,0.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l2,0,1,14,0.4573937044867277,0.0,0.4573937044867277,0.4573937044867277,3,15,29,0.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l2,0,1,14,0.41301721534279673,0.0,0.41301721534279673,0.41301721534279673,4,29,43,0.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l2,1,1,15,0.40055594706757497,0.0,0.40055594706757497,0.40055594706757497,2,43,58,1.0
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l2,1,1,14,0.4794833719252324,0.0,0.4794833719252324,0.4794833719252324,3,58,72,1.0
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l2,1,1,14,0.37614097788516393,0.0,0.37614097788516393,0.37614097788516393,4,72,86,1.0
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l2,2,1,14,0.36910215107889527,0.0,0.36910215107889527,0.36910215107889527,2,86,100,1.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l2,2,1,14,0.4417514010537266,0.0,0.4417514010537266,0.4417514010537266,3,100,114,1.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,l2,2,1,14,0.39188815060908083,0.0,0.39188815060908083,0.39188815060908083,4,114,128,1.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l1,0,1,15,0.05570041500274058,0.0,0.05570041500274058,0.05570041500274058,2,0,15,0.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l1,0,1,14,0.1461290647337159,0.0,0.1461290647337159,0.1461290647337159,3,15,29,0.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l1,0,1,14,0.37087653948119065,0.0,0.37087653948119065,0.37087653948119065,4,29,43,0.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l1,1,1,15,0.00716858507556182,0.0,0.00716858507556182,0.00716858507556182,2,43,58,1.0
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l1,1,1,14,0.031800563777307965,0.0,0.031800563777307965,0.031800563777307965,3,58,72,1.0
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l1,1,1,14,0.1798969764086043,0.0,0.1798969764086043,0.1798969764086043,4,72,86,1.0
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l1,2,1,14,0.0008934863586026377,0.0,0.0008934863586026377,0.0008934863586026377,2,86,100,1.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l1,2,1,14,0.0032677271049364074,0.0,0.0032677271049364074,0.0032677271049364074,3,100,114,1.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l1,2,1,14,0.054339071780932245,0.0,0.054339071780932245,0.054339071780932245,4,114,128,1.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l2,0,1,15,0.4549134758437084,0.0,0.4549134758437084,0.4549134758437084,2,0,15,0.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l2,0,1,14,0.4446374039397295,0.0,0.4446374039397295,0.4446374039397295,3,15,29,0.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l2,0,1,14,0.4915768985536427,0.0,0.4915768985536427,0.4915768985536427,4,29,43,0.5
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l2,1,1,15,0.4378983634797588,0.0,0.4378983634797588,0.4378983634797588,2,43,58,1.0
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l2,1,1,14,0.435761267156616,0.0,0.435761267156616,0.435761267156616,3,58,72,1.0
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l2,1,1,14,0.4376531091647371,0.0,0.4376531091647371,0.4376531091647371,4,72,86,1.0
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,l2,2,1,14,0.382479277828115,0.0,0.382479277828115,0.382479277828115,2,86,100,1.5
