variant,coding,objective,rotation,seed,layer,bank,cap,count,fraction_at_cap,fraction_gt1,fraction_nonzero,mean_value_per_neuron_step,shift,start,stop,threshold_multiplier
original,bb,l2_wcce,0,11,l1,0,1,43,0.010660963338086107,0.0,0.010660963338086107,0.010660963338086107,2,0,43,1.0
original,bb,l2_wcce,0,11,l1,0,1,43,0.04199239556189259,0.0,0.04199239556189259,0.04199239556189259,3,43,86,1.0
original,bb,l2_wcce,0,11,l1,0,1,42,0.15944886293723504,0.0,0.15944886293723504,0.15944886293723504,4,86,128,1.0
original,bb,l2_wcce,0,11,l2,0,1,43,0.38892166663935185,0.0,0.38892166663935185,0.38892166663935185,2,0,43,1.0
original,bb,l2_wcce,0,11,l2,0,1,43,0.4069685497484308,0.0,0.4069685497484308,0.4069685497484308,3,43,86,1.0
original,bb,l2_wcce,0,11,l2,0,1,42,0.417597905969999,0.0,0.417597905969999,0.417597905969999,4,86,128,1.0
original,bb,l2_wcce,0,23,l1,0,1,43,0.012975891964534475,0.0,0.012975891964534475,0.012975891964534475,2,0,43,1.0
original,bb,l2_wcce,0,23,l1,0,1,43,0.0525864376594501,0.0,0.0525864376594501,0.0525864376594501,3,43,86,1.0
original,bb,l2_wcce,0,23,l1,0,1,42,0.1403822275915299,0.0,0.1403822275915299,0.1403822275915299,4,86,128,1.0
original,bb,l2_wcce,0,23,l2,0,1,43,0.3822800749517894,0.0,0.3822800749517894,0.3822800749517894,2,0,43,1.0
original,bb,l2_wcce,0,23,l2,0,1,43,0.4338872773161578,0.0,0.4338872773161578,0.4338872773161578,3,43,86,1.0
original,bb,l2_wcce,0,23,l2,0,1,42,0.42988159557926997,0.0,0.42988159557926997,0.42988159557926997,4,86,128,1.0
original,bb,l2_wcce,0,37,l1,0,1,43,0.0113096896493327,0.0,0.0113096896493327,0.0113096896493327,2,0,43,1.0
original,bb,l2_wcce,0,37,l1,0,1,43,0.033229810271454406,0.0,0.033229810271454406,0.033229810271454406,3,43,86,1.0
original,bb,l2_wcce,0,37,l1,0,1,42,0.1642406904034811,0.0,0.1642406904034811,0.1642406904034811,4,86,128,1.0
original,bb,l2_wcce,0,37,l2,0,1,43,0.4036538997328613,0.0,0.4036538997328613,0.4036538997328613,2,0,43,1.0
original,bb,l2_wcce,0,37,l2,0,1,43,0.4091182238829616,0.0,0.4091182238829616,0.4091182238829616,3,43,86,1.0
original,bb,l2_wcce,0,37,l2,0,1,42,0.42745561931608445,0.0,0.42745561931608445,0.42745561931608445,4,86,128,1.0
original,bb,l1_l2_joint,0,11,l1,0,1,43,0.01663061114115738,0.0,0.01663061114115738,0.01663061114115738,2,0,43,1.0
original,bb,l1_l2_joint,0,11,l1,0,1,43,0.06779394813467285,0.0,0.06779394813467285,0.06779394813467285,3,43,86,1.0
original,bb,l1_l2_joint,0,11,l1,0,1,42,0.21065164379117868,0.0,0.21065164379117868,0.21065164379117868,4,86,128,1.0
original,bb,l1_l2_joint,0,11,l2,0,1,43,0.3965233732675593,0.0,0.3965233732675593,0.3965233732675593,2,0,43,1.0
original,bb,l1_l2_joint,0,11,l2,0,1,43,0.42684962114383423,0.0,0.42684962114383423,0.42684962114383423,3,43,86,1.0
original,bb,l1_l2_joint,0,11,l2,0,1,42,0.41787476089801673,0.0,0.41787476089801673,0.41787476089801673,4,86,128,1.0
original,bb,l1_l2_joint,0,23,l1,0,1,43,0.0242869473534698,0.0,0.0242869473534698,0.0242869473534698,2,0,43,1.0
original,bb,l1_l2_joint,0,23,l1,0,1,43,0.08413638821967648,0.0,0.08413638821967648,0.08413638821967648,3,43,86,1.0
original,bb,l1_l2_joint,0,23,l1,0,1,42,0.2030003803259617,0.0,0.2030003803259617,0.2030003803259617,4,86,128,1.0
original,bb,l1_l2_joint,0,23,l2,0,1,43,0.3821967648360293,0.0,0.3821967648360293,0.3821967648360293,2,0,43,1.0
original,bb,l1_l2_joint,0,23,l2,0,1,43,0.40119283696893215,0.0,0.40119283696893215,0.40119283696893215,3,43,86,1.0
original,bb,l1_l2_joint,0,23,l2,0,1,42,0.4120594091524324,0.0,0.4120594091524324,0.4120594091524324,4,86,128,1.0
original,bb,l1_l2_joint,0,37,l1,0,1,43,0.028126041376447,0.0,0.028126041376447,0.028126041376447,2,0,43,1.0
