variant,coding,objective,rotation,native_test_balanced_accuracy,native_test_accuracy,native_test_macro_f1,native_train_balanced_accuracy,native_val_balanced_accuracy,lif_test_balanced_accuracy
original,bb,l1_l2_joint,0,0.4865162275088746,0.4961685823754789,0.47002058034571764,0.9120431913155552,0.5299023892773893,0.43814340615811204
original,bb,l2_wcce,0,0.4737806515380045,0.4904214559386973,0.46181956106318506,0.8913735636763508,0.5157876845376844,0.43004864824717765
original,bb,l2_wcce_plus_0p1_l1_tsce,0,0.46847847822112526,0.48084291187739464,0.4599467418718226,0.8860986647154704,0.5267328736078736,0.42323889345948174
original,mm,l1_l2_joint,0,0.5032942071545013,0.5114942528735632,0.48545720582955604,0.9300530465025676,0.5314694564694564,0.4131054607157549
original,mm,l2_wcce,0,0.4831656973201091,0.4961685823754789,0.469331266832189,0.9173756408285042,0.5477920227920228,0.438811855355973
original,mm,l2_wcce_plus_0p1_l1_tsce,0,0.47586617494705735,0.4904214559386973,0.4634785857927919,0.898553395042892,0.5382486726236726,0.4039249489617136
postencode_mask,bb,l1_l2_joint,0,0.5198927434221552,0.5306513409961685,0.5139894646272481,0.8731766289980305,0.5393722018722018,0.4386191763029999
postencode_mask,bb,l2_wcce,0,0.5209007971875619,0.5325670498084291,0.5148750896492839,0.889137411946734,0.5523478835978836,0.4463798524460289
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,0.5044792285601111,0.5191570881226054,0.49412660664520197,0.8639539914529223,0.564308608058608,0.4423872967990616
postencode_mask,mm,l1_l2_joint,0,0.5309881431204961,0.5402298850574713,0.525625930347813,0.9143710204297973,0.5748752405002405,0.4653898525222055
postencode_mask,mm,l2_wcce,0,0.49838600941542116,0.5057471264367815,0.4867531061332122,0.9381530572178328,0.5689163845413846,0.4232901697975227
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,0.5162845460639579,0.5268199233716474,0.5053020212639836,0.936860402755756,0.5618804806304807,0.4177457074515898
