variant,coding,objective,rotation,probe,test_balanced_accuracy
original,bb,l1_l2_joint,0,input__events__fixed250_count,0.6309327722930665
original,bb,l2_wcce,0,input__events__fixed250_count,0.6309327722930665
original,bb,l2_wcce_plus_0p1_l1_tsce,0,input__events__fixed250_count,0.6309327722930665
original,mm,l1_l2_joint,0,input__events__fixed250_count,0.6309327722930665
original,mm,l2_wcce,0,input__events__fixed250_count,0.6309327722930665
original,mm,l2_wcce_plus_0p1_l1_tsce,0,input__events__fixed250_count,0.6309327722930665
postencode_mask,bb,l1_l2_joint,0,input__events__fixed250_count,0.6578262831939302
postencode_mask,bb,l2_wcce,0,input__events__fixed250_count,0.6578262831939302
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,input__events__fixed250_count,0.6578262831939302
postencode_mask,mm,l1_l2_joint,0,input__events__fixed250_count,0.6578262831939302
postencode_mask,mm,l2_wcce,0,input__events__fixed250_count,0.6578262831939302
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,input__events__fixed250_count,0.6578262831939302
original,bb,l1_l2_joint,0,input__events__whole_count,0.3827071621189268
original,bb,l2_wcce,0,input__events__whole_count,0.3827071621189268
original,bb,l2_wcce_plus_0p1_l1_tsce,0,input__events__whole_count,0.3827071621189268
original,mm,l1_l2_joint,0,input__events__whole_count,0.3827071621189268
original,mm,l2_wcce,0,input__events__whole_count,0.3827071621189268
original,mm,l2_wcce_plus_0p1_l1_tsce,0,input__events__whole_count,0.3827071621189268
postencode_mask,bb,l1_l2_joint,0,input__events__whole_count,0.4066306446821153
postencode_mask,bb,l2_wcce,0,input__events__whole_count,0.4066306446821153
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,input__events__whole_count,0.4066306446821153
postencode_mask,mm,l1_l2_joint,0,input__events__whole_count,0.4066306446821153
postencode_mask,mm,l2_wcce,0,input__events__whole_count,0.4066306446821153
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,input__events__whole_count,0.4066306446821153
original,bb,l1_l2_joint,0,l1__post_reset__fixed250_ordered_mean,0.6536431909593674
original,bb,l2_wcce,0,l1__post_reset__fixed250_ordered_mean,0.6812084361716714
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__post_reset__fixed250_ordered_mean,0.6947286305742187
original,mm,l1_l2_joint,0,l1__post_reset__fixed250_ordered_mean,0.6669609937992291
original,mm,l2_wcce,0,l1__post_reset__fixed250_ordered_mean,0.6800117978426802
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__post_reset__fixed250_ordered_mean,0.6843880928439751
postencode_mask,bb,l1_l2_joint,0,l1__post_reset__fixed250_ordered_mean,0.7181542517939578
postencode_mask,bb,l2_wcce,0,l1__post_reset__fixed250_ordered_mean,0.72014993448817
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__post_reset__fixed250_ordered_mean,0.7135675666925666
postencode_mask,mm,l1_l2_joint,0,l1__post_reset__fixed250_ordered_mean,0.7331757431022137
postencode_mask,mm,l2_wcce,0,l1__post_reset__fixed250_ordered_mean,0.7165966318539848
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__post_reset__fixed250_ordered_mean,0.7357258006155064
original,bb,l1_l2_joint,0,l1__post_reset__whole_mean,0.45712331649831645
original,bb,l2_wcce,0,l1__post_reset__whole_mean,0.4749531514237397
original,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__post_reset__whole_mean,0.4772387334887334
original,mm,l1_l2_joint,0,l1__post_reset__whole_mean,0.47598591495650316
original,mm,l2_wcce,0,l1__post_reset__whole_mean,0.464798674908969
original,mm,l2_wcce_plus_0p1_l1_tsce,0,l1__post_reset__whole_mean,0.4788761959717842
postencode_mask,bb,l1_l2_joint,0,l1__post_reset__whole_mean,0.49229521839815965
postencode_mask,bb,l2_wcce,0,l1__post_reset__whole_mean,0.4657628319393025
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,l1__post_reset__whole_mean,0.4688476012005423
