contrast,variant,coding,objective,l1_pre_reset_fixed250_ba_delta_count,l1_pre_reset_fixed250_ba_delta_mean,l1_pre_reset_fixed250_ba_delta_std,l1_spike_fixed250_ba_delta_count,l1_spike_fixed250_ba_delta_mean,l1_spike_fixed250_ba_delta_std,l2_pre_reset_fixed250_ba_delta_count,l2_pre_reset_fixed250_ba_delta_mean,l2_pre_reset_fixed250_ba_delta_std,l2_spike_fixed250_ba_delta_count,l2_spike_fixed250_ba_delta_mean,l2_spike_fixed250_ba_delta_std,l1_quantization_delta_delta_count,l1_quantization_delta_delta_mean,l1_quantization_delta_delta_std,l1_to_l2_transform_delta_delta_count,l1_to_l2_transform_delta_delta_mean,l1_to_l2_transform_delta_delta_std,l2_quantization_delta_delta_count,l2_quantization_delta_delta_mean,l2_quantization_delta_delta_std
D1_minus_D0,,bb,l2_wcce,3,0.032303140759023075,0.022304639067827692,3,0.027114946600240792,0.014153153751368138,3,-0.005222616435851794,0.08817122018905113,3,-0.030046267730091263,0.02985014663669991,3,-0.005188194158782282,0.03642788335730209,3,-0.03233756303609259,0.07477037498900556,3,-0.024823651294239468,0.10985372060866921
D1_minus_D0,,bb,l1_l2_joint,3,0.058571670704023616,0.04141775188203006,3,0.01748575498575496,0.02934016697446695,3,-0.028180370827429673,0.008595417374421866,3,0.00468023942288646,0.0289617603403703,3,-0.04108591571826866,0.07015576259472155,3,-0.04566612581318463,0.02891056979855487,3,0.032860610250316134,0.033206495994883935
D1_minus_D0,,bb,l2_wcce_plus_0p1_l1_tsce,3,0.03983328762740538,0.011507041880186648,3,0.03983747733747741,0.05760314299960019,3,0.0148769939211116,0.01875763015579787,3,-0.01210540548775844,0.027876249705535573,3,4.189710072025991e-06,0.0525339130087104,3,-0.02496048341636581,0.04028376604726472,3,-0.02698239940887004,0.02574469071627107
D1_minus_D0,,mm,l2_wcce,3,0.028676422977893634,0.02231415346140152,3,0.03758255633255636,0.015642929365049504,3,0.016180898350015977,0.07787202655384119,3,0.012912305559364476,0.022715140617391594,3,0.008906133354662726,0.013461810493890333,3,-0.021401657982540383,0.08957383695262183,3,-0.0032685927906515033,0.07406023649595415
D1_minus_D0,,mm,l1_l2_joint,3,0.0644678782546431,0.039187208106077634,3,0.006345839617898437,0.03238836368738015,3,0.01586847928759701,0.018590344332656286,3,0.011137011137010969,0.036648364599396244,3,-0.058122038636744665,0.07025614401565566,3,0.009522639669698574,0.014765790195872876,3,-0.004731468150586042,0.048298564747771965
D1_minus_D0,,mm,l2_wcce_plus_0p1_l1_tsce,3,0.055298792982616564,0.008229202675419385,3,0.030721715648186227,0.02899526668905495,3,0.004852588859941924,0.02436153898755321,3,0.02896256113167876,0.03498635873984579,3,-0.024577077334430337,0.0214023973683301,3,-0.025869126788244306,0.053271396761854016,3,0.024109972271736835,0.053306609606822465
MM_minus_BB,original,,l2_wcce,3,0.006587271660801049,0.01817860955069746,3,-0.008524107972637326,0.013867804046635828,3,-0.042355969194204555,0.06696732267272222,3,-0.014757634794399547,0.021839206017572013,3,-0.015111379633438374,0.018999027538372786,3,-0.03383186122156723,0.07493934791306309,3,0.027598334399805007,0.08871520999666216
MM_minus_BB,original,,l1_l2_joint,3,0.0034963130551364983,0.04178371185380272,3,0.01585100629218276,0.016416400207656393,3,-0.01432076229870353,0.012771083778263862,3,0.01872452846717554,0.018296516123054347,3,0.012354693237046263,0.057180040493932056,3,-0.03017176859088629,0.029183823305098416,3,0.033045290765879066,0.008742456456440183
MM_minus_BB,original,,l2_wcce_plus_0p1_l1_tsce,3,-0.0016950709965415367,0.019735599108808795,3,0.0009117856544328026,0.03741311339169066,3,0.0009140709508356215,0.02143464387380855,3,-0.0191982037570273,0.040272536693840955,3,0.0026068566509743394,0.05032173033302768,3,2.285296402818974e-06,0.03733943986728741,3,-0.02011227470786292,0.03664924764679253
Joint_minus_Baseline,original,bb,,3,-0.02810971708030526,0.018597745266610455,3,0.010474275180157607,0.022799410122554188,3,-0.007228487743193661,0.03418532299847431,3,-0.015533540533540465,0.03891716538350201,3,0.038583992260462864,0.028590424956293693,3,-0.017702762923351267,0.054113040981954665,3,-0.008305052790346804,0.07308640720122786
L1TSCE_minus_Baseline,original,bb,,3,-0.012800802139037485,0.02065664785262387,3,0.007338991346344266,0.0412611650345383,3,-0.03610587397352113,0.016526152962212104,3,0.009234549491902463,0.04302264736615639,3,0.020139793485381752,0.020916043183627678,3,-0.04344486531986539,0.054009913938242844,3,0.045340423465423586,0.04307720379466493
Joint_minus_Baseline,original,mm,,3,-0.03120067568596981,0.0203690814550961,3,0.034849389444977695,0.020168421322358025,3,0.020806719152307362,0.05074008310508999,3,0.01794862272803462,0.016820397668653723,3,0.06605006513094751,0.04009641109070869,3,-0.01404267029267033,0.06263819070216775,3,-0.0028580964242727416,0.0672046695718692
L1TSCE_minus_Baseline,original,mm,,3,-0.02108314479638007,0.013275670487724057,3,0.016774884973414395,0.010661227691955004,3,0.0071641661715190486,0.06134554304850784,3,0.004793980529274711,0.04317838860930185,3,0.037858029769794466,0.022694763238281918,3,-0.009610718801895346,0.05256220350278442,3,-0.002370185642244338,0.09495945656911804
MM_minus_BB,postencode_mask,,l2_wcce,3,0.002960553879671609,0.01094242547165844,3,0.0019435017596782418,0.041969461636576555,3,-0.02095245440833678,0.041546244720915934,3,0.02820093849505619,0.013523116748683355,3,-0.0010170521199933669,0.03103021560286565,3,-0.022895956168015024,0.015932405803348534,3,0.04915339290339297,0.033881993023355664
MM_minus_BB,postencode_mask,,l1_l2_joint,3,0.00939252060575598,0.011185931880785777,3,0.004711090924326237,0.01965004812821257,3,0.02972808781632315,0.03873842057792607,3,0.025181300181300048,0.059084430054186024,3,-0.0046814296814297425,0.02792489611204255,3,0.025016996891996917,0.02407249374335862,3,-0.0045467876350231045,0.07878307371747667
MM_minus_BB,postencode_mask,,l2_wcce_plus_0p1_l1_tsce,3,0.013770434358669648,0.014731482484751118,3,-0.008203976034858377,0.0367567067067624,3,-0.009110334110334054,0.0387666268687803,3,0.021869762862409898,0.03111533525700457,3,-0.021974410393528026,0.02830121693048922,3,-0.0009063580754756773,0.06846093645247524,3,0.030980096972743953,0.06713758793077093
Joint_minus_Baseline,postencode_mask,bb,,3,-0.0018411871353047153,0.013319911635136692,3,0.0008450835656717744,0.030171436342612695,3,-0.03018624213477154,0.06316570497018695,3,0.019192966619437257,0.044102851584686624,3,0.0026862707009764897,0.02979806812119004,3,-0.031031325700443313,0.04279732610777398,3,0.04937920875420879,0.053511024812419886
L1TSCE_minus_Baseline,postencode_mask,bb,,3,-0.005270655270655178,0.010170074833377661,3,0.02006152208358088,0.01778581281807706,3,-0.01600626361655773,0.06144977830468707,3,0.027175411734235284,0.014982530853818782,3,0.025332177354236058,0.01959240998026068,3,-0.03606778570013861,0.0563836458764111,3,0.043181675350793015,0.07224051215441672
Joint_minus_Baseline,postencode_mask,mm,,3,0.004590779590779655,0.005841096045546668,3,0.0036126727303197694,0.027360082788489323,3,0.020494300089888395,0.0332756483742903,3,0.016173328305681117,0.008759508148189755,3,-0.0009781068604598857,0.02204871696096788,3,0.016881627359568625,0.039832487877745903,3,-0.00432097178420728,0.042011205267006024
L1TSCE_minus_Baseline,postencode_mask,mm,,3,0.005539225208342861,0.006948819336633621,3,0.009914044289044263,0.03909039529276172,3,-0.0041641433185550065,0.030816666497517485,3,0.020844236101588993,0.011365286320395424,3,0.004374819080701402,0.03968966941711351,3,-0.014078187607599268,0.06977718414132916,3,0.025008379420144,0.025169656804877986
MT_x_Joint,original,,,3,-0.003090958605664551,0.03528163770266347,3,0.024375114264820086,0.007732630207354999,3,0.028035206895501024,0.056244726782599334,3,0.03348216326157508,0.03649729414882862,3,0.027466072870484637,0.03982117877931992,3,0.003660092630680937,0.04901008531272518,3,0.005446956366074063,0.08867674906166123
MT_x_L1TSCE,original,,,3,-0.008282342657342586,0.008992489408249598,3,0.009435893627070127,0.04902855855143579,3,0.04327004014504018,0.04839975446029974,3,-0.004440568962627752,0.05768207445495258,3,0.017718236284412714,0.04292608006008546,3,0.033834146517970044,0.06339940612144561,3,-0.047710609107667924,0.10538904816513148
MT_x_Joint,postencode_mask,,,3,0.0064319667260843705,0.019118184753280105,3,0.0027675891646479953,0.05309090596258676,3,0.05068054222465993,0.07975527576314773,3,-0.003019638313756142,0.04956861572928208,3,-0.003664377561436375,0.04383972845094287,3,0.04791295306001194,0.02838708493894638,3,-0.053700180538416076,0.09271251656651326
MT_x_L1TSCE,postencode_mask,,,3,0.010809880478998038,0.004531887063330078,3,-0.010147477794536619,0.02257465677740991,3,0.011842120298002726,0.06940659115884085,3,-0.006331175632646291,0.01889348075206563,3,-0.02095735827353466,0.026867407662083478,3,0.021989598092539347,0.08063208873171514,3,-0.01817329593064902,0.08780945069889529
