contrast,rotation,seed,coding,objective,native_test_balanced_accuracy_delta,native_test_accuracy_delta,native_test_macro_f1_delta,variant
D1_minus_D0,0,11,bb,l2_wcce,0.07320361419626104,0.06321839080459768,0.0759770625498234,
D1_minus_D0,0,11,bb,l1_l2_joint,0.00544714680744085,0.01149425287356326,0.015163032418467282,
D1_minus_D0,0,11,bb,l2_wcce_plus_0p1_l1_tsce,0.03615924516659813,0.03448275862068967,0.04814609543676224,
D1_minus_D0,0,11,mm,l2_wcce,-0.024641779788838636,-0.034482758620689724,-0.025457489102688524,
D1_minus_D0,0,11,mm,l1_l2_joint,0.04923428287398868,0.04597701149425293,0.050194550287099626,
D1_minus_D0,0,11,mm,l2_wcce_plus_0p1_l1_tsce,0.03199629210658628,0.02873563218390801,0.030743645983203394,
MM_minus_BB,0,11,,l2_wcce,0.08985485511220798,0.0862068965517242,0.0898842584921421,original
MM_minus_BB,0,11,,l1_l2_joint,0.027280011655011704,0.02873563218390801,0.032181314323746546,original
MM_minus_BB,0,11,,l2_wcce_plus_0p1_l1_tsce,0.026831950729009513,0.028735632183908066,0.03133619456869963,original
Joint_minus_Baseline,0,11,bb,,0.03281457104986513,0.022988505747126464,0.031229532524197745,original
L1TSCE_minus_Baseline,0,11,bb,,-0.003046442936148863,-0.005747126436781602,-0.005850141129132735,original
Joint_minus_Baseline,0,11,mm,,-0.029760272407331145,-0.034482758620689724,-0.02647341164419781,original
L1TSCE_minus_Baseline,0,11,mm,,-0.06606934731934733,-0.06321839080459773,-0.06439820505257521,original
MM_minus_BB,0,11,,l2_wcce,-0.007990538872891695,-0.011494252873563204,-0.011550293160369818,postencode_mask
MM_minus_BB,0,11,,l1_l2_joint,0.07106714772155953,0.06321839080459768,0.06721283219237889,postencode_mask
MM_minus_BB,0,11,,l2_wcce_plus_0p1_l1_tsce,0.02266899766899766,0.02298850574712641,0.013933745115140783,postencode_mask
Joint_minus_Baseline,0,11,bb,,-0.03494189633895506,-0.028735632183907955,-0.029584497607158367,postencode_mask
L1TSCE_minus_Baseline,0,11,bb,,-0.04009081196581177,-0.03448275862068961,-0.03368110824219389,postencode_mask
Joint_minus_Baseline,0,11,mm,,0.04411579025549617,0.04597701149425293,0.04917862774559034,postencode_mask
