configuration,configuration_label,objective,seed,epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_hidden_1_firing_rate,train_hidden_2_firing_rate,train_output_firing_rate,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_hidden_1_firing_rate,val_hidden_2_firing_rate,val_output_firing_rate,val_silent_output_fraction,val_hidden_1_shift_2_firing_rate,val_hidden_1_shift_3_firing_rate,val_hidden_2_shift_2_firing_rate,val_hidden_2_shift_3_firing_rate,val_hidden_2_shift_4_firing_rate,val_hidden_2_shift_5_firing_rate,val_hidden_2_shift_6_firing_rate,val_hidden_2_shift_7_firing_rate
short_to_multi_scale,Short → Multi-scale,timestep_ce,101,1,2.479987853570567,0.0774526678141136,0.07692138263628424,0.041326932673957054,0.0007697746914097174,0.005129345177282396,0.010806940559733365,2.4852302074432373,0.07142857142857142,0.09722222222222221,0.03093637992831541,0.0002619941181634624,0.0010637509876218066,0.0017557721007813187,0.9285714285714286,1.9203757352295673e-05,0.000504784478974629,7.98078227627872e-06,2.5082458582590265e-05,0.0002675462248809628,0.000656324332911112,0.0015801948907031868,0.003766929234403556
short_to_multi_scale,Short → Multi-scale,timestep_ce,101,2,2.476625641118639,0.08777969018932874,0.08632013877689977,0.04797439660104382,0.0007377171018473546,0.004846714999916258,0.00750609922901279,2.484907388687134,0.06349206349206349,0.09027777777777778,0.01975,0.00024347620928803442,0.000980077473443947,0.0009510432212565475,0.9365079365079365,1.9203757352295673e-05,0.00046774866122377314,3.99039113813936e-06,3.344327811012035e-05,0.00024246376629837257,0.0005643553181082809,0.0014087980903888199,0.003551448112944031
short_to_multi_scale,Short → Multi-scale,timestep_ce,101,3,2.473144681031035,0.09982788296041308,0.09821891406403983,0.059858498465269305,0.0007328757515869161,0.005009358199206123,0.005511637384784587,2.485355854034424,0.05555555555555555,0.08333333333333333,0.009333333333333334,0.00024279036081116672,0.0010500340180844526,0.0004462587422819185,0.9365079365079365,1.7832060398560266e-05,0.00046774866122377314,7.98078227627872e-06,3.76236878738854e-05,0.0002257421272433124,0.0006479635133835818,0.0015342103833017712,0.003766929234403556
short_to_multi_scale,Short → Multi-scale,timestep_ce,101,4,2.471099398427494,0.10671256454388985,0.10521324965507356,0.06945297009841746,0.0007545964041067211,0.005455285812383808,0.005734950117518326,2.4852099418640137,0.05555555555555555,0.08333333333333333,0.009333333333333334,0.0002510205425335791,0.0011398801685541216,0.00046820589354168495,0.9365079365079365,1.7832060398560266e-05,0.00048420902466859804,7.98078227627872e-06,5.4345326928945574e-05,0.00028008745417225795,0.0007859170355878283,0.001705607183616138,0.003926544879929131
short_to_multi_scale,Short → Multi-scale,timestep_ce,101,5,2.4680865668593914,0.11876075731497418,0.11689544921070077,0.08631748856659577,0.0007764479039308623,0.005764216297921516,0.005775425550326316,2.4848361015319824,0.06349206349206349,0.09027777777777778,0.022305607671461333,0.000260622421209727,0.0012057216223334212,0.0005633102156673397,0.9206349206349206,1.9203757352295673e-05,0.0005020410850671582,1.1971173414418082e-05,7.106696598400576e-05,0.00028008745417225795,0.0008946076894457194,0.0017892153788914389,0.004106112481145402
short_to_multi_scale,Short → Multi-scale,timestep_ce,101,6,2.465603852230998,0.11359724612736662,0.11175121844147,0.083109336098574,0.0007990844875810206,0.006141579923627046,0.006469090726380492,2.4838647842407227,0.06349206349206349,0.09027777777777778,0.022305607671461333,0.0002729676937933456,0.0013572941357211834,0.0011193047142480906,0.9126984126984127,1.9203757352295673e-05,0.0005267316302343956,2.7932737966975522e-05,8.778860503906593e-05,0.0004054997470852093,0.0010869065385789114,0.0021111069307013473,0.004345535949433764
short_to_multi_scale,Short → Multi-scale,timestep_ce,101,7,2.4622783336705063,0.12392426850258176,0.12169245775770932,0.09585265224447471,0.0008244688646222386,0.006528102860636107,0.007563323116775811,2.483065605163574,0.06349206349206349,0.09027777777777778,0.022305607671461333,0.00028599881485383196,0.0014402818014221754,0.001697246364088608,0.9126984126984127,2.0575454306031077e-05,0.0005514221754016329,3.192312910511488e-05,0.00010451024409412611,0.00040968015684897434,0.0012708445681845735,0.002278323321251949,0.0044692380747160835
short_to_multi_scale,Short → Multi-scale,timestep_ce,101,8,2.4566409308815986,0.12564543889845095,0.12237981329176296,0.09922902602364218,0.0008620220409667208,0.007032257524243388,0.01026819859201322,2.4759840965270996,0.12698412698412698,0.14087301587301587,0.0921590486807878,0.00030657426915986307,0.0016254608901764551,0.0024507652240072573,0.8650793650793651,1.9203757352295673e-05,0.0005939447809674304,3.192312910511488e-05,0.00010451024409412611,0.00043058220566779957,0.0015843753004669517,0.0023870139751098404,0.005123662221370939
short_to_multi_scale,Short → Multi-scale,timestep_ce,101,9,2.448455458869212,0.12564543889845095,0.12215119873138741,0.09210178100933815,0.0009483812618285963,0.008340730567605138,0.01538345587619542,2.47074556350708,0.11904761904761904,0.13392857142857142,0.06749317648867874,0.00033743745061890965,0.0020006200070230885,0.004294325929827642,0.8333333333333334,1.9203757352295673e-05,0.0006556711438855236,3.192312910511488e-05,0.00018393802960566194,0.0005936181864546363,0.0021152873404651122,0.002993173390855772,0.00598957709834718
short_to_multi_scale,Short → Multi-scale,timestep_ce,101,10,2.441007028553449,0.12908777969018934,0.1255616925585479,0.09016782147723351,0.0010766116200780478,0.010495523975413269,0.023394800163018294,2.4656713008880615,0.1111111111111111,0.12698412698412698,0.047186147186147186,0.0004245402071811079,0.0027866023615134754,0.008127761683200188,0.7777777777777778,1.9203757352295673e-05,0.0008298766570099201,3.9903911381393606e-05,0.00043058220566779957,0.0008444427722805389,0.0031018640447136626,0.004130244846599864,0.00805260931676523
short_to_multi_scale,Short → Multi-scale,timestep_ce,101,11,2.4342542527669884,0.14113597246127366,0.13765211480227205,0.10260945228606906,0.0012140012896310315,0.013343808096203126,0.029396329855237522,2.4634807109832764,0.11904761904761904,0.13392857142857142,0.05015592515592516,0.0005198731454657186,0.0042735218593626546,0.01160272729932988,0.7142857142857143,2.0575454306031077e-05,0.0010191708366254061,5.5865475933951044e-05,0.0007190304793675876,0.0014464217782627054,0.005016491716518053,0.006450372265489463,0.01179559620433995
short_to_multi_scale,Short → Multi-scale,timestep_ce,101,12,2.4281293972429023,0.14802065404475043,0.14414912917271408,0.11428548126524211,0.001355578072922773,0.01601832699683454,0.031782984686329355,2.461843252182007,0.12698412698412698,0.14087301587301587,0.0467581998474447,0.0006138343867965938,0.005556744359582126,0.013951072484124893,0.6428571428571429,2.3318848213501887e-05,0.0012043499253796858,7.980782276278721e-05,0.001116169406925267,0.0020233183256622815,0.006772263817299372,0.00842770608375033,0.014744495255424936
short_to_multi_scale,Short → Multi-scale,timestep_ce,101,13,2.4225594944059337,0.16695352839931152,0.16275499919367845,0.1252137705411114,0.0014839392784765605,0.01856291452426014,0.03579982246637747,2.4609880447387695,0.11904761904761904,0.12896825396825398,0.051880302682870895,0.0006947645070669828,0.0069215828285488544,0.017243145173089867,0.5793650793650794,2.6062242120972697e-05,0.0013634667720129926,0.00011173095186790209,0.0014464217782627054,0.0028175961807776397,0.008720334767213882,0.010212741052878003,0.018016615988699212
